	code	name	market_cap	weight
0		深物业A		0.047
1		深康佳A		0.157
2		神州长城		0.049
3		富奥股份		0.092
4		神州数码		0.13
5		中国天楹		0.128
6		华联控股		0.149
7		深大通		0.052
8		东旭蓝天		0.237
9		中航善达		0.074
10		方大集团		0.094
11		皇庭国际		0.055
12		深赛格		0.054
13		华锦股份		0.17
14		北方国际		0.087
15		特发信息		0.115
16		盐田港		0.132
17		宜华健康		0.097
18		中成股份		0.06
19		川能动力		0.092
20		东方盛虹		0.183
21		长虹华意		0.059
22		胜利股份		0.084
23		粤高速A		0.12
24		山东路桥		0.069
25		中润资源		0.059
26		珠海港		0.126
27		渝开发		0.042
28		国际医学		0.243
29		荣安地产		0.051
30		长航凤凰		0.101
31		红太阳		0.089
32		华金资本		0.063
33		顺钠股份		0.043
34		中原环保		0.061
35		金浦钛业		0.068
36		金圆股份		0.108
37		江铃汽车		0.119
38		神州信息		0.127
39		莱茵体育		0.074
40		我爱我家		0.173
41		烽火电子		0.057
42		新大洲A		0.071
43		广东甘化		0.065
44		北部湾港		0.116
45		哈工智能		0.099
46		太阳能		0.219
47		平潭发展		0.152
48		韶能股份		0.076
49		盛达矿业		0.112
50		京汉股份		0.091
51		新华联		0.112
52		远大控股		0.047
53		顺发恒业		0.067
54		西王食品		0.08
55		仁和药业		0.145
56		中钨高新		0.059
57		湖北广电		0.061
58		经纬纺机		0.11
59		上峰水泥		0.116
60		当代东方		0.052
61		智度股份		0.109
62		远兴能源		0.209
63		华讯方舟		0.107
64		国城矿业		0.104
65		炼石航空		0.168
66		模塑科技		0.048
67		厦门信达		0.056
68		贝瑞基因		0.117
69		京蓝科技		0.075
70		湖南发展		0.042
71		四川美丰		0.104
72		振华科技		0.12
73		罗牛山		0.287
74		普洛药业		0.165
75		锌业股份		0.105
76		万年青		0.143
77		甘肃电投		0.063
78		华闻传媒		0.189
79		英洛华		0.072
80		凯撒旅游		0.051
81		中国武夷		0.094
82		酒鬼酒		0.148
83		一汽轿车		0.173
84		四川九洲		0.102
85		北京文化		0.091
86		创维数字		0.124
87		冰轮环境		0.09
88		美利云		0.061
89		航锦科技		0.149
90		ST节能		0.064
91		京山轻机		0.078
92		山东海化		0.081
93		东莞控股		0.101
94		五矿稀土		0.195
95		富通鑫茂		0.144
96		秦川机床		0.065
97		财信发展		0.044
98		高鸿股份		0.126
99		张裕A		0.11
100		吉电股份		0.133
101		中广核技		0.072
102		华联股份		0.12
103		湖北能源		0.206
104		城发环境		0.046
105		中嘉博创		0.085
106		欢瑞世纪		0.065
107		航天科技		0.162
108		新洋丰		0.178
109		厦门港务		0.059
110		大亚圣象		0.126
111		钱江摩托		0.082
112		山大华特		0.11
113		电广传媒		0.258
114		嘉凯城		0.14
115		海信家电		0.153
116		河北宣工		0.056
117		众合科技		0.078
118		一汽夏利		0.073
119		中钢国际		0.098
120		神火股份		0.142
121		四川双马		0.108
122		华西股份		0.143
123		中国重汽		0.121
124		中通客车		0.078
125		东方能源		0.105
126		天保基建		0.067
127		盈峰环境		0.072
128		蓝焰控股		0.187
129		ST高升		0.06
130		佛塑科技		0.095
131		华铁股份		0.092
132		浪潮信息		0.568
133		九芝堂		0.144
134		中国中期		0.125
135		豫能控股		0.045
136		伟星股份		0.088
137		德豪润达		0.073
138		世荣兆业		0.065
139		京新药业		0.144
140		科华生物		0.12
141		海特高新		0.196
142		航天电器		0.18
143		巨轮智能		0.116
144		丽江旅游		0.058
145		华帝股份		0.249
146		联创电子		0.133
147		华孚时尚		0.178
148		兔宝宝		0.083
149		宝鹰股份		0.143
150		云南能投		0.051
151		得润电子		0.105
152		粤水电		0.075
153		浙江交科		0.121
154		景兴纸业		0.12
155		黑猫股份		0.061
156		长城影视		0.045
157		软控股份		0.145
158		苏州固锝		0.084
159		中材科技		0.136
160		ST东海洋		0.061
161		新海宜		0.149
162		江苏国泰		0.133
163		青岛金王		0.076
164		生意宝		0.112
165		山河智能		0.113
166		海翔药业		0.162
167		广东鸿图		0.061
168		恒宝股份		0.114
169		沧州明珠		0.126
170		ST天润		0.071
171		三维通信		0.103
172		东港股份		0.126
173		科陆电子		0.092
174		天邦股份		0.255
175		银轮股份		0.176
176		沃尔核材		0.167
177		东南网架		0.065
178		麦达数字		0.046
179		顺络电子		0.309
180		拓邦股份		0.119
181		贤丰控股		0.068
182		ST印纪		0.053
183		中核钛白		0.15
184		北纬科技		0.081
185		北斗星通		0.167
186		通富微电		0.156
187		正邦科技		0.485
188		汉钟精机		0.058
189		莱茵生物		0.067
190		东方锆业		0.09
191		惠程科技		0.237
192		楚江新材		0.102
193		延华智能		0.059
194		云海金属		0.084
195		华天科技		0.254
196		融捷股份		0.133
197		方正电机		0.051
198		证通电子		0.085
199		海亮股份		0.133
200		大连重工		0.083
201		海利得		0.102
202		飞马国际		0.058
203		诺普信		0.09
204		拓日新能		0.069
205		恒康医疗		0.107
206		福晶科技		0.117
207		三力士		0.079
208		江南化工		0.086
209		鸿博股份		0.076
210		启明信息		0.051
211		民和股份		0.117
212		安妮股份		0.093
213		恒邦股份		0.133
214		奥特佳		0.081
215		威华股份		0.09
216		澳洋顺昌		0.086
217		北化股份		0.053
218		聚力文化		0.051
219		川大智胜		0.077
220		兆新股份		0.103
221		利尔化学		0.104
222		拓维信息		0.092
223		恩华药业		0.161
224		陕天然气		0.094
225		久其软件		0.08
226		天润曲轴		0.087
227		亚太股份		0.062
228		奇正藏药		0.034
