	code	name	market_cap	weight
0		特锐德		0.8491
1		神州泰岳		0.5661
2		乐普医疗		2.1682
3		安科生物		0.83
4		立思辰		0.5352
5		华测检测		0.9827
6		亿纬锂能		1.0152
7		爱尔眼科		2.3396
8		网宿科技		1.6525
9		机器人		1.8961
10		红日药业		0.5353
11		华谊兄弟		0.7639
12		同花顺		1.5851
13		超图软件		0.4842
14		数知科技		0.7329
15		欧比特		0.4921
16		万邦达		0.4448
17		蓝色光标		0.5938
18		东方财富		6.0979
19		南都电源		0.5809
20		碧水源		1.231
21		三聚环保		0.9079
22		当升科技		0.6084
23		思创医惠		0.4567
24		长信科技		0.9259
25		高新兴		0.8402
26		振芯科技		0.4299
27		顺网科技		0.6152
28		长盈精密		0.578
29		智飞生物		1.8856
30		汇川技术		2.3481
31		华策影视		0.5713
32		信维通信		1.944
33		沃森生物		2.4384
34		宋城演艺		1.4004
35		中金环境		0.3839
36		汤臣倍健		1.4154
37		神雾环保		0.198
38		新研股份		0.4874
39		东方国信		0.9883
40		万达信息		0.9509
41		汉得信息		0.9714
42		华峰超纤		0.6594
43		捷成股份		0.9247
44		美亚柏科		0.5727
45		铁汉生态		0.4714
46		翰宇药业		0.3978
47		聚光科技		0.6887
48		欣旺达		0.6932
49		易华录		0.6554
50		科大智能		0.4588
51		上海钢联		0.8175
52		迪安诊断		0.5681
53		光线传媒		0.6682
54		卫宁健康		1.3871
55		兴源环境		0.3404
56		华宇软件		0.9835
57		阳光电源		0.855
58		国瓷材料		0.6681
59		飞利信		0.4845
60		博雅生物		0.447
61		利亚德		1.1436
62		中际旭创		0.4428
63		掌趣科技		0.8419
64		晶盛机电		0.7169
65		华灿光电		0.2917
66		旋极信息		0.6315
67		泰格医药		1.7503
68		蒙草生态		0.5017
69		东方网力		0.4867
70		扬杰科技		0.3068
71		赢时胜		0.547
72		光环新网		1.4138
73		三环集团		1.816
74		道氏技术		0.3281
75		芒果超媒		0.8081
76		昆仑万维		0.6703
77		蓝思科技		0.5109
78		先导智能		1.2427
79		深信服		0.3721
80		金科文化		0.3993
81		迈克生物		0.4463
82		景嘉微		0.2804
83		胜宏科技		0.4685
84		中科创达		0.6247
85		温氏股份		12.4124
86		健帆生物		0.5716
87		贝达药业		0.6767
88		康泰生物		1.2511
89		尚品宅配		0.5007
90		寒锐钴业		0.4454
91		亿联网络		0.6457
92		彩讯股份		0.0987
93		江丰电子		0.3334
94		华大基因		1.0031
95		光威复材		0.7469
96		华宝股份		0.2282
97		锐科激光		0.4944
98		宁德时代		1.6376
99		迈瑞医疗		1.4483
