	code	name	market_cap	weight
0	000012.XSHE	南玻A	158.6256	1.087
1	000400.XSHE	许继电气	106.8827	0.958
2	000541.XSHE	佛山照明	83.6809	0.922
3	000544.XSHE	中原环保	60.5279	0.961
4	000581.XSHE	威孚高科	232.9667	1.027
5	000591.XSHE	太阳能	124.4939	1.042
6	000598.XSHE	兴蓉环境	138.8592	0.913
7	000685.XSHE	中山公用	127.7446	0.996
8	000690.XSHE	宝新能源	177.9876	0.993
9	000711.XSHE	京蓝科技	74.3183	1.043
10	000786.XSHE	北新建材	340.4358	1.059
11	000826.XSHE	启迪桑德	221.5967	1.179
12	000967.XSHE	盈峰环境	220.4654	0.895
13	002056.XSHE	横店东磁	114.7233	0.991
14	002080.XSHE	中材科技	179.4301	1.422
15	002121.XSHE	科陆电子	91.5427	1.056
16	002123.XSHE	梦网集团	102.866	1.42
17	002129.XSHE	中环股份	276.2875	1.154
18	002202.XSHE	金风科技	596.7764	1.322
19	002249.XSHE	大洋电机	130.1367	1.248
20	002256.XSHE	兆新股份	68.1433	0.919
21	002266.XSHE	浙富控股	100.51899999999999	1.014
22	002309.XSHE	中利集团	92.5838	0.985
23	002310.XSHE	东方园林	212.9571	0.801
24	002340.XSHE	格林美	209.2067	1.008
25	002341.XSHE	新纶科技	125.9631	0.692
26	002366.XSHE	台海核电	113.4111	0.949
27	002372.XSHE	伟星新材	264.283	1.12
28	002421.XSHE	达实智能	93.7764	1.029
29	002431.XSHE	棕榈股份	69.8883	0.976
30	002449.XSHE	国星光电	88.8133	1.13
31	002506.XSHE	协鑫集成	268.9545	0.866
32	002518.XSHE	科士达	73.2716	1.303
33	002531.XSHE	天顺风能	118.6606	1.241
34	002573.XSHE	清新环境	101.0989	0.955
35	002594.XSHE	比亚迪	1459.2836	0.792
36	002610.XSHE	爱康科技	102.8203	1.138
37	002630.XSHE	华西能源	41.0918	0.918
38	002665.XSHE	首航节能	101.0411	1.03
39	002672.XSHE	东江环保	110.5327	0.896
40	002717.XSHE	岭南股份	96.1939	0.846
41	300055.XSHE	万邦达	74.5789	0.875
42	300070.XSHE	碧水源	295.5179	0.845
43	300072.XSHE	三聚环保	245.6277	0.788
44	300118.XSHE	东方日升	99.0211	1.458
45	300145.XSHE	中金环境	80.3997	0.977
46	300156.XSHE	神雾环保	42.218999999999994	0.824
47	300197.XSHE	铁汉生态	106.53299999999999	0.695
48	300203.XSHE	聚光科技	124.4423	0.894
49	300219.XSHE	鸿利智汇	59.8684	0.812
50	300232.XSHE	洲明科技	108.6228	1.315
51	300237.XSHE	美晨生态	63.4993	0.879
52	300266.XSHE	兴源环境	68.2092	0.929
53	300274.XSHE	阳光电源	160.3291	0.978
54	300296.XSHE	利亚德	225.8074	0.924
55	300316.XSHE	晶盛机电	184.2157	1.087
56	300317.XSHE	珈伟新能	52.5674	0.98
57	300323.XSHE	华灿光电	98.6694	0.864
58	300355.XSHE	蒙草生态	82.458	0.96
59	300495.XSHE	美尚生态	97.7568	0.8
60	300664.XSHE	鹏鹞环保	54.24	0.778
61	300750.XSHE	宁德时代	1865.7648	0.891
62	600008.XSHG	首创股份	237.0832	0.94
63	600021.XSHG	上海电力	236.3299	0.971
64	600025.XSHG	华能水电	738.0	1.129
65	600089.XSHG	特变电工	307.5608	0.979
66	600116.XSHG	三峡水利	95.3285	1.008
67	600151.XSHG	航天机电	93.3698	1.265
68	600217.XSHG	中再资环	85.5414	1.103
69	600236.XSHG	桂冠电力	354.1007	0.943
70	600323.XSHG	瀚蓝环境	132.1039	1.033
71	600388.XSHG	龙净环保	135.02100000000002	1.05
72	600406.XSHG	国电南瑞	975.7285	0.92
73	600416.XSHG	湘电股份	69.0459	0.974
74	600478.XSHG	科力远	85.2418	1.16
75	600550.XSHG	保变电气	92.2606	1.027
76	600674.XSHG	川投能源	410.7197	0.94
77	600703.XSHG	三安光电	598.3049	0.838
78	600770.XSHG	综艺股份	93.99	1.138
79	600874.XSHG	创业环保	146.1482	0.919
80	600875.XSHG	东方电气	327.9342	1.124
81	600884.XSHG	杉杉股份	167.5165	0.819
82	600900.XSHG	长江电力	3711.3999	0.964
83	601012.XSHG	隆基股份	728.3958	1.129
84	601016.XSHG	节能风电	132.1468	1.06
85	601127.XSHG	小康股份	155.0051	0.834
86	601179.XSHG	中国西电	216.3122	0.975
87	601200.XSHG	上海环境	110.2291	0.986
88	601619.XSHG	嘉泽新能	108.4413	1.036
89	601727.XSHG	上海电气	879.0986	0.981
90	601877.XSHG	正泰电器	576.5323	0.968
91	601908.XSHG	京运通	83.0044	0.989
92	603105.XSHG	芯能科技	78.15	0.993
93	603218.XSHG	日月股份	108.2417	1.246
94	603515.XSHG	欧普照明	290.9588	1.14
95	603568.XSHG	伟明环保	170.5543	0.891
96	603659.XSHG	璞泰来	234.7356	0.89
97	603693.XSHG	江苏新能	98.0148	0.943
98	603699.XSHG	纽威股份	92.1	0.871
99	603806.XSHG	福斯特	172.458	0.973
