	code	name	market_cap	weight
0	300001.XSHE	特锐德	223.1564	0.8491
1	300002.XSHE	神州泰岳	105.1145	0.5661
2	300003.XSHE	乐普医疗	472.13800000000003	2.1682
3	300009.XSHE	安科生物	171.4122	0.83
4	300010.XSHE	立思辰	88.2218	0.5352
5	300012.XSHE	华测检测	145.8627	0.9827
6	300014.XSHE	亿纬锂能	208.5659	1.0152
7	300015.XSHE	爱尔眼科	810.3493	2.3396
8	300017.XSHE	网宿科技	308.968	1.6525
9	300024.XSHE	机器人	298.0058	1.8961
10	300026.XSHE	红日药业	109.0002	0.5353
11	300027.XSHE	华谊兄弟	152.3251	0.7639
12	300033.XSHE	同花顺	536.7936	1.5851
13	300036.XSHE	超图软件	79.4782	0.4842
14	300038.XSHE	数知科技	147.8846	0.7329
15	300053.XSHE	欧比特	82.8547	0.4921
16	300055.XSHE	万邦达	74.5789	0.4448
17	300058.XSHE	蓝色光标	129.9752	0.5938
18	300059.XSHE	东方财富	1001.6136	6.0979
19	300068.XSHE	南都电源	134.6971	0.5809
20	300070.XSHE	碧水源	295.5179	1.231
21	300072.XSHE	三聚环保	245.6277	0.9079
22	300073.XSHE	当升科技	120.3171	0.6084
23	300078.XSHE	思创医惠	87.8979	0.4567
24	300088.XSHE	长信科技	137.0132	0.9259
25	300098.XSHE	高新兴	165.6859	0.8402
26	300101.XSHE	振芯科技	70.6459	0.4299
27	300113.XSHE	顺网科技	118.376	0.6152
28	300115.XSHE	长盈精密	114.6424	0.578
29	300122.XSHE	智飞生物	817.6	1.8856
30	300124.XSHE	汇川技术	436.5104	2.3481
31	300133.XSHE	华策影视	141.8622	0.5713
32	300136.XSHE	信维通信	281.1666	1.944
33	300142.XSHE	沃森生物	392.0464	2.4384
34	300144.XSHE	宋城演艺	337.005	1.4004
35	300145.XSHE	中金环境	80.3997	0.3839
36	300146.XSHE	汤臣倍健	335.6249	1.4154
37	300156.XSHE	神雾环保	42.218999999999994	0.198
38	300159.XSHE	新研股份	99.7051	0.4874
39	300166.XSHE	东方国信	160.5097	0.9883
40	300168.XSHE	万达信息	167.886	0.9509
41	300170.XSHE	汉得信息	150.3565	0.9714
42	300180.XSHE	华峰超纤	160.0393	0.6594
43	300182.XSHE	捷成股份	172.7799	0.9247
44	300188.XSHE	美亚柏科	136.7907	0.5727
45	300197.XSHE	铁汉生态	106.53299999999999	0.4714
46	300199.XSHE	翰宇药业	99.5102	0.3978
47	300203.XSHE	聚光科技	124.4423	0.6887
48	300207.XSHE	欣旺达	184.3368	0.6932
49	300212.XSHE	易华录	129.3789	0.6554
50	300222.XSHE	科大智能	126.8685	0.4588
51	300226.XSHE	上海钢联	133.5967	0.8175
52	300244.XSHE	迪安诊断	133.8949	0.5681
53	300251.XSHE	光线传媒	253.4638	0.6682
54	300253.XSHE	卫宁健康	236.8681	1.3871
55	300266.XSHE	兴源环境	68.2092	0.3404
56	300271.XSHE	华宇软件	160.4803	0.9835
57	300274.XSHE	阳光电源	160.3291	0.855
58	300285.XSHE	国瓷材料	140.6478	0.6681
59	300287.XSHE	飞利信	75.6389	0.4845
60	300294.XSHE	博雅生物	131.1674	0.447
61	300296.XSHE	利亚德	225.8074	1.1436
62	300308.XSHE	中际旭创	263.878	0.4428
63	300315.XSHE	掌趣科技	111.1266	0.8419
64	300316.XSHE	晶盛机电	184.2157	0.7169
65	300323.XSHE	华灿光电	98.6694	0.2917
66	300324.XSHE	旋极信息	142.0262	0.6315
67	300347.XSHE	泰格医药	331.61699999999996	1.7503
68	300355.XSHE	蒙草生态	82.458	0.5017
69	300367.XSHE	东方网力	100.8362	0.4867
70	300373.XSHE	扬杰科技	89.6827	0.3068
71	300377.XSHE	赢时胜	109.9962	0.547
72	300383.XSHE	光环新网	288.6892	1.4138
73	300408.XSHE	三环集团	361.5849	1.816
74	300409.XSHE	道氏技术	83.8545	0.3281
75	300413.XSHE	芒果超媒	438.5804	0.8081
76	300418.XSHE	昆仑万维	171.5248	0.6703
77	300433.XSHE	蓝思科技	337.3119	0.5109
78	300450.XSHE	先导智能	327.889	1.2427
79	300454.XSHE	深信服	422.8059	0.3721
80	300459.XSHE	金科文化	162.8238	0.3993
81	300463.XSHE	迈克生物	112.71600000000001	0.4463
82	300474.XSHE	景嘉微	140.1836	0.2804
83	300476.XSHE	胜宏科技	106.2967	0.4685
84	300496.XSHE	中科创达	139.2679	0.6247
85	300498.XSHE	温氏股份	2157.1223	12.4124
86	300529.XSHE	健帆生物	259.6711	0.5716
87	300558.XSHE	贝达药业	180.2896	0.6767
88	300601.XSHE	康泰生物	362.0486	1.2511
89	300616.XSHE	尚品宅配	175.6716	0.5007
90	300618.XSHE	寒锐钴业	152.1984	0.4454
91	300628.XSHE	亿联网络	292.0573	0.6457
92	300634.XSHE	彩讯股份	111.2428	0.0987
93	300666.XSHE	江丰电子	98.3982	0.3334
94	300676.XSHE	华大基因	301.7954	1.0031
95	300699.XSHE	光威复材	212.2273	0.7469
96	300741.XSHE	华宝股份	257.2531	0.2282
97	300747.XSHE	锐科激光	222.976	0.4944
98	300750.XSHE	宁德时代	1865.7648	1.6376
99	300760.XSHE	迈瑞医疗	1632.6733	1.4483
