	code	name	market_cap
0	000001.XSHE	平安银行	2350.6294
1	000002.XSHE	万科A	3496.8831
2	000006.XSHE	深振业A	91.5297
3	000008.XSHE	神州高铁	131.5316
4	000009.XSHE	中国宝安	141.4269
5	000011.XSHE	深物业A	72.1135
6	000012.XSHE	南玻A	158.0529
7	000016.XSHE	深康佳A	126.6579
8	000018.XSHE	神州长城	47.8905
9	000019.XSHE	深粮控股	98.196
10	000021.XSHE	深科技	132.2662
11	000025.XSHE	特力A	104.3161
12	000027.XSHE	深圳能源	252.5381
13	000028.XSHE	国药一致	207.6844
14	000030.XSHE	富奥股份	105.7362
15	000031.XSHE	大悦城	283.8404
16	000034.XSHE	神州数码	104.3896
17	000035.XSHE	中国天楹	125.351
18	000036.XSHE	华联控股	89.6068
19	000038.XSHE	深大通	70.209
20	000039.XSHE	中集集团	450.1548
21	000040.XSHE	东旭蓝天	139.6175
22	000042.XSHE	中洲控股	84.1676
23	000043.XSHE	中航善达	66.9629
24	000046.XSHE	泛海控股	409.4606
25	000049.XSHE	德赛电池	70.4397
26	000055.XSHE	方大集团	87.7363
27	000056.XSHE	皇庭国际	72.5188
28	000058.XSHE	深赛格	86.4959
29	000059.XSHE	华锦股份	118.6786
30	000060.XSHE	中金岭南	196.6897
31	000061.XSHE	农产品	105.2118
32	000062.XSHE	深圳华强	165.6865
33	000063.XSHE	中兴通讯	1278.7649
34	000065.XSHE	北方国际	101.9595
35	000066.XSHE	中国长城	284.5144
36	000069.XSHE	华侨城A	698.1673
37	000070.XSHE	特发信息	90.2872
38	000078.XSHE	海王生物	127.0788
39	000088.XSHE	盐田港	136.3424
40	000089.XSHE	深圳机场	187.4403
41	000090.XSHE	天健集团	111.5378
42	000100.XSHE	TCL集团	518.9515
43	000150.XSHE	宜华健康	80.5601
44	000151.XSHE	中成股份	44.4562
45	000155.XSHE	川能动力	64.77
46	000156.XSHE	华数传媒	165.9822
47	000157.XSHE	中联重科	409.1916
48	000158.XSHE	常山北明	104.62700000000001
49	000166.XSHE	申万宏源	1237.2234
50	000301.XSHE	东方盛虹	259.0681
51	000333.XSHE	美的集团	3394.7517
52	000338.XSHE	潍柴动力	1025.8499
53	000400.XSHE	许继电气	109.9077
54	000401.XSHE	冀东水泥	247.2705
55	000402.XSHE	金融街	267.8081
56	000404.XSHE	长虹华意	35.3566
57	000407.XSHE	胜利股份	42.3321
58	000408.XSHE	藏格控股	234.2691
59	000411.XSHE	英特集团	30.0802
60	000413.XSHE	东旭光电	340.9499
61	000415.XSHE	渤海租赁	298.0939
62	000418.XSHE	小天鹅A	386.1338
63	000423.XSHE	东阿阿胶	320.536
64	000425.XSHE	徐工机械	386.9832
65	000426.XSHE	兴业矿业	115.0996
66	000429.XSHE	粤高速A	190.0543
67	000488.XSHE	晨鸣纸业	190.2518
68	000498.XSHE	山东路桥	69.1126
69	000501.XSHE	鄂武商A	94.2785
70	000503.XSHE	国新健康	221.1103
71	000505.XSHE	京粮控股	46.0851
72	000506.XSHE	中润资源	36.6033
73	000507.XSHE	珠海港	63.0054
74	000513.XSHE	丽珠集团	244.4052
75	000514.XSHE	渝开发	58.4733
76	000516.XSHE	国际医学	132.0603
77	000517.XSHE	荣安地产	114.9396
78	000519.XSHE	中兵红箭	122.6844
79	000520.XSHE	长航凤凰	40.8882
80	000525.XSHE	红太阳	93.2721
81	000528.XSHE	柳工	116.4537
82	000532.XSHE	华金资本	41.8821
83	000533.XSHE	顺钠股份	24.8003
84	000536.XSHE	华映科技	91.5557
85	000537.XSHE	广宇发展	180.8508
86	000538.XSHE	云南白药	928.4078
87	000541.XSHE	佛山照明	87.1793
88	000543.XSHE	皖能电力	97.9347
89	000544.XSHE	中原环保	62.7697
90	000545.XSHE	金浦钛业	40.2628
91	000546.XSHE	金圆股份	71.1071
92	000547.XSHE	航天发展	171.4865
93	000550.XSHE	江铃汽车	241.2683
94	000552.XSHE	靖远煤电	73.8692
95	000553.XSHE	安道麦A	298.9688
96	000555.XSHE	神州信息	126.2095
97	000558.XSHE	莱茵体育	55.8234
98	000559.XSHE	万向钱潮	188.8667
99	000560.XSHE	我爱我家	169.5961
100	000561.XSHE	烽火电子	48.6236
101	000563.XSHE	陕国投A	210.8855
102	000564.XSHE	供销大集	224.092
103	000566.XSHE	海南海药	100.7328
104	000568.XSHE	泸州老窖	989.4403
105	000571.XSHE	新大洲A	32.7254
106	000576.XSHE	广东甘化	54.4719
107	000581.XSHE	威孚高科	248.9081
108	000582.XSHE	北部湾港	166.5675
109	000584.XSHE	哈工智能	57.4685
110	000587.XSHE	金洲慈航	68.1724
111	000591.XSHE	太阳能	123.5917
112	000592.XSHE	平潭发展	78.2371
113	000596.XSHE	古井贡酒	515.9382
114	000597.XSHE	东北制药	85.4936
115	000598.XSHE	兴蓉环境	148.1164
116	000600.XSHE	建投能源	138.851
117	000601.XSHE	韶能股份	57.8095
118	000603.XSHE	盛达矿业	75.3447
119	000612.XSHE	焦作万方	58.1793
120	000615.XSHE	京汉股份	56.0878
121	000620.XSHE	新华联	91.4205
122	000623.XSHE	吉林敖东	214.5334
123	000625.XSHE	长安汽车	456.2516
124	000626.XSHE	远大控股	53.3103
125	000627.XSHE	天茂集团	357.7016
126	000630.XSHE	铜陵有色	275.7952
127	000631.XSHE	顺发恒业	91.706
128	000636.XSHE	风华高科	136.344
129	000639.XSHE	西王食品	74.9432
130	000650.XSHE	仁和药业	86.0646
131	000651.XSHE	格力电器	3410.9194
132	000656.XSHE	金科股份	426.1093
133	000657.XSHE	中钨高新	60.464
134	000661.XSHE	长春高新	509.8435
135	000665.XSHE	湖北广电	61.7212
136	000666.XSHE	经纬纺机	108.2248
137	000667.XSHE	美好置业	71.6686
138	000671.XSHE	阳光城	311.4506
139	000672.XSHE	上峰水泥	108.2114
140	000673.XSHE	当代东方	47.968
141	000676.XSHE	智度股份	111.89399999999999
142	000681.XSHE	视觉中国	158.891
143	000683.XSHE	远兴能源	122.0832
144	000685.XSHE	中山公用	133.6451
145	000686.XSHE	东北证券	241.0667
146	000687.XSHE	华讯方舟	65.7399
147	000688.XSHE	国城矿业	140.6839
148	000690.XSHE	宝新能源	167.5434
149	000697.XSHE	炼石航空	90.5338
150	000700.XSHE	模塑科技	34.6589
151	000701.XSHE	厦门信达	31.3499
152	000703.XSHE	恒逸石化	451.26599999999996
153	000709.XSHE	河钢股份	367.4038
154	000710.XSHE	贝瑞基因	141.665
155	000711.XSHE	京蓝科技	70.5307
156	000712.XSHE	锦龙股份	131.0848
157	000717.XSHE	韶钢松山	139.6066
158	000718.XSHE	苏宁环球	125.027
159	000722.XSHE	湖南发展	44.9769
160	000723.XSHE	美锦能源	641.9358
161	000725.XSHE	京东方A	1332.7787
162	000726.XSHE	鲁泰A	91.6474
163	000727.XSHE	华东科技	116.4099
164	000728.XSHE	国元证券	354.045
