	date	value	pe	pb
0	2005/01/05	108.0	30.36	2.14
1	2005/01/06	108.0	30.17	2.13
2	2005/01/07	108.0	30.1	2.13
3	2005/01/10	108.0	30.3	2.15
4	2005/01/11	108.0	30.39	2.15
5	2005/01/12	108.0	30.3	2.15
6	2005/01/13	108.0	30.38	2.15
7	2005/01/14	108.0	30.16	2.14
8	2005/01/17	108.0	29.39	2.08
9	2005/01/18	108.0	29.77	2.12
10	2005/01/19	108.0	29.52	2.11
11	2005/01/20	108.0	28.96	2.07
12	2005/01/21	108.0	29.61	2.11
13	2005/01/24	108.0	30.18	2.16
14	2005/01/25	108.0	29.86	2.13
15	2005/01/26	108.0	29.62	2.11
16	2005/01/27	108.0	29.28	2.09
17	2005/01/28	108.0	28.8	2.04
18	2005/01/31	108.0	28.08	1.96
19	2005/02/01	108.0	27.63	1.93
20	2005/02/02	108.0	29.01	2.04
21	2005/02/03	108.0	28.41	1.99
22	2005/02/04	108.0	29.02	2.02
23	2005/02/16	108.0	29.23	2.04
24	2005/02/17	108.0	29.31	2.05
25	2005/02/18	108.0	29.08	2.03
26	2005/02/21	108.0	29.55	2.07
27	2005/02/22	108.0	30.4	2.13
28	2005/02/23	108.0	30.63	2.14
29	2005/02/24	108.0	30.79	2.16
30	2005/02/25	108.0	30.97	2.16
31	2005/02/28	108.0	31.5	2.16
32	2005/03/01	108.0	31.3	2.16
33	2005/03/02	108.0	30.85	2.13
34	2005/03/03	108.0	30.97	2.14
35	2005/03/04	108.0	30.77	2.12
36	2005/03/07	108.0	30.79	2.12
37	2005/03/08	108.0	31.76	2.17
38	2005/03/09	108.0	31.77	2.18
39	2005/03/10	108.0	31.46	2.15
40	2005/03/11	108.0	31.72	2.15
41	2005/03/14	108.0	31.73	2.14
42	2005/03/15	108.0	31.27	2.11
43	2005/03/16	108.0	30.76	2.08
44	2005/03/17	108.0	30.42	2.06
45	2005/03/18	108.0	29.76	2.01
46	2005/03/21	108.0	29.95	2.02
47	2005/03/22	108.0	29.52	1.96
48	2005/03/23	108.0	29.37	1.95
49	2005/03/24	108.0	31.16	1.98
50	2005/03/25	108.0	30.81	1.98
51	2005/03/28	108.0	30.44	1.96
52	2005/03/29	108.0	30.52	1.96
53	2005/03/30	108.0	29.69	1.89
54	2005/03/31	108.0	29.83	1.85
55	2005/04/01	108.0	30.94	1.92
56	2005/04/04	108.0	30.4	1.88
57	2005/04/05	108.0	30.04	1.87
58	2005/04/06	108.0	30.58	1.9
59	2005/04/07	108.0	31.17	1.95
60	2005/04/08	108.0	31.9	1.99
61	2005/04/11	108.0	31.77	1.99
62	2005/04/12	108.0	31.08	1.95
63	2005/04/13	108.0	31.74	1.99
64	2005/04/14	108.0	31.38	1.95
65	2005/04/15	108.0	31.33	1.9
66	2005/04/18	108.0	31.12	1.87
67	2005/04/19	108.0	30.87	1.86
68	2005/04/20	108.0	30.24	1.82
69	2005/04/21	108.0	30.21	1.8
70	2005/04/22	108.0	29.95	1.78
71	2005/04/25	108.0	29.26	1.74
72	2005/04/26	108.0	30.54	1.78
73	2005/04/27	108.0	30.17	1.76
74	2005/04/28	108.0	30.66	1.81
75	2005/04/29	107.0	29.85	1.77
76	2005/05/09	107.0	28.89	1.7
77	2005/05/10	107.0	28.92	1.71
78	2005/05/11	107.0	28.73	1.7
79	2005/05/12	107.0	28.61	1.7
80	2005/05/13	107.0	28.88	1.72
81	2005/05/16	107.0	28.76	1.71
82	2005/05/17	107.0	29.2	1.74
83	2005/05/18	107.0	29.3	1.76
84	2005/05/19	107.0	29.32	1.76
85	2005/05/20	107.0	29.19	1.75
86	2005/05/23	107.0	28.37	1.69
87	2005/05/24	107.0	28.85	1.73
88	2005/05/25	107.0	28.54	1.72
89	2005/05/26	107.0	27.94	1.69
90	2005/05/27	107.0	27.55	1.68
91	2005/05/30	107.0	27.69	1.69
92	2005/05/31	107.0	27.67	1.69
93	2005/06/01	107.0	27.07	1.65
94	2005/06/02	107.0	26.53	1.63
95	2005/06/03	107.0	26.54	1.64
96	2005/06/06	107.0	27.0	1.65
97	2005/06/07	107.0	26.96	1.65
98	2005/06/08	107.0	29.06	1.78
99	2005/06/09	107.0	29.31	1.79
100	2005/06/10	107.0	28.51	1.75
