	code	name	HY_CODE	HY_NAME
0	000059.XSHE	华锦股份	HY001	能源
1	000096.XSHE	广聚能源	HY001	能源
2	000159.XSHE	国际实业	HY001	能源
3	000552.XSHE	靖远煤电	HY001	能源
4	000554.XSHE	泰山石油	HY001	能源
5	000723.XSHE	美锦能源	HY001	能源
6	000780.XSHE	平庄能源	HY001	能源
7	000852.XSHE	石化机械	HY001	能源
8	000937.XSHE	冀中能源	HY001	能源
9	000968.XSHE	蓝焰控股	HY001	能源
10	000983.XSHE	西山煤电	HY001	能源
11	002128.XSHE	露天煤业	HY001	能源
12	002207.XSHE	ST准油	HY001	能源
13	002221.XSHE	东华能源	HY001	能源
14	002267.XSHE	陕天然气	HY001	能源
15	002278.XSHE	神开股份	HY001	能源
16	002353.XSHE	杰瑞股份	HY001	能源
17	002490.XSHE	山东墨龙	HY001	能源
18	002554.XSHE	惠博普	HY001	能源
19	002629.XSHE	*ST仁智	HY001	能源
20	002778.XSHE	高科石化	HY001	能源
21	002828.XSHE	贝肯能源	HY001	能源
22	300084.XSHE	海默科技	HY001	能源
23	300157.XSHE	恒泰艾普	HY001	能源
24	300164.XSHE	通源石油	HY001	能源
25	300191.XSHE	潜能恒信	HY001	能源
26	300483.XSHE	沃施股份	HY001	能源
27	600028.XSHG	中国石化	HY001	能源
28	600121.XSHG	郑州煤电	HY001	能源
29	600123.XSHG	兰花科创	HY001	能源
30	600157.XSHG	永泰能源	HY001	能源
31	600188.XSHG	兖州煤业	HY001	能源
32	600256.XSHG	广汇能源	HY001	能源
33	600339.XSHG	中油工程	HY001	能源
34	600348.XSHG	阳泉煤业	HY001	能源
35	600387.XSHG	海越能源	HY001	能源
36	600395.XSHG	盘江股份	HY001	能源
37	600397.XSHG	安源煤业	HY001	能源
38	600403.XSHG	大有能源	HY001	能源
39	600408.XSHG	ST安泰	HY001	能源
40	600508.XSHG	上海能源	HY001	能源
41	600546.XSHG	山煤国际	HY001	能源
42	600583.XSHG	海油工程	HY001	能源
43	600688.XSHG	上海石化	HY001	能源
44	600725.XSHG	ST云维	HY001	能源
45	600740.XSHG	山西焦化	HY001	能源
46	600759.XSHG	洲际油气	HY001	能源
47	600777.XSHG	新潮能源	HY001	能源
48	600792.XSHG	云煤能源	HY001	能源
49	600856.XSHG	ST中天	HY001	能源
50	600871.XSHG	石化油服	HY001	能源
51	600968.XSHG	海油发展	HY001	能源
52	600971.XSHG	恒源煤电	HY001	能源
53	600985.XSHG	淮北矿业	HY001	能源
54	600997.XSHG	开滦股份	HY001	能源
55	601001.XSHG	大同煤业	HY001	能源
56	601011.XSHG	宝泰隆	HY001	能源
57	601015.XSHG	陕西黑猫	HY001	能源
58	601088.XSHG	中国神华	HY001	能源
59	601101.XSHG	昊华能源	HY001	能源
60	601225.XSHG	陕西煤业	HY001	能源
61	601666.XSHG	平煤股份	HY001	能源
62	601699.XSHG	潞安环能	HY001	能源
63	601798.XSHG	ST蓝科	HY001	能源
64	601808.XSHG	中海油服	HY001	能源
65	601857.XSHG	中国石油	HY001	能源
66	601898.XSHG	中煤能源	HY001	能源
67	601918.XSHG	新集能源	HY001	能源
68	603003.XSHG	龙宇燃油	HY001	能源
69	603036.XSHG	如通股份	HY001	能源
70	603113.XSHG	金能科技	HY001	能源
71	603619.XSHG	中曼石油	HY001	能源
72	603689.XSHG	皖天然气	HY001	能源
73	603727.XSHG	博迈科	HY001	能源
74	603798.XSHG	康普顿	HY001	能源
75	603800.XSHG	道森股份	HY001	能源
76	603906.XSHG	龙蟠科技	HY001	能源
77	000012.XSHE	南玻A	HY002	材料
78	000023.XSHE	深天地A	HY002	材料
79	000060.XSHE	中金岭南	HY002	材料
80	000301.XSHE	东方盛虹	HY002	材料
81	000401.XSHE	冀东水泥	HY002	材料
82	000408.XSHE	藏格控股	HY002	材料
83	000420.XSHE	吉林化纤	HY002	材料
84	000422.XSHE	ST宜化	HY002	材料
85	000426.XSHE	兴业矿业	HY002	材料
86	000488.XSHE	晨鸣纸业	HY002	材料
87	000510.XSHE	新金路	HY002	材料
88	000525.XSHE	红太阳	HY002	材料
89	000534.XSHE	万泽股份	HY002	材料
90	000545.XSHE	金浦钛业	HY002	材料
91	000546.XSHE	金圆股份	HY002	材料
92	000553.XSHE	安道麦A	HY002	材料
93	000565.XSHE	渝三峡A	HY002	材料
94	000576.XSHE	广东甘化	HY002	材料
95	000592.XSHE	平潭发展	HY002	材料
96	000603.XSHE	盛达资源	HY002	材料
97	000612.XSHE	焦作万方	HY002	材料
98	000629.XSHE	攀钢钒钛	HY002	材料
99	000630.XSHE	铜陵有色	HY002	材料
100	000633.XSHE	合金投资	HY002	材料
101	000635.XSHE	英力特	HY002	材料
102	000637.XSHE	茂化实华	HY002	材料
103	000655.XSHE	金岭矿业	HY002	材料
104	000657.XSHE	中钨高新	HY002	材料
105	000659.XSHE	珠海中富	HY002	材料
106	000672.XSHE	上峰水泥	HY002	材料
107	000677.XSHE	恒天海龙	HY002	材料
108	000683.XSHE	远兴能源	HY002	材料
109	000688.XSHE	国城矿业	HY002	材料
110	000698.XSHE	沈阳化工	HY002	材料
111	000703.XSHE	恒逸石化	HY002	材料
112	000707.XSHE	ST双环	HY002	材料
113	000708.XSHE	中信特钢	HY002	材料
114	000709.XSHE	河钢股份	HY002	材料
115	000717.XSHE	韶钢松山	HY002	材料
116	000731.XSHE	四川美丰	HY002	材料
117	000737.XSHE	ST南风	HY002	材料
118	000751.XSHE	锌业股份	HY002	材料
119	000758.XSHE	中色股份	HY002	材料
120	000761.XSHE	本钢板材	HY002	材料
121	000762.XSHE	西藏矿业	HY002	材料
122	000778.XSHE	新兴铸管	HY002	材料
123	000782.XSHE	美达股份	HY002	材料
124	000786.XSHE	北新建材	HY002	材料
125	000789.XSHE	万年青	HY002	材料
126	000792.XSHE	*ST盐湖	HY002	材料
127	000795.XSHE	英洛华	HY002	材料
128	000807.XSHE	云铝股份	HY002	材料
129	000815.XSHE	美利云	HY002	材料
130	000818.XSHE	航锦科技	HY002	材料
131	000819.XSHE	岳阳兴长	HY002	材料
132	000822.XSHE	山东海化	HY002	材料
133	000825.XSHE	太钢不锈	HY002	材料
134	000830.XSHE	鲁西化工	HY002	材料
135	000831.XSHE	五矿稀土	HY002	材料
136	000859.XSHE	国风塑业	HY002	材料
137	000877.XSHE	天山股份	HY002	材料
138	000878.XSHE	云南铜业	HY002	材料
139	000890.XSHE	法尔胜	HY002	材料
140	000898.XSHE	鞍钢股份	HY002	材料
141	000902.XSHE	新洋丰	HY002	材料
142	000910.XSHE	大亚圣象	HY002	材料
143	000912.XSHE	泸天化	HY002	材料
144	000920.XSHE	南方汇通	HY002	材料
145	000923.XSHE	河北宣工	HY002	材料
146	000930.XSHE	中粮科技	HY002	材料
147	000932.XSHE	华菱钢铁	HY002	材料
148	000933.XSHE	神火股份	HY002	材料
149	000935.XSHE	四川双马	HY002	材料
150	000936.XSHE	华西股份	HY002	材料
151	000949.XSHE	新乡化纤	HY002	材料
152	000953.XSHE	*ST河化	HY002	材料
153	000959.XSHE	首钢股份	HY002	材料
154	000960.XSHE	锡业股份	HY002	材料
155	000962.XSHE	东方钽业	HY002	材料
156	000969.XSHE	安泰科技	HY002	材料
157	000970.XSHE	中科三环	HY002	材料
158	000973.XSHE	佛塑科技	HY002	材料
159	000975.XSHE	银泰黄金	HY002	材料
160	000985.XSHE	大庆华科	HY002	材料
161	000990.XSHE	诚志股份	HY002	材料
162	002002.XSHE	鸿达兴业	HY002	材料
163	002004.XSHE	华邦健康	HY002	材料
164	002012.XSHE	凯恩股份	HY002	材料
165	002014.XSHE	永新股份	HY002	材料
166	002037.XSHE	久联发展	HY002	材料
167	002043.XSHE	兔宝宝	HY002	材料
168	002053.XSHE	云南能投	HY002	材料
169	002054.XSHE	德美化工	HY002	材料
170	002056.XSHE	横店东磁	HY002	材料
171	002057.XSHE	中钢天源	HY002	材料
172	002064.XSHE	华峰氨纶	HY002	材料
173	002066.XSHE	瑞泰科技	HY002	材料
174	002067.XSHE	景兴纸业	HY002	材料
175	002068.XSHE	黑猫股份	HY002	材料
176	002075.XSHE	沙钢股份	HY002	材料
177	002078.XSHE	太阳纸业	HY002	材料
178	002080.XSHE	中材科技	HY002	材料
179	002082.XSHE	万邦德	HY002	材料
180	002088.XSHE	鲁阳节能	HY002	材料
181	002092.XSHE	中泰化学	HY002	材料
182	002096.XSHE	南岭民爆	HY002	材料
183	002108.XSHE	沧州明珠	HY002	材料
184	002109.XSHE	兴化股份	HY002	材料
185	002110.XSHE	三钢闽光	HY002	材料
186	002114.XSHE	罗平锌电	HY002	材料
187	002125.XSHE	湘潭电化	HY002	材料
188	002132.XSHE	恒星科技	HY002	材料
189	002136.XSHE	安纳达	HY002	材料
190	002145.XSHE	中核钛白	HY002	材料
191	002149.XSHE	西部材料	HY002	材料
192	002155.XSHE	湖南黄金	HY002	材料
193	002160.XSHE	常铝股份	HY002	材料
194	002162.XSHE	悦心健康	HY002	材料
195	002165.XSHE	红宝丽	HY002	材料
196	002167.XSHE	东方锆业	HY002	材料
197	002170.XSHE	芭田股份	HY002	材料
198	002171.XSHE	楚江新材	HY002	材料
199	002182.XSHE	云海金属	HY002	材料
200	002192.XSHE	融捷股份	HY002	材料
201	002201.XSHE	九鼎新材	HY002	材料
202	002203.XSHE	海亮股份	HY002	材料
203	002205.XSHE	国统股份	HY002	材料
204	002206.XSHE	海利得	HY002	材料
205	002211.XSHE	宏达新材	HY002	材料
206	002215.XSHE	诺普信	HY002	材料
207	002224.XSHE	三力士	HY002	材料
208	002225.XSHE	濮耐股份	HY002	材料
209	002226.XSHE	江南化工	HY002	材料
210	002228.XSHE	合兴包装	HY002	材料
211	002233.XSHE	塔牌集团	HY002	材料
212	002237.XSHE	恒邦股份	HY002	材料
213	002240.XSHE	威华股份	HY002	材料
214	002243.XSHE	通产丽星	HY002	材料
215	002246.XSHE	北化股份	HY002	材料
216	002250.XSHE	联化科技	HY002	材料
217	002254.XSHE	泰和新材	HY002	材料
218	002256.XSHE	兆新股份	HY002	材料
219	002258.XSHE	利尔化学	HY002	材料
220	002263.XSHE	*ST东南	HY002	材料
221	002271.XSHE	东方雨虹	HY002	材料
222	002274.XSHE	华昌化工	HY002	材料
223	002295.XSHE	精艺股份	HY002	材料
224	002302.XSHE	西部建设	HY002	材料
225	002303.XSHE	美盈森	HY002	材料
226	002318.XSHE	久立特材	HY002	材料
227	002319.XSHE	乐通股份	HY002	材料
228	002324.XSHE	普利特	HY002	材料
229	002326.XSHE	永太科技	HY002	材料
230	002340.XSHE	格林美	HY002	材料
231	002341.XSHE	新纶科技	HY002	材料
232	002360.XSHE	同德化工	HY002	材料
233	002361.XSHE	神剑股份	HY002	材料
234	002378.XSHE	章源钨业	HY002	材料
235	002379.XSHE	宏创控股	HY002	材料
236	002381.XSHE	双箭股份	HY002	材料
237	002386.XSHE	天原集团	HY002	材料
238	002391.XSHE	长青股份	HY002	材料
239	002392.XSHE	北京利尔	HY002	材料
240	002395.XSHE	双象股份	HY002	材料
241	002398.XSHE	垒知集团	HY002	材料
242	002407.XSHE	多氟多	HY002	材料
243	002408.XSHE	齐翔腾达	HY002	材料
244	002409.XSHE	雅克科技	HY002	材料
