code	display_name	date	weight
002044.XSHE	美年健康	2018-09-30	1.292
002332.XSHE	仙琚制药	2018-09-30	0.294
300003.XSHE	乐普医疗	2018-09-30	2.105
600587.XSHG	新华医疗	2018-09-30	0.242
600252.XSHG	中恒集团	2018-09-30	0.508
300702.XSHE	天宇股份	2018-09-30	0.052
600216.XSHG	浙江医药	2018-09-30	0.365
000150.XSHE	宜华健康	2018-09-30	0.323
000623.XSHE	吉林敖东	2018-09-30	0.955
002675.XSHE	东诚药业	2018-09-30	0.259
600812.XSHG	华北制药	2018-09-30	0.23
300381.XSHE	溢多利	2018-09-30	0.096
002370.XSHE	亚太药业	2018-09-30	0.125
603883.XSHG	老百姓	2018-09-30	0.342
603882.XSHG	金域医学	2018-09-30	0.091
300676.XSHE	华大基因	2018-09-30	0.199
300677.XSHE	英科医疗	2018-09-30	0.064
600085.XSHG	同仁堂	2018-09-30	1.098
600080.XSHG	金花股份	2018-09-30	0.158
600572.XSHG	康恩贝	2018-09-30	0.57
600129.XSHG	太极集团	2018-09-30	0.221
000638.XSHE	万方发展	2018-09-30	0.066
600557.XSHG	康缘药业	2018-09-30	0.281
000790.XSHE	泰合健康	2018-09-30	0.13
300026.XSHE	红日药业	2018-09-30	0.403
300142.XSHE	沃森生物	2018-09-30	1.667
603233.XSHG	大参林	2018-09-30	0.12
300255.XSHE	常山药业	2018-09-30	0.114
600645.XSHG	中源协和	2018-09-30	0.4
300147.XSHE	香雪制药	2018-09-30	0.203
000952.XSHE	广济药业	2018-09-30	0.171
600062.XSHG	华润双鹤	2018-09-30	0.522
002562.XSHE	兄弟科技	2018-09-30	0.138
000739.XSHE	普洛药业	2018-09-30	0.308
000931.XSHE	中关村	2018-09-30	0.217
300253.XSHE	卫宁健康	2018-09-30	0.908
002118.XSHE	紫鑫药业	2018-09-30	0.175
600998.XSHG	九州通	2018-09-30	0.54
300006.XSHE	莱美药业	2018-09-30	0.127
002365.XSHE	永安药业	2018-09-30	0.197
603676.XSHG	卫信康	2018-09-30	0.06
603976.XSHG	正川股份	2018-09-30	0.04
600993.XSHG	马应龙	2018-09-30	0.285
002680.XSHE	ST长生	2018-09-30	0.099
300558.XSHE	贝达药业	2018-09-30	0.414
603108.XSHG	润达医疗	2018-09-30	0.145
300497.XSHE	富祥股份	2018-09-30	0.13
002603.XSHE	以岭药业	2018-09-30	0.48
300314.XSHE	戴维医疗	2018-09-30	0.072
000028.XSHE	国药一致	2018-09-30	0.436
600867.XSHG	通化东宝	2018-09-30	1.56
600090.XSHG	同济堂	2018-09-30	0.198
002287.XSHE	奇正藏药	2018-09-30	0.076
300396.XSHE	迪瑞医疗	2018-09-30	0.118
600713.XSHG	南京医药	2018-09-30	0.183
300158.XSHE	振东制药	2018-09-30	0.122
300015.XSHE	爱尔眼科	2018-09-30	1.873
300016.XSHE	北陆药业	2018-09-30	0.182
300451.XSHE	创业软件	2018-09-30	0.302
000788.XSHE	北大医药	2018-09-30	0.14
000423.XSHE	东阿阿胶	2018-09-30	1.342
002821.XSHE	凯莱英	2018-09-30	0.614
000989.XSHE	九芝堂	2018-09-30	0.404
002219.XSHE	恒康医疗	2018-09-30	0.14
000538.XSHE	云南白药	2018-09-30	2.595
300633.XSHE	开立医疗	2018-09-30	0.085
600079.XSHG	人福医药	2018-09-30	0.696
603858.XSHG	步长制药	2018-09-30	0.749
002728.XSHE	特一药业	2018-09-30	0.077
300086.XSHE	康芝药业	2018-09-30	0.141
603456.XSHG	九洲药业	2018-09-30	0.167
002022.XSHE	科华生物	2018-09-30	0.291
300244.XSHE	迪安诊断	2018-09-30	0.313
002020.XSHE	京新药业	2018-09-30	0.325
002166.XSHE	莱茵生物	2018-09-30	0.151
603520.XSHG	司太立	2018-09-30	0.08
300401.XSHE	花园生物	2018-09-30	0.286
002102.XSHE	冠福股份	2018-09-30	0.323
300406.XSHE	九强生物	2018-09-30	0.169
002901.XSHE	大博医疗	2018-09-30	0.09
300482.XSHE	万孚生物	2018-09-30	0.298
600851.XSHG	海欣股份	2018-09-30	0.306
300485.XSHE	赛升药业	2018-09-30	0.15
600380.XSHG	健康元	2018-09-30	0.488
300562.XSHE	乐心医疗	2018-09-30	0.064
002294.XSHE	信立泰	2018-09-30	0.767
300639.XSHE	凯普生物	2018-09-30	0.058
600479.XSHG	千金药业	2018-09-30	0.163
600781.XSHG	辅仁药业	2018-09-30	0.186
600267.XSHG	海正药业	2018-09-30	0.428
300363.XSHE	博腾股份	2018-09-30	0.122
300009.XSHE	安科生物	2018-09-30	0.528
002826.XSHE	易明医药	2018-09-30	0.049
600299.XSHG	安迪苏	2018-09-30	0.219
600789.XSHG	鲁抗医药	2018-09-30	0.367
600664.XSHG	哈药股份	2018-09-30	0.363
300110.XSHE	华仁药业	2018-09-30	0.162
002880.XSHE	卫光生物	2018-09-30	0.09
000919.XSHE	金陵药业	2018-09-30	0.13
300685.XSHE	艾德生物	2018-09-30	0.151
600201.XSHG	生物股份	2018-09-30	1.111
300326.XSHE	凯利泰	2018-09-30	0.261
000915.XSHE	山大华特	2018-09-30	0.187
002349.XSHE	精华制药	2018-09-30	0.113
002223.XSHE	鱼跃医疗	2018-09-30	0.712
000756.XSHE	新华制药	2018-09-30	0.087
300357.XSHE	我武生物	2018-09-30	0.393
002030.XSHE	达安基因	2018-09-30	0.632
000999.XSHE	华润三九	2018-09-30	0.645
603168.XSHG	莎普爱思	2018-09-30	0.067
002038.XSHE	双鹭药业	2018-09-30	0.892
300273.XSHE	和佳股份	2018-09-30	0.202
603222.XSHG	济民制药	2018-09-30	0.085
002581.XSHE	未名医药	2018-09-30	0.159
300723.XSHE	一品红	2018-09-30	0.099
002626.XSHE	金达威	2018-09-30	0.231
002422.XSHE	科伦药业	2018-09-30	1.522
002589.XSHE	瑞康医药	2018-09-30	0.787
002727.XSHE	一心堂	2018-09-30	0.365
002424.XSHE	贵州百灵	2018-09-30	0.26
600276.XSHG	恒瑞医药	2018-09-30	9.151
002773.XSHE	康弘药业	2018-09-30	0.209
603368.XSHG	柳药股份	2018-09-30	0.261
600566.XSHG	济川药业	2018-09-30	0.621
002433.XSHE	太安堂	2018-09-30	0.187
