code	display_name	date	weight
002555.XSHE	三七互娱	2018-09-30	1.92
000681.XSHE	视觉中国	2018-09-30	2.143
002558.XSHE	巨人网络	2018-09-30	2.664
600037.XSHG	歌华有线	2018-09-30	1.45
002027.XSHE	分众传媒	2018-09-30	10.185
000156.XSHE	华数传媒	2018-09-30	1.035
002530.XSHE	金财互联	2018-09-30	0.449
002517.XSHE	恺英网络	2018-09-30	1.112
002354.XSHE	天神娱乐	2018-09-30	0.847
300383.XSHE	光环新网	2018-09-30	3.193
002439.XSHE	启明星辰	2018-09-30	2.136
601019.XSHG	山东出版	2018-09-30	0.436
603888.XSHG	新华网	2018-09-30	0.715
300182.XSHE	捷成股份	2018-09-30	1.796
002739.XSHE	万达电影	2018-09-30	5.341
000793.XSHE	华闻传媒	2018-09-30	1.148
300027.XSHE	华谊兄弟	2018-09-30	1.972
002195.XSHE	二三四五	2018-09-30	2.618
601360.XSHG	三六零	2018-09-30	2.167
300413.XSHE	芒果超媒	2018-09-30	2.417
601098.XSHG	中南传媒	2018-09-30	1.843
000839.XSHE	中信国安	2018-09-30	2.624
002131.XSHE	利欧股份	2018-09-30	1.463
000503.XSHE	国新健康	2018-09-30	3.118
000917.XSHE	电广传媒	2018-09-30	1.256
603000.XSHG	人民网	2018-09-30	0.902
601801.XSHG	皖新传媒	2018-09-30	0.963
300251.XSHE	光线传媒	2018-09-30	1.562
002174.XSHE	游族网络	2018-09-30	1.456
600373.XSHG	中文传媒	2018-09-30	1.306
300058.XSHE	蓝色光标	2018-09-30	1.479
601928.XSHG	凤凰传媒	2018-09-30	1.01
000676.XSHE	智度股份	2018-09-30	0.992
300459.XSHE	金科文化	2018-09-30	1.064
603533.XSHG	掌阅科技	2018-09-30	0.236
600959.XSHG	江苏有线	2018-09-30	1.54
002624.XSHE	完美世界	2018-09-30	2.144
300315.XSHE	掌趣科技	2018-09-30	2.389
600633.XSHG	浙数文化	2018-09-30	1.216
600715.XSHG	文投控股	2018-09-30	0.404
603103.XSHG	横店影视	2018-09-30	0.303
600637.XSHG	东方明珠	2018-09-30	3.731
300059.XSHE	东方财富	2018-09-30	10.069
601949.XSHG	中国出版	2018-09-30	0.334
600977.XSHG	中国电影	2018-09-30	2.134
300113.XSHE	顺网科技	2018-09-30	1.37
300017.XSHE	网宿科技	2018-09-30	3.17
300418.XSHE	昆仑万维	2018-09-30	1.948
300133.XSHE	华策影视	2018-09-30	1.43
603444.XSHG	吉比特	2018-09-30	0.803
