code	display_name	date	weight
000002.XSHE	万科A	2019-03-30	0.811
001872.XSHE	招商港口	2019-03-30	0.959
000036.XSHE	华联控股	2019-03-30	1.317
000157.XSHE	中联重科	2019-03-30	0.996
000402.XSHE	金融街	2019-03-30	0.868
000429.XSHE	粤高速A	2019-03-30	1.242
000488.XSHE	晨鸣纸业	2019-03-30	0.978
000541.XSHE	佛山照明	2019-03-30	0.953
000550.XSHE	江铃汽车	2019-03-30	4.082
000568.XSHE	泸州老窖	2019-03-30	0.673
000600.XSHE	建投能源	2019-03-30	0.732
000625.XSHE	长安汽车	2019-03-30	1.163
000631.XSHE	顺发恒业	2019-03-30	1.23
000656.XSHE	金科股份	2019-03-30	1.072
000726.XSHE	鲁泰A	2019-03-30	0.987
000776.XSHE	广发证券	2019-03-30	0.566
000828.XSHE	东莞控股	2019-03-30	0.645
000848.XSHE	承德露露	2019-03-30	1.012
000876.XSHE	新希望	2019-03-30	1.527
000895.XSHE	双汇发展	2019-03-30	1.095
002001.XSHE	新和成	2019-03-30	0.569
600011.XSHG	华能国际	2019-03-30	0.492
600012.XSHG	皖通高速	2019-03-30	0.519
600016.XSHG	民生银行	2019-03-30	0.467
600019.XSHG	宝钢股份	2019-03-30	0.887
600020.XSHG	中原高速	2019-03-30	0.958
600028.XSHG	中国石化	2019-03-30	1.269
600033.XSHG	福建高速	2019-03-30	0.851
600036.XSHG	招商银行	2019-03-30	0.753
600066.XSHG	宇通客车	2019-03-30	0.817
600104.XSHG	上汽集团	2019-03-30	1.249
600153.XSHG	建发股份	2019-03-30	0.627
600162.XSHG	香江控股	2019-03-30	1.125
600177.XSHG	雅戈尔	2019-03-30	0.975
600183.XSHG	生益科技	2019-03-30	0.79
600269.XSHG	赣粤高速	2019-03-30	0.736
600312.XSHG	平高电气	2019-03-30	0.604
600325.XSHG	华发股份	2019-03-30	1.486
600350.XSHG	山东高速	2019-03-30	0.752
600376.XSHG	首开股份	2019-03-30	1.439
600377.XSHG	宁沪高速	2019-03-30	0.954
600383.XSHG	金地集团	2019-03-30	1.524
600398.XSHG	海澜之家	2019-03-30	1.05
600507.XSHG	方大特钢	2019-03-30	1.985
600563.XSHG	法拉电子	2019-03-30	0.572
600585.XSHG	海螺水泥	2019-03-30	0.736
600642.XSHG	申能股份	2019-03-30	0.821
600660.XSHG	福耀玻璃	2019-03-30	0.888
600664.XSHG	哈药股份	2019-03-30	3.174
600674.XSHG	川投能源	2019-03-30	0.711
600688.XSHG	上海石化	2019-03-30	0.945
600704.XSHG	物产中大	2019-03-30	0.898
600741.XSHG	华域汽车	2019-03-30	1.087
600743.XSHG	华远地产	2019-03-30	0.658
600795.XSHG	国电电力	2019-03-30	0.643
600835.XSHG	上海机电	2019-03-30	0.507
600873.XSHG	梅花生物	2019-03-30	1.447
600886.XSHG	国投电力	2019-03-30	0.544
600887.XSHG	伊利股份	2019-03-30	0.69
600897.XSHG	厦门空港	2019-03-30	1.009
600900.XSHG	长江电力	2019-03-30	1.088
002016.XSHE	世荣兆业	2019-03-30	1.137
601988.XSHG	中国银行	2019-03-30	0.953
600048.XSHG	保利地产	2019-03-30	0.713
601006.XSHG	大秦铁路	2019-03-30	0.884
601398.XSHG	工商银行	2019-03-30	0.902
600018.XSHG	上港集团	2019-03-30	0.691
002083.XSHE	孚日股份	2019-03-30	1.13
002110.XSHE	三钢闽光	2019-03-30	1.099
601166.XSHG	兴业银行	2019-03-30	0.882
000338.XSHE	潍柴动力	2019-03-30	1.374
601998.XSHG	中信银行	2019-03-30	0.838
601328.XSHG	交通银行	2019-03-30	0.979
002142.XSHE	宁波银行	2019-03-30	0.532
601009.XSHG	南京银行	2019-03-30	0.76
002146.XSHE	荣盛发展	2019-03-30	1.19
601939.XSHG	建设银行	2019-03-30	0.893
601088.XSHG	中国神华	2019-03-30	2.078
601601.XSHG	中国太保	2019-03-30	0.503
002206.XSHE	海利得	2019-03-30	0.783
601668.XSHG	中国建筑	2019-03-30	0.494
002419.XSHE	天虹股份	2019-03-30	0.622
002304.XSHE	洋河股份	2019-03-30	0.61
601877.XSHG	正泰电器	2019-03-30	0.622
002367.XSHE	康力电梯	2019-03-30	1.546
002372.XSHE	伟星新材	2019-03-30	0.795
601158.XSHG	重庆水务	2019-03-30	0.954
601288.XSHG	农业银行	2019-03-30	0.993
002478.XSHE	常宝股份	2019-03-30	1.208
601818.XSHG	光大银行	2019-03-30	0.743
002543.XSHE	万和电气	2019-03-30	0.731
603328.XSHG	依顿电子	2019-03-30	1.48
601566.XSHG	九牧王	2019-03-30	1.429
002601.XSHE	龙蟒佰利	2019-03-30	1.845
601636.XSHG	旗滨集团	2019-03-30	1.101
603001.XSHG	奥康国际	2019-03-30	0.762
603766.XSHG	隆鑫通用	2019-03-30	1.041
002713.XSHE	东易日盛	2019-03-30	1.051
000333.XSHE	美的集团	2019-03-30	0.667
600023.XSHG	浙能电力	2019-03-30	0.783
