code	display_name	date	weight
300271.XSHE	华宇软件	2020-07-11	0.8308
300010.XSHE	立思辰	2020-07-11	0.6175
300001.XSHE	特锐德	2020-07-11	0.5277
300003.XSHE	乐普医疗	2020-07-11	1.7911
300014.XSHE	亿纬锂能	2020-07-11	2.532
300009.XSHE	安科生物	2020-07-11	0.6989
300012.XSHE	华测检测	2020-07-11	1.1775
300017.XSHE	网宿科技	2020-07-11	0.7053
300015.XSHE	爱尔眼科	2020-07-11	3.2353
300024.XSHE	机器人	2020-07-11	0.7145
300033.XSHE	同花顺	2020-07-11	1.201
300026.XSHE	红日药业	2020-07-11	0.4116
300038.XSHE	数知科技	2020-07-11	0.2752
300058.XSHE	蓝色光标	2020-07-11	0.755
300059.XSHE	东方财富	2020-07-11	5.3513
300098.XSHE	高新兴	2020-07-11	0.3104
300073.XSHE	当升科技	2020-07-11	0.5125
300070.XSHE	碧水源	2020-07-11	0.5683
300072.XSHE	三聚环保	2020-07-11	0.2247
300078.XSHE	思创医惠	2020-07-11	0.3713
300088.XSHE	长信科技	2020-07-11	1.0101
300253.XSHE	卫宁健康	2020-07-11	1.6474
300124.XSHE	汇川技术	2020-07-11	1.8594
300113.XSHE	顺网科技	2020-07-11	0.4844
300133.XSHE	华策影视	2020-07-11	0.3243
300115.XSHE	长盈精密	2020-07-11	0.5711
300122.XSHE	智飞生物	2020-07-11	2.41
300136.XSHE	信维通信	2020-07-11	1.8869
300142.XSHE	沃森生物	2020-07-11	3.3438
300144.XSHE	宋城演艺	2020-07-11	1.0542
300168.XSHE	万达信息	2020-07-11	0.7905
300146.XSHE	汤臣倍健	2020-07-11	0.6574
300223.XSHE	北京君正	2020-07-11	0.533
300166.XSHE	东方国信	2020-07-11	0.4294
300180.XSHE	华峰超纤	2020-07-11	0.315
300182.XSHE	捷成股份	2020-07-11	0.31
300188.XSHE	美亚柏科	2020-07-11	0.3811
300207.XSHE	欣旺达	2020-07-11	0.8039
300212.XSHE	易华录	2020-07-11	0.8254
300226.XSHE	上海钢联	2020-07-11	0.4967
300244.XSHE	迪安诊断	2020-07-11	0.6579
300251.XSHE	光线传媒	2020-07-11	0.4927
300294.XSHE	博雅生物	2020-07-11	0.4033
300274.XSHE	阳光电源	2020-07-11	0.5971
300285.XSHE	国瓷材料	2020-07-11	0.968
300324.XSHE	旋极信息	2020-07-11	0.3049
300296.XSHE	利亚德	2020-07-11	0.4677
300308.XSHE	中际旭创	2020-07-11	0.7514
300315.XSHE	掌趣科技	2020-07-11	0.8099
300316.XSHE	晶盛机电	2020-07-11	0.6551
300347.XSHE	泰格医药	2020-07-11	2.3021
300383.XSHE	光环新网	2020-07-11	1.2452
300369.XSHE	绿盟科技	2020-07-11	0.467
300357.XSHE	我武生物	2020-07-11	0.693
300476.XSHE	胜宏科技	2020-07-11	0.4681
300463.XSHE	迈克生物	2020-07-11	0.9231
300418.XSHE	昆仑万维	2020-07-11	0.561
300529.XSHE	健帆生物	2020-07-11	1.207
300496.XSHE	中科创达	2020-07-11	0.9288
300433.XSHE	蓝思科技	2020-07-11	1.425
300474.XSHE	景嘉微	2020-07-11	0.3237
300482.XSHE	万孚生物	2020-07-11	0.7952
300450.XSHE	先导智能	2020-07-11	1.0768
300459.XSHE	金科文化	2020-07-11	0.2612
300457.XSHE	赢合科技	2020-07-11	0.5025
300451.XSHE	创业慧康	2020-07-11	0.5596
300558.XSHE	贝达药业	2020-07-11	1.2278
300413.XSHE	芒果超媒	2020-07-11	1.6444
300408.XSHE	三环集团	2020-07-11	1.2898
300567.XSHE	精测电子	2020-07-11	0.4527
300682.XSHE	朗新科技	2020-07-11	0.1621
300601.XSHE	康泰生物	2020-07-11	2.1038
300618.XSHE	寒锐钴业	2020-07-11	0.3983
300616.XSHE	尚品宅配	2020-07-11	0.1817
300595.XSHE	欧普康视	2020-07-11	0.8108
300498.XSHE	温氏股份	2020-07-11	4.6587
300661.XSHE	圣邦股份	2020-07-11	1.1885
300633.XSHE	开立医疗	2020-07-11	0.2853
300628.XSHE	亿联网络	2020-07-11	0.765
300699.XSHE	光威复材	2020-07-11	0.7347
300630.XSHE	普利制药	2020-07-11	0.4536
300676.XSHE	华大基因	2020-07-11	1.1484
300666.XSHE	江丰电子	2020-07-11	0.2604
300761.XSHE	立华股份	2020-07-11	0.1665
300674.XSHE	宇信科技	2020-07-11	0.4204
300773.XSHE	拉卡拉	2020-07-11	0.6219
300783.XSHE	三只松鼠	2020-07-11	0.1455
300724.XSHE	捷佳伟创	2020-07-11	0.6005
300760.XSHE	迈瑞医疗	2020-07-11	5.4806
300747.XSHE	锐科激光	2020-07-11	0.3931
300741.XSHE	华宝股份	2020-07-11	0.1996
300768.XSHE	迪普科技	2020-07-11	0.2996
300759.XSHE	康龙化成	2020-07-11	0.7443
300775.XSHE	三角防务	2020-07-11	0.2668
300748.XSHE	金力永磁	2020-07-11	0.2296
300454.XSHE	深信服	2020-07-11	1.5207
300766.XSHE	每日互动	2020-07-11	0.4212
300750.XSHE	宁德时代	2020-07-11	6.2565
300770.XSHE	新媒股份	2020-07-11	0.8212
300782.XSHE	卓胜微	2020-07-11	0.8527
