	market_cap	code
0	1847.5363	000001.XSHE
1	2366.563	000002.XSHE
2	146.0001	000060.XSHE
3	649.9189	000063.XSHE
4	449.5837	000069.XSHE
5	323.8366	000100.XSHE
6	239.8256	000157.XSHE
7	894.677	000166.XSHE
8	2677.7966	000333.XSHE
9	613.5161	000338.XSHE
10	180.5314	000402.XSHE
11	244.7247	000413.XSHE
12	223.2612	000415.XSHE
13	261.4778	000423.XSHE
14	258.5111	000425.XSHE
15	126.8185	000503.XSHE
16	731.375	000538.XSHE
17	341.1559	000540.XSHE
18	131.0504	000559.XSHE
19	633.5054	000568.XSHE
20	163.835	000623.XSHE
21	263.3172	000625.XSHE
22	263.3355	000627.XSHE
23	208.4254	000630.XSHE
24	2323.8767	000651.XSHE
25	208.5788	000671.XSHE
26	320.682	000709.XSHE
27	147.8115	000723.XSHE
28	942.0173	000725.XSHE
29	193.1767	000728.XSHE
30	395.6394	000768.XSHE
31	785.4426	000776.XSHE
32	233.8967	000783.XSHE
33	237.5448	000786.XSHE
34	204.2204	000792.XSHE
35	147.3496	000826.XSHE
36	114.4589	000839.XSHE
37	2309.1687	000858.XSHE
38	241.5777	000876.XSHE
39	787.2746	000895.XSHE
40	431.0846	000898.XSHE
41	488.1106	000938.XSHE
42	204.6994	000959.XSHE
43	191.7961	000961.XSHE
44	547.5446	000963.XSHE
45	195.3744	000983.XSHE
46	481.9005	001965.XSHE
47	1335.7917	001979.XSHE
48	329.158	002007.XSHE
49	368.13800000000003	002008.XSHE
50	1106.0327	002024.XSHE
51	1097.9054	002027.XSHE
52	429.2155	002044.XSHE
53	243.6244	002050.XSHE
54	217.7722	002065.XSHE
55	129.9192	002074.XSHE
56	204.8564	002081.XSHE
57	166.4215	002085.XSHE
58	880.2458	002142.XSHE
59	310.8937	002146.XSHE
60	324.6238	002153.XSHE
61	310.0823	002202.XSHE
62	447.38300000000004	002230.XSHE
63	357.1268	002236.XSHE
64	229.1043	002241.XSHE
65	971.0462	002252.XSHE
66	259.5166	002294.XSHE
67	1747.3525	002304.XSHE
68	215.1588	002310.XSHE
69	1775.0188	002352.XSHE
70	138.7459	002385.XSHE
71	315.4973	002411.XSHE
72	2214.5449	002415.XSHE
73	602.3071	002450.XSHE
