10万补充ETF计划	总市值	34488.65	累计收益	858.51
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9239	3813.64	7574.65	237.65
广发中证环保ETF联接A	001064	0.5489	9722	5283.91	-52.09
广发养老指数A	000968	0.9444	4943.96	4722.97	53.96
华夏中证500ETF联接A	001052	0.5423	7379.54	4103.02	101.02
广发中证传媒ETF联接A	004752	0.7329	4550.55	3499.37	164.37
富国中证红利指数增强	100032	1.0914	3055.68	3400.97	65.97
广发创业板ETF联接A	003765	0.9059	736.3	701.03	34.03
易方达创业板ETF联接A	110026	1.6649	400.63	700.14	33.14
易方达证券公司分级	502010	0.9949	281.57	279.88	-0.26
华宝标普石油指数	162411	0.3775	5299.96	2061.68	60.68
交银中证海外中国互联网指数	164906	1.1564	576.8	738.88	71.88
华夏恒生ETF联接A	000071	1.451	459.67	691.71	24.71
华安德国30(DAX)联接	000614	1.0903	611.75	730.43	63.43
