	名称	代码	市值（亿元）	涨跌幅	pe	pb	一级行业代码	一级行业名称	二级行业代码	二级行业名称	持有市值（元）	日盈亏	相关指数
0	中国平安	601318.XSHG	15428.5234	-1.41%	9.79	2.41	801790	非银金融I	801194	保险II	11237.93	-158.45	上证50,沪深300,300价值,养老产业,金融地产
1	恒瑞医药	600276.XSHG	3966.3799	-4.98%	81.14	17.13	801150	医药生物I	801151	化学制药II	11025.91	-549.09	上证50,沪深300,养老产业,全指医药
2	东方财富	300059.XSHE	924.0678	0.51%	59.53	4.45	801760	传媒I	801752	互联网传媒II	7494.03	38.22	沪深300,创业板,养老产业,中证传媒
3	中信证券	600030.XSHG	2606.3469	-0.51%	20.69	1.63	801790	非银金融I	801193	证券II	6697.39	-34.16	上证50,沪深300,证券公司,金融地产
4	招商银行	600036.XSHG	9238.0293	-1.69%	10.22	1.64	801780	银行I	801192	银行II	5564.46	-94.04	上证50,沪深300,300价值,中证红利,金融地产
5	兴业银行	601166.XSHG	3940.864	-0.74%	6.07	0.83	801780	银行I	801192	银行II	4622.8	-34.21	上证50,沪深300,300价值,中证红利,金融地产
6	海通证券	600837.XSHG	1578.0332	-0.15%	17.52	1.27	801790	非银金融I	801193	证券II	4618.38	-6.93	上证50,沪深300,证券公司,金融地产
7	分众传媒	002027.XSHE	821.9613	0.18%	34.63	6.1	801760	传媒I	801751	营销传播II	4590.45	8.26	沪深300,基本面60,基本面120,中证传媒
8	温氏股份	300498.XSHE	1903.8655	-0.42%	26.66	5.12	801010	农林牧渔I	801017	畜禽养殖II	4107.48	-17.25	沪深300,基本面60,基本面120,创业板
9	贵州茅台	600519.XSHG	14770.374	-4.44%	36.09	11.79	801120	食品饮料I	801123	饮料制造II	4101.43	-182.1	上证50,沪深300
10	启明星辰	002439.XSHE	273.0429	0.69%	49.85	7.68	801750	计算机I	801222	计算机应用II	4002.25	27.62	中证500,养老产业,中证传媒
11	爱尔眼科	300015.XSHE	1295.5048	-4.81%	96.32	20.1	801150	医药生物I	801156	医疗服务II	3907.67	-187.96	沪深300,创业板,养老产业,全指医药
12	中国神华	601088.XSHG	3428.9707	-0.35%	7.51	0.99	801020	采掘I	801021	煤炭开采II	3828.03	-13.4	上证50,沪深300,300价值,中证红利
13	长春高新	000661.XSHE	788.8616	-5.26%	56.01	12.3	801150	医药生物I	801152	生物制品II	3546.92	-186.57	沪深300,养老产业,全指医药
14	光环新网	300383.XSHE	293.8206	-0.47%	36.56	3.61	801770	通信I	801102	通信设备II	3512.54	-16.51	中证500,创业板,养老产业,中证传媒
15	国泰君安	601211.XSHG	1481.3918	0.24%	19.13	1.24	801790	非银金融I	801193	证券II	3206.09	7.69	上证50,沪深300,300价值,证券公司,金融地产
16	生益科技	600183.XSHG	519.1992	0.75%	42.12	6.24	801080	电子I	801083	元件II	3199.55	24.0	中证500,中证红利
17	沃森生物	300142.XSHE	472.4544	-1.95%	43.93	9.79	801150	医药生物I	801152	生物制品II	3199.34	-62.39	沪深300,创业板,养老产业,全指医药
18	乐普医疗	300003.XSHE	601.6642	-5.12%	35.66	8.06	801150	医药生物I	801153	医疗器械II	3070.74	-157.22	沪深300,创业板,养老产业,全指医药
19	新希望	000876.XSHE	881.1471	-1.96%	26.5	3.66	801010	农林牧渔I	801014	饲料II	2937.39	-57.57	沪深300,基本面60,基本面120,中证红利
20	交通银行	601328.XSHG	4114.1553	-0.72%	5.38	0.61	801780	银行I	801192	银行II	2903.2	-20.9	上证50,沪深300,300价值,中证红利,金融地产
21	新和成	002001.XSHE	459.8137	-0.7%	20.46	2.8	801150	医药生物I	801151	化学制药II	2831.69	-19.82	沪深300,基本面120,中证红利,养老产业,全指医药
22	二三四五	002195.XSHE	172.5358	0.67%	16.95	1.73	801750	计算机I	801222	计算机应用II	2804.4	18.79	中证500,养老产业,中证传媒
23	江铃汽车	000550.XSHE	124.2165	-1.25%	404.36	1.18	801880	汽车I	801094	汽车整车II	2803.69	-35.05	基本面120,中证1000,中证红利
24	农业银行	601288.XSHG	12739.3828	0.0%	6.01	0.74	801780	银行I	801192	银行II	2803.66	0.0	上证50,沪深300,300价值,中证红利,金融地产
25	美的集团	000333.XSHE	3828.1929	-2.03%	16.19	3.9	801110	家用电器I	801111	白色家电II	2772.99	-56.29	沪深300,基本面60,基本面120,中证红利
26	中国太保	601601.XSHG	3120.0466	-0.9%	11.06	1.83	801790	非银金融I	801194	保险II	2759.95	-24.84	上证50,沪深300,300价值,中证红利,养老产业,金融地产
27	三七互娱	002555.XSHE	464.4841	-2.46%	34.51	7.12	801760	传媒I	801752	互联网传媒II	2724.71	-67.03	沪深300,养老产业,中证传媒
28	伊利股份	600887.XSHG	1792.5548	-1.53%	25.53	7.36	801120	食品饮料I	801124	食品加工II	2714.47	-41.53	上证50,沪深300,中证红利,养老产业
29	万科A	000002.XSHE	3141.9958	-0.18%	8.26	1.88	801180	房地产I	801181	房地产开发II	2659.47	-4.79	沪深300,300价值,基本面60,基本面120,中证红利,金融地产
30	工商银行	601398.XSHG	20814.125	-0.68%	6.72	0.86	801780	银行I	801192	银行II	2636.01	-17.92	上证50,沪深300,300价值,中证红利,金融地产
31	云南白药	000538.XSHE	1152.2178	-3.44%	32.44	3.08	801150	医药生物I	801155	中药II	2612.97	-89.89	沪深300,基本面60,基本面120,养老产业,全指医药
32	华泰证券	601688.XSHG	1540.3075	-0.35%	22.02	1.28	801790	非银金融I	801193	证券II	2572.04	-9.0	上证50,沪深300,证券公司,金融地产
33	卫宁健康	300253.XSHE	249.4409	-0.26%	65.02	6.85	801750	计算机I	801222	计算机应用II	2529.77	-6.58	中证500,创业板,全指医药
34	网宿科技	300017.XSHE	211.8556	0.46%	21.96	2.25	801770	通信I	801102	通信设备II	2512.28	11.56	沪深300,创业板,养老产业,中证传媒
35	哈药股份	600664.XSHG	93.2611	0.27%	86.77	1.79	801150	医药生物I	801151	化学制药II	2509.24	6.77	中证500,中证红利,全指医药
36	民生银行	600016.XSHG	2696.9971	0.0%	5.07	0.61	801780	银行I	801192	银行II	2448.09	0.0	上证50,沪深300,300价值,中证红利,金融地产
37	长江电力	600900.XSHG	3986.3999	-0.11%	17.7	2.75	801160	公用事业I	801161	电力II	2411.08	-2.65	沪深300,300价值,中证红利,中证环保
38	智飞生物	300122.XSHE	716.32	-1.16%	33.67	13.93	801150	医药生物I	801152	生物制品II	2410.11	-27.96	沪深300,创业板,养老产业,全指医药
39	美年健康	002044.XSHE	587.2042	-1.67%	73.58	6.92	801150	医药生物I	801156	医疗服务II	2372.5	-39.62	沪深300,养老产业,全指医药
40	生物股份	600201.XSHG	213.5351	-0.95%	66.34	4.46	801010	农林牧渔I	801018	动物保健II	2351.87	-22.34	中证500,全指医药
41	广发证券	000776.XSHE	1012.8426	0.08%	17.46	1.11	801790	非银金融I	801193	证券II	2269.78	1.82	沪深300,300价值,基本面60,基本面120,中证红利,证券公司,金融地产
42	平安银行	000001.XSHE	3005.9768	-1.87%	10.74	1.12	801780	银行I	801192	银行II	2252.23	-42.12	沪深300,300价值,基本面60,基本面120,金融地产
43	中公教育	002607.XSHE	1112.5988	-0.33%	70.84	43.89	801760	传媒I	801761	文化传媒II	2250.92	-7.43	中证500,养老产业
