螺丝钉定投	总市值	18974.47	累计收益	609.45
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
大成中证红利指数A	090010	1.6558	2068.76	3388.63	-36.73
银河沪深300价值指数	519671	1.4242	2300.33	3369.98	93.82
华宝香港中小	501021	1.3481	2260.14	3359.47	312.53
景顺长城中证500低波动	003318	0.9357	3032.5	2816.28	-21.26
嘉实深证基本面120联接	070023	1.7889	1170.98	2210.69	115.89
建信深证基本面60ETF联接A	530015	2.1152	843.41	1857.53	73.56
广发中证养老	000968	0.9587	623.23	604.03	6.51
华宝红利基金	501029	0.9827	550.4	516.94	-23.95
天弘中证医药100A	001550	0.6708	531.87	426.03	69.25
华夏上证50AH优选指数	501050	1.2636	247.91	335.42	22.16
申万菱信沪深300价值指数	310398	1.5296	60.61	89.46	-3.25
大成景安短融债券E	002086	1.2256	0	0	0.91
