	名称	代码	市值（亿元）	涨跌幅	pe	pb	一级行业代码	一级行业名称	二级行业代码	二级行业名称	持有市值（元）	日盈亏	相关指数
0	中国平安	601318.XSHG	15428.5234	-1.35%	9.79	2.41	801790	非银金融I	801194	保险II	11180.02	-150.93	上证50,沪深300,300价值,养老产业,金融地产
1	恒瑞医药	600276.XSHG	3966.3799	-5.31%	81.14	17.13	801150	医药生物I	801151	化学制药II	11091.52	-588.96	上证50,沪深300,养老产业,全指医药
2	东方财富	300059.XSHE	924.0678	0.44%	59.53	4.45	801760	传媒I	801752	互联网传媒II	7612.94	33.5	沪深300,创业板,养老产业,中证传媒
3	中信证券	600030.XSHG	2606.3469	0.0%	20.69	1.63	801790	非银金融I	801193	证券II	6712.71	0.0	上证50,沪深300,证券公司,金融地产
4	招商银行	600036.XSHG	9238.0293	-1.39%	10.22	1.64	801780	银行I	801192	银行II	5534.79	-76.93	上证50,沪深300,300价值,中证红利,金融地产
5	分众传媒	002027.XSHE	821.9613	0.0%	34.63	6.1	801760	传媒I	801751	营销传播II	4685.16	0.0	沪深300,基本面60,基本面120,中证传媒
6	海通证券	600837.XSHG	1578.0332	0.22%	17.52	1.27	801790	非银金融I	801193	证券II	4629.27	10.18	上证50,沪深300,证券公司,金融地产
7	兴业银行	601166.XSHG	3940.864	-0.32%	6.07	0.83	801780	银行I	801192	银行II	4598.48	-14.72	上证50,沪深300,300价值,中证红利,金融地产
8	温氏股份	300498.XSHE	1903.8655	-0.75%	26.66	5.12	801010	农林牧渔I	801017	畜禽养殖II	4103.22	-30.77	沪深300,基本面60,基本面120,创业板
9	贵州茅台	600519.XSHG	14770.374	-4.07%	36.09	11.79	801120	食品饮料I	801123	饮料制造II	4086.49	-166.32	上证50,沪深300
10	启明星辰	002439.XSHE	273.0429	0.56%	49.85	7.68	801750	计算机I	801222	计算机应用II	4047.06	22.66	中证500,养老产业,中证传媒
11	爱尔眼科	300015.XSHE	1295.5048	-4.73%	96.32	20.1	801150	医药生物I	801156	医疗服务II	3930.29	-185.9	沪深300,创业板,养老产业,全指医药
12	中国神华	601088.XSHG	3428.9707	0.12%	7.51	0.99	801020	采掘I	801021	煤炭开采II	3808.61	4.57	上证50,沪深300,300价值,中证红利
13	长春高新	000661.XSHE	788.8616	-6.19%	56.01	12.3	801150	医药生物I	801152	生物制品II	3571.15	-221.05	沪深300,养老产业,全指医药
14	光环新网	300383.XSHE	293.8206	-0.42%	36.56	3.61	801770	通信I	801102	通信设备II	3548.68	-14.9	中证500,创业板,养老产业,中证传媒
15	沃森生物	300142.XSHE	472.4544	-1.95%	43.93	9.79	801150	医药生物I	801152	生物制品II	3218.06	-62.75	沪深300,创业板,养老产业,全指医药
16	国泰君安	601211.XSHG	1481.3918	0.48%	19.13	1.24	801790	非银金融I	801193	证券II	3210.42	15.41	上证50,沪深300,300价值,证券公司,金融地产
17	生益科技	600183.XSHG	519.1992	1.89%	42.12	6.24	801080	电子I	801083	元件II	3193.39	60.36	中证500,中证红利
18	乐普医疗	300003.XSHE	601.6642	-4.89%	35.66	8.06	801150	医药生物I	801153	医疗器械II	3089.08	-151.06	沪深300,创业板,养老产业,全指医药
19	新希望	000876.XSHE	881.1471	-2.34%	26.5	3.66	801010	农林牧渔I	801014	饲料II	2919.67	-68.32	沪深300,基本面60,基本面120,中证红利
20	交通银行	601328.XSHG	4114.1553	0.0%	5.38	0.61	801780	银行I	801192	银行II	2888.1	0.0	上证50,沪深300,300价值,中证红利,金融地产
21	新和成	002001.XSHE	459.8137	-0.47%	20.46	2.8	801150	医药生物I	801151	化学制药II	2839.24	-13.34	沪深300,基本面120,中证红利,养老产业,全指医药
22	二三四五	002195.XSHE	172.5358	1.0%	16.95	1.73	801750	计算机I	801222	计算机应用II	2836.17	28.36	中证500,养老产业,中证传媒
23	江铃汽车	000550.XSHE	124.2165	-0.56%	404.36	1.18	801880	汽车I	801094	汽车整车II	2790.37	-15.63	基本面120,中证1000,中证红利
24	农业银行	601288.XSHG	12739.3828	0.0%	6.01	0.74	801780	银行I	801192	银行II	2789.17	0.0	上证50,沪深300,300价值,中证红利,金融地产
25	三七互娱	002555.XSHE	464.4841	-2.77%	34.51	7.12	801760	传媒I	801752	互联网传媒II	2767.14	-76.65	沪深300,养老产业,中证传媒
26	中国太保	601601.XSHG	3120.0466	-0.7%	11.06	1.83	801790	非银金融I	801194	保险II	2756.04	-19.29	上证50,沪深300,300价值,中证红利,养老产业,金融地产
27	美的集团	000333.XSHE	3828.1929	-1.65%	16.19	3.9	801110	家用电器I	801111	白色家电II	2737.85	-45.17	沪深300,基本面60,基本面120,中证红利
28	伊利股份	600887.XSHG	1792.5548	-0.41%	25.53	7.36	801120	食品饮料I	801124	食品加工II	2712.61	-11.12	上证50,沪深300,中证红利,养老产业
29	云南白药	000538.XSHE	1152.2178	-4.42%	32.44	3.08	801150	医药生物I	801155	中药II	2627.4	-116.13	沪深300,基本面60,基本面120,养老产业,全指医药
30	万科A	000002.XSHE	3141.9958	-0.22%	8.26	1.88	801180	房地产I	801181	房地产开发II	2625.36	-5.78	沪深300,300价值,基本面60,基本面120,中证红利,金融地产
31	工商银行	601398.XSHG	20814.125	0.17%	6.72	0.86	801780	银行I	801192	银行II	2622.44	4.46	上证50,沪深300,300价值,中证红利,金融地产
32	华泰证券	601688.XSHG	1540.3075	0.29%	22.02	1.28	801790	非银金融I	801193	证券II	2578.1	7.48	上证50,沪深300,证券公司,金融地产
33	网宿科技	300017.XSHE	211.8556	0.0%	21.96	2.25	801770	通信I	801102	通信设备II	2550.34	0.0	沪深300,创业板,养老产业,中证传媒
34	卫宁健康	300253.XSHE	249.4409	0.33%	65.02	6.85	801750	计算机I	801222	计算机应用II	2536.88	8.37	中证500,创业板,全指医药
35	哈药股份	600664.XSHG	93.2611	0.54%	86.77	1.79	801150	医药生物I	801151	化学制药II	2501.79	13.51	中证500,中证红利,全指医药
36	民生银行	600016.XSHG	2696.9971	0.49%	5.07	0.61	801780	银行I	801192	银行II	2435.13	11.93	上证50,沪深300,300价值,中证红利,金融地产
37	智飞生物	300122.XSHE	716.32	-1.09%	33.67	13.93	801150	医药生物I	801152	生物制品II	2425.05	-26.43	沪深300,创业板,养老产业,全指医药
38	长江电力	600900.XSHG	3986.3999	-0.17%	17.7	2.75	801160	公用事业I	801161	电力II	2394.58	-4.07	沪深300,300价值,中证红利,中证环保
39	美年健康	002044.XSHE	587.2042	-2.54%	73.58	6.92	801150	医药生物I	801156	医疗服务II	2389.0	-60.68	沪深300,养老产业,全指医药
40	生物股份	600201.XSHG	213.5351	-0.53%	66.34	4.46	801010	农林牧渔I	801018	动物保健II	2358.58	-12.5	中证500,全指医药
41	广发证券	000776.XSHE	1012.8426	0.38%	17.46	1.11	801790	非银金融I	801193	证券II	2262.88	8.6	沪深300,300价值,基本面60,基本面120,中证红利,证券公司,金融地产
42	华兰生物	002007.XSHE	475.0758	-2.54%	35.35	7.63	801150	医药生物I	801152	生物制品II	2262.85	-57.48	沪深300,养老产业,全指医药
43	中公教育	002607.XSHE	1112.5988	-0.22%	70.84	43.89	801760	传媒I	801761	文化传媒II	2261.33	-4.97	中证500,养老产业
44	完美世界	002624.XSHE	441.8441	-0.94%	23.7	4.63	801760	传媒I	801752	互联网传媒II	2247.61	-21.13	沪深300,养老产业,中证传媒
45	平安银行	000001.XSHE	3005.9768	-1.16%	10.74	1.12	801780	银行I	801192	银行II	2218.27	-25.73	沪深300,300价值,基本面60,基本面120,金融地产
46	东方明珠	600637.XSHG	301.9264	0.34%	16.63	1.06	801760	传媒I	801761	文化传媒II	2210.06	7.51	沪深300,养老产业,中证传媒
47	迈瑞医疗	300760.XSHE	2247.2053	-3.27%	50.01	12.76	801150	医药生物I	801153	医疗器械II	2207.29	-72.18	创业板,养老产业,全指医药
48	江苏有线	600959.XSHG	193.0277	0.26%	39.03	0.89	801760	传媒I	801761	文化传媒II	2157.52	5.61	中证500,养老产业,中证传媒
49	格力电器	000651.XSHE	3516.1946	-1.57%	12.93	3.49	801110	家用电器I	801111	白色家电II	2153.53	-33.81	沪深300,基本面60,基本面120
50	华发股份	600325.XSHG	146.9647	0.58%	6.14	1.17	801180	房地产I	801181	房地产开发II	2078.63	12.06	中证500,中证红利,金融地产
51	片仔癀	600436.XSHG	614.0563	-2.3%	46.1	9.78	801150	医药生物I	801155	中药II	2072.94	-47.68	沪深300,养老产业,全指医药
52	保利地产	600048.XSHG	1718.078	0.28%	7.75	1.41	801180	房地产I	801181	房地产开发II	2064.1	5.78	上证50,沪深300,300价值,中证红利,金融地产
53	东山精密	002384.XSHE	304.9275	0.79%	29.84	3.35	801080	电子I	801083	元件II	2059.78	16.27	中证500,中证环保
54	泰格医药	300347.XSHE	473.0455	-2.68%	69.32	12.24	801150	医药生物I	801156	医疗服务II	2057.84	-55.15	中证1000,创业板,全指医药
55	先导智能	300450.XSHE	341.1197	-4.75%	41.06	8.86	801890	机械设备I	801074	专用设备II	2036.39	-96.73	中证500,创业板,中证环保
56	首开股份	600376.XSHG	196.3049	0.79%	5.31	0.82	801180	房地产I	801181	房地产开发II	2028.75	16.03	中证500,中证红利,金融地产
57	掌趣科技	300315.XSHE	147.8012	1.12%	-4.45	2.62	801760	传媒I	801752	互联网传媒II	2005.45	22.46	中证500,创业板,中证传媒
58	芒果超媒	300413.XSHE	550.1367	-0.97%	53.54	6.4	801760	传媒I	801752	互联网传媒II	1970.48	-19.11	沪深300,创业板,养老产业,中证传媒
59	中南传媒	601098.XSHG	208.5156	-0.09%	16.21	1.57	801760	传媒I	801761	文化传媒II	1962.69	-1.77	中证500,养老产业,中证传媒
60	中国银行	601988.XSHG	10745.1543	0.0%	5.76	0.66	801780	银行I	801192	银行II	1961.43	0.0	上证50,沪深300,300价值,中证红利,金融地产
61	闻泰科技	600745.XSHG	1030.2603	-3.57%	135.4	7.32	801080	电子I	801085	电子制造II	1933.74	-69.03	中证500
62	复星医药	600196.XSHG	657.8961	-2.18%	24.57	2.15	801150	医药生物I	801152	生物制品II	1925.29	-41.97	上证50,沪深300,养老产业,全指医药
63	浦发银行	600000.XSHG	3510.5088	0.25%	5.75	0.73	801780	银行I	801192	银行II	1898.19	4.75	上证50,沪深300,300价值,金融地产
64	光线传媒	300251.XSHE	290.4272	0.1%	147.22	3.1	801760	传媒I	801761	文化传媒II	1897.58	1.9	沪深300,创业板,养老产业,中证传媒
65	潍柴动力	000338.XSHE	1041.7177	0.23%	10.72	2.43	801880	汽车I	801093	汽车零部件II	1895.24	4.36	沪深300,300价值,基本面60,基本面120,中证红利
66	通策医疗	600763.XSHG	339.9105	-3.19%	74.48	19.64	801150	医药生物I	801156	医疗服务II	1889.13	-60.26	中证500,全指医药
67	中环股份	002129.XSHE	278.2371	0.4%	30.63	2.12	801730	电气设备I	801733	电源设备II	1881.56	7.53	中证500,中证环保
68	招商证券	600999.XSHG	1094.6835	0.61%	17.72	1.6	801790	非银金融I	801193	证券II	1875.56	11.44	沪深300,300价值,证券公司,金融地产
