10万补充ETF计划	总市值	34727.04	累计收益	243.14
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9239	3813.64	7369.86	32.86
广发中证环保ETF联接A	001064	0.5489	9722	5285.85	-50.15
广发养老指数A	000968	0.9444	4943.96	4655.23	-13.77
华夏中证500ETF联接A	001052	0.5423	7379.54	4014.47	12.47
富国中证红利指数增强	100032	1.0919	3665.01	3991.2	-10.8
广发中证传媒ETF联接A	004752	0.7329	4550.55	3420.19	85.19
易方达创业板ETF联接A	110026	1.6649	400.63	691.17	24.17
广发创业板ETF联接A	003765	0.9059	736.3	690.06	23.06
易方达证券公司分级	502010	0.9853	473.85	457.17	-9.73
华宝标普石油指数	162411	0.3775	5299.96	1976.89	-24.11
交银中证海外中国互联网指数	164906	1.1564	576.8	760.22	93.22
华夏恒生ETF联接A	000071	1.451	459.67	678.79	11.79
华安德国30(DAX)联接	000614	1.0903	611.75	735.94	68.94
