螺丝钉定投	总市值	18216.39	累计收益	439.12
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
大成中证红利指数A	090010	1.6566	1934.77	3300.15	-14.65
华宝香港中小	501021	1.3457	2203.12	3250.95	204.01
银河沪深300价值指数	519671	1.4214	2145.01	3235.63	72.14
景顺长城中证500低波动	003318	0.9358	2808.67	2757.01	25.32
嘉实深证基本面120联接	070023	1.7845	1126.01	2082.22	72.82
建信深证基本面60ETF联接A	530015	2.1075	760.21	1723.19	28.56
华宝红利基金	501029	0.9827	550.4	520.73	-20.16
广发中证养老	000968	0.9579	448.16	514.9	1.31
天弘中证医药100A	001550	0.6708	531.87	413.32	56.54
华夏上证50AH优选指数	501050	1.2636	247.91	329.47	16.21
申万菱信沪深300价值指数	310398	1.5296	60.61	88.82	-3.89
大成景安短融债券E	002086	1.2256	0	0	0.91
