1992-12-29	4984.45	3377.06	-32.25%
1993-12-31	3408.10	6070.56	78.12%
1994-12-30	6120.10	7111.10	16.19%
1995-12-29	7129.93	5158.64	-27.65%
1996-12-31	5200.73	6933.93	33.33%
1997-12-31	6849.25	8187.27	19.54%
1998-12-31	8154.91	6418.43	-21.29%
1999-12-28	6310.41	8448.83	33.89%
2000-12-29	8644.91	4743.93	-45.12%
2001-12-31	4717.49	5551.24	17.67%
2002-12-31	5575.33	4452.45	-20.14%
2003-12-31	4460.56	5890.68	32.06%
2004-12-31	5907.14	6139.68	3.94%
2005-12-30	6166.39	6548.33	6.19%
2006-12-29	6457.60	7823.72	21.16%
2007-12-31	7871.41	8506.28	8.07%
2008-12-31	8491.57	4563.74	-46.26%
2009-12-31	4725.26	8188.11	73.28%
2010-12-31	8222.42	8972.50	9.12%
2011-12-30	9041.32	7072.08	-21.78%
2012-12-28	7072.08	7699.50	8.87%
2013-12-31	7738.05	8611.51	11.29%
2014-12-31	8618.60	9307.26	7.99%
2015-12-31	9274.29	8338.06	-10.09%
2016-12-30	8315.79	9253.50	11.28%
2017-12-29	9252.56	10642.86	15.03%
2018-12-28	10669.77	9727.41	-8.83%
2019-11-07	9737.68	11606.56	19.19%
