1986-09-10	236.55	247.06	4.44%
1987-12-31	300.41	247.08	-17.75%
1988-12-30	247.08	277.72	12.4%
1989-12-29	277.72	353.40	27.25%
1990-12-31	348.80	330.22	-5.33%
1991-12-31	330.22	417.09	26.31%
1992-12-31	417.02	435.71	4.48%
1993-12-31	435.61	466.45	7.08%
1994-12-30	466.51	459.27	-1.55%
1995-12-29	459.27	615.93	34.11%
1996-12-31	615.93	740.74	20.26%
1997-12-31	740.74	970.43	31.01%
1998-12-31	970.43	1229.23	26.67%
1999-12-31	1229.23	1469.25	19.53%
2000-12-29	1469.25	1320.28	-10.14%
2001-12-31	1320.28	1148.08	-13.04%
2002-12-31	1148.08	879.82	-23.37%
2003-12-31	879.82	1111.92	26.38%
2004-12-31	1111.92	1211.92	8.99%
2005-12-30	1211.92	1248.29	3.0%
2006-12-29	1248.29	1418.30	13.62%
2007-12-31	1418.03	1468.36	3.55%
2008-12-31	1468.07	903.25	-38.47%
2009-12-31	902.99	1115.10	23.49%
2010-12-31	1127.03	1257.86	11.61%
2011-12-30	1257.62	1257.60	-0.0%
2012-12-31	1263.07	1426.19	12.91%
2013-12-31	1426.19	1848.36	29.6%
2014-12-31	1845.86	2058.90	11.54%
2015-12-31	2058.90	2043.94	-0.73%
2016-12-30	2038.20	2238.83	9.84%
2017-12-29	2251.57	2675.75	18.84%
2018-12-31	2684.79	2506.85	-6.63%
2019-11-06	2467.68	3076.78	24.68%
