10万补充ETF计划	总市值	34840.98	累计收益	1210.84
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9239	3813.64	7673.43	336.43
广发中证环保ETF联接A	001064	0.5489	9722	5341.27	5.27
广发养老指数A	000968	0.9444	4943.96	4750.16	81.16
华夏中证500ETF联接A	001052	0.5423	7379.54	4169.44	167.44
广发中证传媒ETF联接A	004752	0.7329	4550.55	3554.43	219.43
富国中证红利指数增强	100032	1.0914	3055.68	3425.42	90.42
广发创业板ETF联接A	003765	0.9059	736.3	707.95	40.95
易方达创业板ETF联接A	110026	1.6649	400.63	707.15	40.15
易方达证券公司分级	502010	0.9949	281.57	285.65	5.51
华宝标普石油指数	162411	0.3776	5299.96	2077.58	76.58
交银中证海外中国互联网指数	164906	1.1564	576.8	723.31	56.31
华夏恒生ETF联接A	000071	1.451	459.67	695.99	28.99
华安德国30(DAX)联接	000614	1.0903	611.75	729.21	62.21
