交易发起日期	产品名称	产品代码	业务类型	申请数额	申请单位	确认数额	确认单位	链接
2016-09-14	华安德国30(DAX)联接	000614	银行卡支付买入	3400.00	元	3375.67	份	https://query.1234567.com.cn/Query/Detail?id=e6487d0396f046aeac18c546bfc76d34&businType=22&traceNo=
2017-01-25	广发养老指数A	000968	银行卡支付买入	3960.00	元	4122.20	份	https://query.1234567.com.cn/Query/Detail?id=05e5bfe994b5478cae6173bee3f60406&businType=22&traceNo=
2017-01-25	富国中证红利指数增强	100032	银行卡支付买入	3960.00	元	3571.88	份	https://query.1234567.com.cn/Query/Detail?id=248f32037f32480cb4efc873015272cb&businType=22&traceNo=
2017-01-13	广发医药卫生联接A	001180	银行卡支付买入	3700.00	元	4728.82	份	https://query.1234567.com.cn/Query/Detail?id=f37be7b0121c4df5b94666d9b4d4a4e9&businType=22&traceNo=
2017-01-13	广发医药卫生联接A	001180	银行卡支付买入	3700.00	元	4728.82	份	https://query.1234567.com.cn/Query/Detail?id=8fcd1c2a289f4250b916a30c3f1eb083&businType=22&traceNo=
2017-02-15	广发中债7-10年国开债指数A	003376	银行卡支付买入	3960.00	元	4164.58	份	https://query.1234567.com.cn/Query/Detail?id=1bcdd612e8804e0887645dea7acdd0c4&businType=22&traceNo=
2017-03-31	广发医药卫生联接A	001180	银行卡支付买入	3960.00	元	4851.28	份	https://query.1234567.com.cn/Query/Detail?id=4f4bb4f2d55147e09a81496091a07a3c&businType=22&traceNo=
2017-04-25	广发养老指数A	000968	银行卡支付买入	3960.00	元	3981.93	份	https://query.1234567.com.cn/Query/Detail?id=7cc4ba6646ad4904aa3f6ab3ad506bc0&businType=22&traceNo=
2017-04-25	广发中债7-10年国开债指数A	003376	银行卡支付买入	3960.00	元	4185.72	份	https://query.1234567.com.cn/Query/Detail?id=a416689a55ff4ce0b71a9fb526341500&businType=22&traceNo=
2017-04-14	广发养老指数A	000968	银行卡支付买入	3960.00	元	3964.37	份	https://query.1234567.com.cn/Query/Detail?id=3570cd696b1740bc83f98fe13cccfca7&businType=22&traceNo=
2017-05-23	富国中证红利指数增强	100032	银行卡支付买入	3960.00	元	3441.31	份	https://query.1234567.com.cn/Query/Detail?id=3d024490f68d4b449180e10694e52fb9&businType=22&traceNo=
2017-05-23	广发中债7-10年国开债指数A	003376	银行卡支付买入	3960.00	元	4231.37	份	https://query.1234567.com.cn/Query/Detail?id=6f6a717a768249d69f12df5fdce1e241&businType=22&traceNo=
2017-05-23	广发养老指数A	000968	银行卡支付买入	7920.00	元	7943.08	份	https://query.1234567.com.cn/Query/Detail?id=10b4e25835b64a8ab7be8c4ccfa260a7&businType=22&traceNo=
2017-11-15	广发中债7-10年国开债指数A	003376	银行卡支付买入	3960.00	元	4240.43	份	https://query.1234567.com.cn/Query/Detail?id=972ccf3fa9db4d898ebdf99d1bd5cd5c&businType=22&traceNo=
2018-01-19	富国中证红利指数增强	100032	红利再投资	-	-	1085.17	份	https://query.1234567.com.cn/Query/Detail?id=20180119103030023947177&businType=143&traceNo=
2018-04-26	广发中债7-10年国开债指数A	003376	卖出回银行卡	4205.50	份	4072.25	元	https://query.1234567.com.cn/Query/Detail?id=c8bf3733796d4882a14f0bdbccd2e3c8&businType=24&traceNo=
2018-04-18	富国中证红利指数增强	100032	银行卡支付买入	20000.00	元	18287.58	份	https://query.1234567.com.cn/Query/Detail?id=02808cd6503442f591e351986766eca4&businType=22&traceNo=
2018-05-31	兴全可转债混合	340001	银行卡支付买入	6400.00	元	6168.46	份	https://query.1234567.com.cn/Query/Detail?id=a36953bf2a944d7195ea35aa5daa7dfb&businType=22&traceNo=
2018-05-15	华夏收益债券(QDII)A	001061	银行卡支付买入	12800.00	元	10903.47	份	https://query.1234567.com.cn/Query/Detail?id=29c8df025f884b7e90896b40068c7526&businType=22&traceNo=
2018-05-14	华夏收益债券(QDII)A	001061	银行卡支付买入	12800.00	元	10903.47	份	https://query.1234567.com.cn/Query/Detail?id=3f287a4484aa4ff8b344dae30b4be807&businType=22&traceNo=
2018-06-19	兴全可转债混合	340001	银行卡支付买入	6400.00	元	6368.13	份	https://query.1234567.com.cn/Query/Detail?id=e4f5e9d043d94b07930117669a84cb60&businType=22&traceNo=
2018-06-14	博时现金宝货币Ｂ	000891	活期宝充值	20000.00	元	20000.00	份	https://query.1234567.com.cn/Query/Detail?id=308b537824ca4a55bb89169d30fd0989&businType=801&traceNo=
2018-06-14	广发中证全指金融地产联接A	001469	银行卡支付买入	6400.00	元	6771.54	份	https://query.1234567.com.cn/Query/Detail?id=6f852432f7ba4c1d80c86aff234efddb&businType=22&traceNo=
2018-08-01	汇添富和聚宝货币	000600	红利再投资	-	-	2.76	份	https://query.1234567.com.cn/Query/Detail?id=201808014730300289709390&businType=143&traceNo=
2018-08-01	华夏现金增利货币A/E	003003	红利再投资	-	-	2.35	份	https://query.1234567.com.cn/Query/Detail?id=20180801033032018080151328171&businType=143&traceNo=
2018-08-01	博时现金宝货币Ｂ	000891	活期宝充值	10000.00	元	10000.00	份	https://query.1234567.com.cn/Query/Detail?id=5954d81dd1e446ea8ef0bf45b438b180&businType=801&traceNo=
2018-08-01	活期宝	------	活期宝快速取现	12800.00	份	12800.00	元	https://query.1234567.com.cn/Query/Detail?id=3c9dbbd4f2314726b91491a977617bc7&businType=803&traceNo=
2018-08-01	汇添富和聚宝货币	000600	活期宝普通取现	2400.00	份	2400.00	元	https://query.1234567.com.cn/Query/Detail?id=40f9fb931d5e4a0d81b88d2a17a7e359&businType=802&traceNo=
2018-08-01	招商招钱宝货币A	000588	红利再投资	-	-	2.68	份	https://query.1234567.com.cn/Query/Detail?id=201808011720180801400001913961&businType=143&traceNo=
2018-08-01	富国富钱包货币	000638	红利再投资	-	-	2.57	份	https://query.1234567.com.cn/Query/Detail?id=201808011030300436857290&businType=143&traceNo=
2018-08-01	华安汇财通货币	000709	红利再投资	-	-	2.84	份	https://query.1234567.com.cn/Query/Detail?id=20180801041303467035521&businType=143&traceNo=
2018-08-01	博时现金宝货币Ｂ	000891	红利再投资	-	-	91.55	份	https://query.1234567.com.cn/Query/Detail?id=201808010520180801000484265047&businType=143&traceNo=
2018-07-31	汇添富和聚宝货币	000600	红利再投资	-	-	2.75	份	https://query.1234567.com.cn/Query/Detail?id=201807314730300289188640&businType=143&traceNo=
2018-07-31	华夏现金增利货币A/E	003003	红利再投资	-	-	2.33	份	https://query.1234567.com.cn/Query/Detail?id=20180731033032018073150252277&businType=143&traceNo=
2018-07-31	招商招钱宝货币A	000588	红利再投资	-	-	2.67	份	https://query.1234567.com.cn/Query/Detail?id=201807311720180731400001419420&businType=143&traceNo=
2018-07-31	富国富钱包货币	000638	红利再投资	-	-	3.14	份	https://query.1234567.com.cn/Query/Detail?id=201807311030300435193930&businType=143&traceNo=
2018-07-31	华安汇财通货币	000709	红利再投资	-	-	2.46	份	https://query.1234567.com.cn/Query/Detail?id=20180731041303465953030&businType=143&traceNo=
2018-07-30	汇添富和聚宝货币	000600	红利再投资	-	-	8.68	份	https://query.1234567.com.cn/Query/Detail?id=201807304730300288624240&businType=143&traceNo=
2018-07-30	华夏现金增利货币A/E	003003	红利再投资	-	-	6.99	份	https://query.1234567.com.cn/Query/Detail?id=20180730033032018073046902010&businType=143&traceNo=
2018-07-30	招商招钱宝货币A	000588	红利再投资	-	-	2.67	份	https://query.1234567.com.cn/Query/Detail?id=201807301720180730400002448453&businType=143&traceNo=
2018-07-30	招商招钱宝货币A	000588	红利再投资	-	-	2.67	份	https://query.1234567.com.cn/Query/Detail?id=201807301720180730400001313466&businType=143&traceNo=
2018-07-30	招商招钱宝货币A	000588	红利再投资	-	-	2.67	份	https://query.1234567.com.cn/Query/Detail?id=201807301720180730400003557067&businType=143&traceNo=
2018-07-30	富国富钱包货币	000638	红利再投资	-	-	7.99	份	https://query.1234567.com.cn/Query/Detail?id=201807301030300433247290&businType=143&traceNo=
2018-07-30	华安汇财通货币	000709	红利再投资	-	-	7.51	份	https://query.1234567.com.cn/Query/Detail?id=20180730041303464918141&businType=143&traceNo=
