开始日期	结束日期	开始	结束	幅度	持有期
2005/01/04	2005/07/18	989.98	669.03	-32.42%	195
2005/07/18	2005/09/19	669.03	947.9	41.68%	63
2005/09/19	2005/12/05	947.9	794.32	-16.2%	77
2005/12/05	2006/07/11	794.32	1417.3	78.43%	218
2006/07/11	2006/08/07	1417.3	1185.39	-16.36%	27
2006/08/07	2007/05/29	1185.39	4484.44	278.31%	295
2007/05/29	2007/06/05	4484.44	3321.85	-25.93%	7
2007/06/05	2007/06/19	3321.85	3958.33	19.16%	14
2007/06/19	2007/07/05	3958.33	2962.84	-25.15%	16
2007/07/05	2007/09/18	2962.84	4655.17	57.12%	75
2007/09/18	2007/10/26	4655.17	3699.73	-20.52%	38
2007/10/26	2008/01/15	3699.73	4999.92	35.14%	81
2008/01/15	2008/02/01	4999.92	4027.37	-19.45%	17
2008/02/01	2008/03/06	4027.37	4882.96	21.24%	34
2008/03/06	2008/04/22	4882.96	3054.43	-37.45%	47
2008/04/22	2008/05/14	3054.43	3856.09	26.25%	22
2008/05/14	2008/07/01	3856.09	2526.32	-34.48%	48
2008/07/01	2008/07/28	2526.32	3021.51	19.6%	27
2008/07/28	2008/11/04	3021.51	1374.35	-54.51%	99
2008/11/04	2009/02/23	1374.35	2732.42	98.82%	111
2009/02/23	2009/02/27	2732.42	2302.02	-15.75%	4
2009/02/27	2009/08/05	2302.02	3901.16	69.47%	159
2009/08/05	2009/08/19	3901.16	3086.18	-20.89%	14
2009/08/19	2010/04/12	3086.18	5088.29	64.87%	236
2010/04/12	2010/07/05	5088.29	3627.29	-28.71%	84
2010/07/05	2010/11/10	3627.29	5651.39	55.8%	128
2010/11/10	2011/01/25	5651.39	4540.68	-19.65%	76
2011/01/25	2011/03/25	4540.68	5502.75	21.19%	59
2011/03/25	2011/06/20	5502.75	4505.85	-18.12%	87
2011/06/20	2011/07/18	4505.85	5235.19	16.19%	28
2011/07/18	2012/01/05	5235.19	3205.4	-38.77%	171
2012/01/05	2012/03/13	3205.4	4114.57	28.36%	68
2012/03/13	2012/12/03	4114.57	2850.82	-30.71%	265
2012/12/03	2015/06/12	2850.82	15006.34	426.39%	921
2015/06/12	2015/07/08	15006.34	8114.6	-45.93%	26
2015/07/08	2015/07/23	8114.6	10553.22	30.05%	15
2015/07/23	2015/08/03	10553.22	8723.59	-17.34%	11
2015/08/03	2015/08/17	8723.59	10563.13	21.09%	14
2015/08/17	2015/09/15	10563.13	7034.9	-33.4%	29
2015/09/15	2015/12/22	7034.9	10809.24	53.65%	98
2015/12/22	2016/01/28	10809.24	7100.9	-34.31%	37
2016/01/28	2016/11/22	7100.9	9244.21	30.18%	299
2016/11/22	2018/10/18	9244.21	4149.44	-55.11%	695
2018/10/18	2019/04/16	4149.44	6179.8	48.93%	180
