开始日期	结束日期	开始	结束	幅度	持有期
2005/01/04	2006/03/30	4.66	2.92	-37.25%	450
2006/03/30	2006/08/21	2.92	3.52	20.31%	144
2006/08/21	2006/10/31	3.52	2.97	-15.71%	71
2006/10/31	2007/12/07	2.97	4.7	58.46%	402
2007/12/07	2009/01/05	4.7	2.67	-43.26%	395
2009/01/05	2009/10/19	2.67	3.8	42.48%	287
2009/10/19	2010/09/19	3.8	3.17	-16.58%	335
2010/09/19	2011/02/09	3.17	4.15	30.91%	143
2011/02/09	2012/07/19	4.15	3.25	-21.69%	526
2012/07/19	2013/11/22	3.25	4.71	44.92%	491
2013/11/22	2016/10/21	4.71	2.66	-43.52%	1064
2016/10/21	2018/01/22	2.66	4.07	53.05%	458
2018/01/22	2019/10/11	4.07	3.16	-22.3%	627
