开始日期	结束日期	开始	结束	幅度	持有期
2004/01/02	2004/09/13	1011.35	834.1	-17.53%	255
2004/09/13	2004/09/23	834.1	967.32	15.97%	10
2004/09/23	2005/06/03	967.32	700.43	-27.59%	253
2005/06/03	2007/10/16	700.43	4731.83	575.56%	865
2007/10/16	2007/11/28	4731.83	3784.28	-20.03%	43
2007/11/28	2008/01/14	3784.28	4499.14	18.89%	47
2008/01/14	2008/04/18	4499.14	2511.36	-44.18%	95
2008/04/18	2008/05/05	2511.36	3169.08	26.19%	17
2008/05/05	2008/09/18	3169.08	1508.52	-52.4%	136
2008/09/18	2008/09/26	1508.52	1811.34	20.07%	8
2008/09/26	2008/10/27	1811.34	1305.7	-27.92%	31
2008/10/27	2009/08/03	1305.7	2837.74	117.33%	280
2009/08/03	2009/08/31	2837.74	2046.59	-27.88%	28
2009/08/31	2009/11/18	2046.59	2605.84	27.33%	79
2009/11/18	2010/07/05	2605.84	1797.66	-31.01%	229
2010/07/05	2010/10/25	1797.66	2294.45	27.64%	112
2010/10/25	2011/01/20	2294.45	1895.0	-17.41%	87
2011/01/20	2011/04/18	1895.0	2201.37	16.17%	88
2011/04/18	2011/12/27	2201.37	1590.99	-27.73%	253
2011/12/27	2012/05/04	1590.99	1876.66	17.96%	129
2012/05/04	2012/12/03	1876.66	1532.18	-18.36%	213
2012/12/03	2013/02/06	1532.18	2078.49	35.66%	65
2013/02/06	2013/07/29	2078.49	1484.21	-28.59%	173
2013/07/29	2013/09/12	1484.21	1772.66	19.43%	45
2013/09/12	2014/03/20	1772.66	1406.91	-20.63%	189
2014/03/20	2015/06/08	1406.91	3458.71	145.84%	445
2015/06/08	2015/08/25	3458.71	1914.05	-44.66%	78
2015/08/25	2015/11/09	1914.05	2534.08	32.39%	76
2015/11/09	2016/01/28	2534.08	1912.72	-24.52%	80
2016/01/28	2018/02/05	1912.72	3181.34	66.33%	739
2018/02/05	2019/01/02	3181.34	2262.79	-28.87%	331
2019/01/02	2019/10/14	2262.79	3013.53	33.18%	285
