开始日期	结束日期	开始	结束	幅度	持有期
1990/12/19	1991/02/22	99.98	134.87	34.9%	65
1991/02/22	1991/05/16	134.87	105.77	-21.58%	83
1991/05/16	1992/05/25	105.77	1421.57	1244.02%	375
1992/05/25	1992/08/12	1421.57	781.21	-45.05%	79
1992/08/12	1992/08/19	781.21	939.51	20.26%	7
1992/08/19	1992/09/09	939.51	635.74	-32.33%	21
1992/09/09	1992/09/11	635.74	776.29	22.11%	2
1992/09/11	1992/11/17	776.29	393.52	-49.31%	67
1992/11/17	1992/12/03	393.52	808.2	105.38%	16
1992/12/03	1992/12/10	808.2	625.23	-22.64%	7
1992/12/10	1993/02/15	625.23	1536.82	145.8%	67
1993/02/15	1993/03/31	1536.82	925.91	-39.75%	44
1993/03/31	1993/04/28	925.91	1372.5	48.23%	28
1993/04/28	1993/06/01	1372.5	928.58	-32.34%	34
1993/06/01	1993/06/02	928.58	1081.2	16.44%	1
1993/06/02	1993/07/26	1081.2	787.81	-27.14%	54
1993/07/26	1993/08/16	787.81	1023.87	29.96%	21
1993/08/16	1993/10/27	1023.87	778.38	-23.98%	72
1993/10/27	1993/12/07	778.38	1022.34	31.34%	41
1993/12/07	1994/07/29	1022.34	333.92	-67.34%	234
1994/07/29	1994/09/13	333.92	1033.47	209.5%	46
1994/09/13	1994/10/17	1033.47	616.34	-40.36%	34
1994/10/17	1994/10/24	616.34	785.85	27.5%	7
1994/10/24	1995/02/07	785.85	532.49	-32.24%	106
1995/02/07	1995/04/07	532.49	673.72	26.52%	59
1995/04/07	1995/05/10	673.72	565.14	-16.12%	33
1995/05/10	1995/05/22	565.14	897.42	58.8%	12
1995/05/22	1995/07/03	897.42	613.18	-31.67%	42
1995/07/03	1995/08/14	613.18	776.13	26.57%	42
1995/08/14	1996/01/22	776.13	516.46	-33.46%	161
1996/01/22	1996/12/09	516.46	1247.65	141.58%	322
1996/12/09	1996/12/24	1247.65	865.57	-30.62%	15
1996/12/24	1997/05/12	865.57	1500.39	73.34%	139
1997/05/12	1997/09/23	1500.39	1041.96	-30.55%	134
1997/09/23	1998/06/03	1041.96	1420.0	36.28%	253
1998/06/03	1998/08/17	1420.0	1070.41	-24.62%	75
1998/08/17	1998/11/16	1070.41	1293.74	20.86%	91
1998/11/16	1999/05/18	1293.74	1059.87	-18.08%	183
1999/05/18	1999/06/29	1059.87	1739.2	64.1%	42
1999/06/29	1999/12/27	1739.2	1345.35	-22.65%	181
1999/12/27	2001/06/13	1345.35	2242.42	66.68%	534
2001/06/13	2001/10/22	2242.42	1520.66	-32.19%	131
2001/10/22	2001/12/04	1520.66	1769.68	16.38%	43
2001/12/04	2002/01/22	1769.68	1358.69	-23.22%	49
2002/01/22	2002/07/08	1358.69	1732.93	27.54%	167
2002/07/08	2003/01/03	1732.93	1319.87	-23.84%	179
2003/01/03	2003/04/15	1319.87	1631.47	23.61%	102
2003/04/15	2003/11/18	1631.47	1316.56	-19.3%	217
2003/11/18	2004/04/06	1316.56	1777.52	35.01%	140
2004/04/06	2004/09/13	1777.52	1260.32	-29.1%	160
2004/09/13	2004/09/23	1260.32	1464.78	16.22%	10
2004/09/23	2005/07/11	1464.78	1011.5	-30.95%	291
2005/07/11	2007/05/29	1011.5	4334.92	328.56%	687
2007/05/29	2007/06/04	4334.92	3670.4	-15.33%	6
2007/06/04	2007/06/19	3670.4	4269.52	16.32%	15
2007/06/19	2007/07/05	4269.52	3615.87	-15.31%	16
2007/07/05	2007/10/16	3615.87	6092.06	68.48%	103
2007/10/16	2008/04/18	6092.06	3094.67	-49.2%	185
2008/04/18	2008/05/05	3094.67	3761.01	21.53%	17
2008/05/05	2008/09/18	3761.01	1895.84	-49.59%	136
2008/09/18	2008/09/25	1895.84	2297.5	21.19%	7
2008/09/25	2008/11/04	2297.5	1706.7	-25.71%	40
2008/11/04	2009/08/04	1706.7	3471.44	103.4%	273
2009/08/04	2009/08/31	3471.44	2667.75	-23.15%	27
2009/08/31	2009/11/23	2667.75	3338.66	25.15%	84
2009/11/23	2010/07/05	3338.66	2363.95	-29.19%	224
2010/07/05	2010/11/08	2363.95	3159.51	33.65%	126
2010/11/08	2012/12/03	3159.51	1959.77	-37.97%	756
2012/12/03	2013/02/06	1959.77	2434.48	24.22%	65
2013/02/06	2013/06/27	2434.48	1950.01	-19.9%	141
2013/06/27	2015/06/12	1950.01	5166.35	164.94%	715
2015/06/12	2015/07/08	5166.35	3507.19	-32.11%	26
2015/07/08	2015/07/23	3507.19	4123.92	17.58%	15
2015/07/23	2015/08/26	4123.92	2927.29	-29.02%	34
2015/08/26	2015/12/22	2927.29	3651.77	24.75%	118
2015/12/22	2016/01/28	3651.77	2655.66	-27.28%	37
2016/01/28	2018/01/24	2655.66	3559.47	34.03%	727
2018/01/24	2019/01/03	3559.47	2464.36	-30.77%	344
2019/01/03	2019/04/16	2464.36	3253.6	32.03%	103
