开始日期	结束日期	开始	结束	幅度	持有期
2006/01/24	2006/07/11	1459.2	2314.49	58.61%	168
2006/07/11	2006/08/07	2314.49	1868.78	-19.26%	27
2006/08/07	2007/05/29	1868.78	5046.58	170.05%	295
2007/05/29	2007/06/04	5046.58	4173.6	-17.3%	6
2007/06/04	2007/06/19	4173.6	5183.64	24.2%	15
2007/06/19	2007/07/05	5183.64	4188.0	-19.21%	16
2007/07/05	2007/10/10	4188.0	5944.65	41.94%	97
2007/10/10	2007/11/12	5944.65	4937.3	-16.95%	33
2007/11/12	2008/01/15	4937.3	6613.56	33.95%	64
2008/01/15	2008/04/22	6613.56	4110.7	-37.84%	98
2008/04/22	2008/05/14	4110.7	5240.91	27.49%	22
2008/05/14	2008/06/23	5240.91	3540.55	-32.44%	40
2008/06/23	2008/07/09	3540.55	4178.07	18.01%	16
2008/07/09	2008/10/27	4178.07	2158.31	-48.34%	110
2008/10/27	2009/08/05	2158.31	4956.87	129.66%	282
2009/08/05	2009/08/19	4956.87	4021.07	-18.88%	14
2009/08/19	2010/04/12	4021.07	6156.14	53.1%	236
2010/04/12	2010/07/05	6156.14	4726.57	-23.22%	84
2010/07/05	2010/11/10	4726.57	7375.12	56.04%	128
2010/11/10	2011/01/25	7375.12	5845.76	-20.74%	76
2011/01/25	2011/03/16	5845.76	6812.78	16.54%	50
2011/03/16	2011/06/20	6812.78	5357.13	-21.37%	96
2011/06/20	2011/07/18	5357.13	6197.9	15.69%	28
2011/07/18	2012/01/16	6197.9	3986.39	-35.68%	182
2012/01/16	2012/03/13	3986.39	4972.15	24.73%	57
2012/03/13	2012/12/03	4972.15	3590.61	-27.79%	265
2012/12/03	2013/05/30	3590.61	5198.16	44.77%	178
2013/05/30	2013/06/24	5198.16	4375.6	-15.82%	25
2013/06/24	2014/02/19	4375.6	5413.6	23.72%	240
2014/02/19	2014/05/19	5413.6	4465.45	-17.51%	89
2014/05/19	2015/06/12	4465.45	11996.52	168.65%	389
2015/06/12	2015/07/08	11996.52	7427.09	-38.09%	26
2015/07/08	2015/07/23	7427.09	9260.39	24.68%	15
2015/07/23	2015/09/15	9260.39	6241.24	-32.6%	54
2015/09/15	2015/11/25	6241.24	8754.11	40.26%	71
2015/11/25	2016/02/29	8754.11	5998.28	-31.48%	96
2016/02/29	2017/11/13	5998.28	8153.39	35.93%	623
2017/11/13	2019/01/03	8153.39	4588.08	-43.73%	416
2019/01/03	2019/04/04	4588.08	6662.74	45.22%	91
2019/04/04	2019/06/06	6662.74	5262.87	-21.01%	63
2019/06/06	2019/10/14	5262.87	6192.94	17.67%	130
