开始日期	结束日期	开始	结束	幅度	持有期
2014/11/10	2015/06/12	1783.95	4713.62	164.22%	214
2015/06/12	2015/07/08	4713.62	2677.16	-43.2%	26
2015/07/08	2015/07/23	2677.16	3392.05	26.7%	15
2015/07/23	2015/09/15	3392.05	2321.68	-31.56%	54
2015/09/15	2015/11/25	2321.68	3340.2	43.87%	71
2015/11/25	2016/01/28	3340.2	2121.84	-36.48%	64
2016/01/28	2016/02/22	2121.84	2475.74	16.68%	25
2016/02/22	2016/02/29	2475.74	2064.88	-16.6%	7
2016/02/29	2016/04/14	2064.88	2539.45	22.98%	45
2016/04/14	2018/10/16	2539.45	1033.84	-59.29%	915
2018/10/16	2019/03/12	1033.84	1569.91	51.85%	147
2019/03/12	2019/08/07	1569.91	1115.17	-28.97%	148
2019/08/07	2019/10/14	1115.17	1269.83	13.87%	68
