开始日期	结束日期	开始	结束	幅度	持有期
2012/09/25	2013/05/27	865.69	1180.2	36.33%	244
2013/05/27	2013/07/09	1180.2	982.34	-16.76%	43
2013/07/09	2014/02/18	982.34	1326.06	34.99%	224
2014/02/18	2014/05/19	1326.06	1109.36	-16.34%	90
2014/05/19	2015/06/12	1109.36	3184.16	187.03%	389
2015/06/12	2015/07/08	3184.16	1788.08	-43.84%	26
2015/07/08	2015/08/17	1788.08	2407.24	34.63%	40
2015/08/17	2015/09/15	2407.24	1573.07	-34.65%	29
2015/09/15	2015/11/25	1573.07	2226.38	41.53%	71
2015/11/25	2016/01/28	2226.38	1459.43	-34.45%	64
2016/01/28	2017/11/13	1459.43	1916.08	31.29%	655
2017/11/13	2018/10/18	1916.08	986.56	-48.51%	339
2018/10/18	2019/04/19	986.56	1422.9	44.23%	183
2019/04/19	2019/10/14	1422.9	1197.66	-15.83%	178
