开始日期	结束日期	开始	结束	幅度	持有期
2008/08/04	2008/09/18	2687.55	1914.64	-28.76%	45
2008/09/18	2008/09/26	1914.64	2203.04	15.06%	8
2008/09/26	2008/11/04	2203.04	1568.82	-28.79%	39
2008/11/04	2008/12/08	1568.82	2039.21	29.98%	34
2008/12/08	2008/12/31	2039.21	1711.02	-16.09%	23
2008/12/31	2009/02/16	1711.02	2404.27	40.52%	47
2009/02/16	2009/02/27	2404.27	2038.24	-15.22%	11
2009/02/27	2009/08/04	2038.24	3817.93	87.32%	158
2009/08/04	2009/09/01	3817.93	2750.69	-27.95%	28
2009/09/01	2009/12/07	2750.69	3684.18	33.94%	97
2009/12/07	2010/07/05	3684.18	2456.86	-33.31%	210
2010/07/05	2010/11/08	2456.86	3431.22	39.66%	126
2010/11/08	2012/01/05	3431.22	2306.65	-32.77%	423
2012/01/05	2012/05/04	2306.65	2678.97	16.14%	120
2012/05/04	2012/12/03	2678.97	2095.63	-21.77%	213
2012/12/03	2013/02/06	2095.63	2849.3	35.96%	65
2013/02/06	2013/06/26	2849.3	2126.25	-25.38%	140
2013/06/26	2013/09/12	2126.25	2529.42	18.96%	78
2013/09/12	2014/01/20	2529.42	2134.88	-15.6%	130
2014/01/20	2015/06/12	2134.88	6226.62	191.66%	508
2015/06/12	2015/07/08	6226.62	3971.31	-36.22%	26
2015/07/08	2015/08/17	3971.31	4882.9	22.95%	40
2015/08/17	2015/09/15	4882.9	3432.07	-29.71%	29
2015/09/15	2015/12/22	3432.07	4520.01	31.7%	98
2015/12/22	2016/01/28	4520.01	3330.71	-26.31%	37
2016/01/28	2018/01/26	3330.71	5190.29	55.83%	729
2018/01/26	2018/10/18	5190.29	3651.09	-29.66%	265
2018/10/18	2019/04/10	3651.09	5080.54	39.15%	174
2019/04/10	2019/10/11	5080.54	4312.58	-15.12%	184
