开始日期	结束日期	开始	结束	幅度	持有期
2011/08/02	2012/01/16	5902.07	4100.67	-30.52%	167
2012/01/16	2012/08/10	4100.67	5158.37	25.79%	207
2012/08/10	2012/12/03	5158.37	4349.98	-15.67%	115
2012/12/03	2015/06/12	4349.98	15449.71	255.17%	921
2015/06/12	2015/07/08	15449.71	9395.28	-39.19%	26
2015/07/08	2015/07/23	9395.28	12092.97	28.71%	15
2015/07/23	2015/09/15	12092.97	8454.09	-30.09%	54
2015/09/15	2015/12/22	8454.09	11479.04	35.78%	98
2015/12/22	2016/01/28	11479.04	8096.79	-29.46%	37
2016/01/28	2018/05/28	8096.79	11808.13	45.84%	851
2018/05/28	2018/10/18	11808.13	7587.35	-35.74%	143
2018/10/18	2018/12/05	7587.35	8748.98	15.31%	48
2018/12/05	2019/01/03	8748.98	7070.69	-19.18%	29
2019/01/03	2019/04/10	7070.69	10308.52	45.79%	97
2019/04/10	2019/06/06	10308.52	8149.72	-20.94%	57
2019/06/06	2019/10/14	8149.72	9901.79	21.5%	130
