开始日期	结束日期	开始	结束	幅度	持有期
2011/08/02	2012/09/26	3447.85	2921.13	-15.28%	421
2012/09/26	2013/02/06	2921.13	4221.49	44.52%	133
2013/02/06	2013/06/26	4221.49	3099.53	-26.58%	140
2013/06/26	2013/09/12	3099.53	3797.97	22.53%	78
2013/09/12	2014/03/10	3797.97	2971.93	-21.75%	179
2014/03/10	2015/06/08	2971.93	7912.39	166.24%	455
2015/06/08	2015/08/25	7912.39	4461.56	-43.61%	78
2015/08/25	2015/12/23	4461.56	6261.15	40.34%	120
2015/12/23	2016/01/28	6261.15	4665.8	-25.48%	36
2016/01/28	2018/01/24	4665.8	6912.08	48.14%	727
2018/01/24	2018/10/18	6912.08	4690.61	-32.14%	267
2018/10/18	2019/10/11	4690.61	6008.89	28.1%	358
