开始日期	结束日期	开始	结束	幅度	持有期
2005/01/04	2005/07/18	989.56	741.83	-25.03%	195
2005/07/18	2005/09/19	741.83	970.67	30.85%	63
2005/09/19	2005/12/05	970.67	819.46	-15.58%	77
2005/12/05	2007/05/29	819.46	4497.71	448.86%	540
2007/05/29	2007/06/04	4497.71	3517.64	-21.79%	6
2007/06/04	2007/06/19	3517.64	4383.55	24.62%	15
2007/06/19	2007/07/05	4383.55	3328.71	-24.06%	16
2007/07/05	2008/01/15	3328.71	5302.62	59.3%	194
2008/01/15	2008/04/22	5302.62	3285.49	-38.04%	98
2008/04/22	2008/05/14	3285.49	4150.22	26.32%	22
2008/05/14	2008/06/19	4150.22	2718.93	-34.49%	36
2008/06/19	2008/07/09	2718.93	3322.58	22.2%	20
2008/07/09	2008/11/04	3322.58	1765.88	-46.85%	118
2008/11/04	2009/08/05	1765.88	3878.98	119.66%	274
2009/08/05	2009/08/19	3878.98	3244.58	-16.35%	14
2009/08/19	2010/04/22	3244.58	5324.88	64.12%	246
2010/04/22	2010/07/05	5324.88	3917.47	-26.43%	74
2010/07/05	2010/11/10	3917.47	5642.01	44.02%	128
2010/11/10	2011/10/21	5642.01	3678.52	-34.8%	345
2011/10/21	2011/11/15	3678.52	4296.43	16.8%	25
2011/11/15	2012/01/16	4296.43	3266.82	-23.96%	62
2012/01/16	2012/03/13	3266.82	3949.05	20.88%	57
2012/03/13	2012/12/03	3949.05	3141.96	-20.44%	265
2012/12/03	2015/06/12	3141.96	13519.16	330.28%	921
2015/06/12	2015/07/08	13519.16	8454.23	-37.46%	26
2015/07/08	2015/07/23	8454.23	10609.77	25.5%	15
2015/07/23	2015/09/15	10609.77	7611.59	-28.26%	54
2015/09/15	2015/12/22	7611.59	10365.27	36.18%	98
2015/12/22	2016/02/29	10365.27	6985.65	-32.61%	69
2016/02/29	2018/05/28	6985.65	9006.5	28.93%	819
2018/05/28	2019/01/03	9006.5	5893.78	-34.56%	220
2019/01/03	2019/04/10	5893.78	8035.81	36.34%	97
2019/04/10	2019/10/11	8035.81	7175.85	-10.7%	184
