开始日期	结束日期	开始	结束	幅度	持有期
2010/06/01	2010/06/11	973.23	1122.2	15.31%	10
2010/06/11	2010/07/05	1122.2	862.27	-23.16%	24
2010/07/05	2010/12/17	862.27	1232.98	42.99%	165
2010/12/17	2011/06/22	1232.98	791.51	-35.81%	187
2011/06/22	2011/08/29	791.51	954.03	20.53%	68
2011/08/29	2011/10/21	954.03	763.29	-19.99%	53
2011/10/21	2011/11/15	763.29	920.97	20.66%	25
2011/11/15	2012/01/18	920.97	624.91	-32.15%	64
2012/01/18	2012/03/13	624.91	792.38	26.8%	55
2012/03/13	2012/12/03	792.38	593.66	-25.08%	265
2012/12/03	2013/10/09	593.66	1415.83	138.49%	310
2013/10/09	2013/12/05	1415.83	1202.07	-15.1%	57
2013/12/05	2014/02/17	1202.07	1558.62	29.66%	74
2014/02/17	2014/05/16	1558.62	1226.47	-21.31%	88
2014/05/16	2015/06/03	1226.47	3982.25	224.69%	383
2015/06/03	2015/07/07	3982.25	2352.01	-40.94%	34
2015/07/07	2015/07/23	2352.01	2967.95	26.19%	16
2015/07/23	2015/09/15	2967.95	1797.56	-39.43%	54
2015/09/15	2015/11/25	1797.56	2897.57	61.19%	71
2015/11/25	2016/01/28	2897.57	1906.46	-34.2%	64
2016/01/28	2016/02/22	1906.46	2245.56	17.79%	25
2016/02/22	2016/02/29	2245.56	1880.15	-16.27%	7
2016/02/29	2016/04/14	1880.15	2324.39	23.63%	45
2016/04/14	2017/07/17	2324.39	1656.43	-28.74%	459
2017/07/17	2017/10/13	1656.43	1926.07	16.28%	88
2017/10/13	2018/02/09	1926.07	1592.51	-17.32%	119
2018/02/09	2018/03/30	1592.51	1900.48	19.34%	49
2018/03/30	2018/10/18	1900.48	1205.03	-36.59%	202
2018/10/18	2019/04/04	1205.03	1777.26	47.49%	168
2019/04/04	2019/06/06	1777.26	1416.06	-20.32%	63
2019/06/06	2019/10/14	1416.06	1679.38	18.6%	130
