开始日期	结束日期	开始	结束	幅度	持有期
1992/03/12	1993/01/07	4984.85	3135.56	-37.1%	301
1993/01/07	1993/04/07	3135.56	5013.27	59.88%	90
1993/04/07	1993/09/16	5013.27	3765.01	-24.9%	162
1993/09/16	1994/01/06	3765.01	6454.52	71.43%	112
1994/01/06	1994/03/21	6454.52	5220.73	-19.12%	74
1994/03/21	1994/10/03	5220.73	7183.75	37.6%	196
1994/10/03	1995/08/14	7183.75	4503.37	-37.31%	315
1995/08/14	1997/08/26	4503.37	10116.83	124.65%	743
1997/08/26	1997/10/29	10116.83	7089.56	-29.92%	64
1997/10/29	1998/03/02	7089.56	9277.08	30.86%	124
1998/03/02	1998/09/03	9277.08	6251.37	-32.61%	185
1998/09/03	1998/11/24	6251.37	7435.83	18.95%	82
1998/11/24	1999/02/05	7435.83	5474.79	-26.37%	73
1999/02/05	1999/06/22	5474.79	8608.91	57.25%	137
1999/06/22	1999/08/06	8608.91	6823.52	-20.74%	45
1999/08/06	2000/02/17	6823.52	10202.2	49.52%	195
2000/02/17	2000/03/20	10202.2	8536.04	-16.33%	32
2000/03/20	2000/04/05	8536.04	10186.16	19.33%	16
2000/04/05	2000/10/19	10186.16	5081.27	-50.12%	197
2000/10/19	2000/11/09	5081.27	6089.54	19.84%	21
2000/11/09	2000/12/27	6089.54	4614.62	-24.22%	48
2000/12/27	2001/02/15	4614.62	6104.24	32.28%	50
2001/02/15	2001/07/24	6104.24	4040.77	-33.8%	159
2001/07/24	2001/08/16	4040.77	4687.33	16.0%	23
2001/08/16	2001/10/03	4687.33	3446.26	-26.48%	48
2001/10/03	2002/04/22	3446.26	6462.29	87.52%	201
2002/04/22	2002/10/11	6462.29	3850.04	-40.42%	172
2002/10/11	2003/01/23	3850.04	5078.79	31.92%	104
2003/01/23	2003/04/28	5078.79	4139.5	-18.49%	95
2003/04/28	2004/03/04	4139.5	7034.1	69.93%	311
2004/03/04	2004/08/04	7034.1	5316.87	-24.41%	153
2004/08/04	2006/05/08	5316.87	7474.04	40.57%	642
2006/05/08	2006/07/17	7474.04	6257.79	-16.27%	70
2006/07/17	2007/07/24	6257.79	9744.05	55.71%	372
2007/07/24	2007/08/17	9744.05	8090.29	-16.97%	24
2007/08/17	2007/10/29	8090.29	9809.87	21.25%	73
2007/10/29	2008/01/23	9809.87	7408.39	-24.48%	86
2008/01/23	2008/05/19	7408.39	9295.2	25.47%	117
2008/05/19	2008/11/20	9295.2	4089.92	-56.0%	185
2008/11/20	2010/01/15	4089.92	8356.89	104.33%	421
2010/01/15	2010/06/09	8356.89	7071.67	-15.38%	145
2010/06/09	2011/01/28	7071.67	9145.35	29.32%	233
2011/01/28	2011/12/19	9145.35	6633.33	-27.47%	325
2011/12/19	2012/03/02	6633.33	8144.04	22.77%	74
2012/03/02	2012/06/04	8144.04	6894.66	-15.34%	94
2012/06/04	2015/04/27	6894.66	9973.12	44.65%	1057
2015/04/27	2015/08/24	9973.12	7410.34	-25.7%	119
2015/08/24	2018/01/23	7410.34	11253.11	51.86%	883
2018/01/23	2019/01/04	11253.11	9382.51	-16.62%	346
2019/01/04	2019/10/14	9382.51	11066.95	17.95%	283
