开始日期	结束日期	开始	结束	幅度	持有期
1993/07/15	1993/12/13	3964.65	9452.86	138.43%	151
1993/12/13	1994/03/21	9452.86	5468.67	-42.15%	98
1994/03/21	1994/03/25	5468.67	6342.7	15.98%	4
1994/03/25	1994/05/10	6342.7	4598.11	-27.51%	46
1994/05/10	1994/05/25	4598.11	5414.3	17.75%	15
1994/05/25	1994/07/06	5414.3	4238.57	-21.72%	42
1994/07/06	1994/09/08	4238.57	6585.65	55.37%	64
1994/09/08	1995/01/13	6585.65	3753.01	-43.01%	127
1995/01/13	1995/07/12	3753.01	4770.42	27.11%	180
1995/07/12	1995/11/16	4770.42	2973.86	-37.66%	127
1995/11/16	1996/02/15	2973.86	4108.73	38.16%	91
1996/02/15	1996/07/31	4108.73	3288.2	-19.97%	167
1996/07/31	1997/05/08	3288.2	4971.08	51.18%	281
1997/05/08	1997/06/12	4971.08	4074.51	-18.04%	35
1997/06/12	1997/08/25	4074.51	7499.28	84.05%	74
1997/08/25	1997/09/02	7499.28	4917.02	-34.43%	8
1997/09/02	1997/09/15	4917.02	6295.8	28.04%	13
1997/09/15	1997/10/28	6295.8	3125.97	-50.35%	43
1997/10/28	1997/11/03	3125.97	4420.3	41.41%	6
1997/11/03	1997/12/01	4420.3	3295.54	-25.45%	28
1997/12/01	1997/12/08	3295.54	3824.87	16.06%	7
1997/12/08	1998/01/12	3824.87	1932.69	-49.47%	35
1998/01/12	1998/03/25	1932.69	3294.84	70.48%	72
1998/03/25	1998/06/16	3294.84	1743.54	-47.08%	83
1998/06/16	1998/06/19	1743.54	2108.91	20.96%	3
1998/06/19	1998/08/28	2108.91	1008.68	-52.17%	70
1998/08/28	1998/11/04	1008.68	2128.97	111.06%	68
1998/11/04	1999/01/22	2128.97	1267.97	-40.44%	79
1999/01/22	1999/05/06	1267.97	2117.16	66.97%	104
1999/05/06	1999/05/28	2117.16	1766.82	-16.55%	22
1999/05/28	1999/07/05	1766.82	2778.58	57.26%	38
1999/07/05	1999/08/11	2778.58	2019.93	-27.3%	37
1999/08/11	1999/09/10	2019.93	2677.84	32.57%	30
1999/09/10	1999/10/19	2677.84	2048.2	-23.51%	39
1999/10/19	1999/11/15	2048.2	2437.67	19.02%	27
1999/11/15	2000/03/02	2437.67	1396.2	-42.72%	108
2000/03/02	2000/08/07	1396.2	2413.26	72.84%	158
2000/08/07	2000/12/21	2413.26	1543.27	-36.05%	136
2000/12/21	2001/06/04	1543.27	2562.64	66.05%	165
2001/06/04	2001/09/17	2562.64	1560.55	-39.1%	105
2001/09/17	2002/06/13	1560.55	2259.83	44.81%	269
2002/06/13	2002/10/10	2259.83	1754.22	-22.37%	119
2002/10/10	2004/01/05	1754.22	5391.28	207.33%	452
2004/01/05	2004/05/17	5391.28	3546.25	-34.22%	133
2004/05/17	2006/05/12	3546.25	7377.94	108.05%	725
2006/05/12	2006/06/14	7377.94	5901.33	-20.01%	33
2006/06/14	2007/01/03	5901.33	10766.08	82.43%	203
2007/01/03	2007/03/05	10766.08	8528.46	-20.78%	61
2007/03/05	2007/07/24	8528.46	13480.72	58.07%	141
2007/07/24	2007/08/17	13480.72	11002.52	-18.38%	24
2007/08/17	2007/10/30	11002.52	20400.07	85.41%	74
2007/10/30	2008/01/22	20400.07	11911.91	-41.61%	84
2008/01/22	2008/02/04	11911.91	14120.84	18.54%	13
2008/02/04	2008/03/20	14120.84	10836.2	-23.26%	45
2008/03/20	2008/05/06	10836.2	14651.29	35.21%	47
2008/05/06	2008/07/03	14651.29	11139.92	-23.97%	58
2008/07/03	2008/07/23	11139.92	12849.76	15.35%	20
2008/07/23	2008/09/18	12849.76	8633.73	-32.81%	57
2008/09/18	2008/09/22	8633.73	10227.38	18.46%	4
2008/09/22	2008/10/10	10227.38	7135.8	-30.23%	18
2008/10/10	2008/10/14	7135.8	8435.46	18.21%	4
2008/10/14	2008/10/27	8435.46	4990.08	-40.84%	13
2008/10/27	2008/11/10	4990.08	7412.85	48.55%	14
2008/11/10	2008/11/20	7412.85	6190.9	-16.48%	10
2008/11/20	2009/01/05	6190.9	8676.75	40.15%	46
2009/01/05	2009/01/23	8676.75	6661.93	-23.22%	18
2009/01/23	2009/02/10	6661.93	7814.68	17.3%	18
2009/02/10	2009/03/02	7814.68	6582.23	-15.77%	20
2009/03/02	2009/11/16	6582.23	13751.65	108.92%	259
2009/11/16	2010/02/08	13751.65	10989.19	-20.09%	84
2010/02/08	2010/04/09	10989.19	13046.72	18.72%	60
2010/04/09	2010/05/25	13046.72	10729.05	-17.76%	46
2010/05/25	2010/11/08	10729.05	14204.13	32.39%	167
2010/11/08	2011/10/04	14204.13	8102.58	-42.96%	330
2011/10/04	2012/02/29	8102.58	11826.76	45.96%	148
2012/02/29	2012/09/05	11826.76	9020.34	-23.73%	189
2012/09/05	2013/02/01	9020.34	12215.03	35.42%	149
2013/02/01	2013/06/25	12215.03	8871.28	-27.37%	144
2013/06/25	2013/12/02	8871.28	11548.07	30.17%	160
2013/12/02	2014/03/20	11548.07	9203.07	-20.31%	108
2014/03/20	2015/05/26	9203.07	14801.94	60.84%	432
2015/05/26	2015/09/07	14801.94	9103.22	-38.5%	104
2015/09/07	2015/10/26	9103.22	10747.68	18.06%	49
2015/10/26	2016/02/12	10747.68	7505.37	-30.17%	109
2016/02/12	2018/01/26	7505.37	13723.96	82.86%	714
2018/01/26	2019/01/02	13723.96	9833.69	-28.35%	341
2019/01/02	2019/04/17	9833.69	11848.98	20.49%	105
2019/04/17	2019/10/14	11848.98	10507.85	-11.32%	180
