开始日期	结束日期	开始	结束	幅度	持有期
1990/05/14	1990/07/23	2976.44	3559.89	19.6%	70
1990/07/23	1990/09/28	3559.89	2760.82	-22.45%	67
1990/09/28	1992/11/12	2760.82	6447.11	133.52%	776
1992/11/12	1992/12/03	6447.11	4978.21	-22.78%	21
1992/12/03	1994/01/04	4978.21	12201.09	145.09%	397
1994/01/04	1994/01/13	12201.09	10176.51	-16.59%	9
1994/01/13	1994/02/04	10176.51	12157.57	19.47%	22
1994/02/04	1994/05/04	12157.57	8369.44	-31.16%	89
1994/05/04	1994/09/07	8369.44	10165.87	21.46%	126
1994/09/07	1995/01/23	10165.87	6967.93	-31.46%	138
1995/01/23	1997/08/07	6967.93	16673.27	139.29%	927
1997/08/07	1997/10/28	16673.27	9059.89	-45.66%	82
1997/10/28	1997/12/08	9059.89	11722.94	29.39%	41
1997/12/08	1998/01/12	11722.94	8121.06	-30.73%	35
1998/01/12	1998/03/25	8121.06	11810.62	45.43%	72
1998/03/25	1998/06/15	11810.62	7462.5	-36.82%	82
1998/06/15	1998/07/02	7462.5	8866.16	18.81%	17
1998/07/02	1998/08/13	8866.16	6660.41	-24.88%	42
1998/08/13	1998/11/24	6660.41	10851.71	62.93%	103
1998/11/24	1999/02/10	10851.71	9076.33	-16.36%	78
1999/02/10	1999/07/05	9076.33	14506.74	59.83%	145
1999/07/05	1999/10/19	14506.74	12134.12	-16.36%	106
1999/10/19	2000/03/28	12134.12	18301.68	50.83%	161
2000/03/28	2000/05/26	18301.68	13722.7	-25.02%	59
2000/05/26	2000/07/21	13722.7	17920.85	30.59%	56
2000/07/21	2000/11/30	17920.85	13984.38	-21.97%	132
2000/11/30	2001/02/01	13984.38	16163.99	15.59%	63
2001/02/01	2001/04/04	16163.99	12063.71	-25.37%	62
2001/04/04	2001/05/22	12063.71	13877.95	15.04%	48
2001/05/22	2001/09/21	13877.95	8934.2	-35.62%	122
2001/09/21	2002/05/17	8934.2	11974.61	34.03%	238
2002/05/17	2002/10/10	11974.61	8858.69	-26.02%	146
2002/10/10	2002/12/03	8858.69	10227.01	15.45%	54
2002/12/03	2003/04/25	10227.01	8409.01	-17.78%	143
2003/04/25	2004/02/18	8409.01	13928.38	65.64%	299
2004/02/18	2004/05/17	13928.38	10967.65	-21.26%	89
2004/05/17	2007/10/30	10967.65	31638.22	188.47%	1261
2007/10/30	2008/01/22	31638.22	21757.63	-31.23%	84
2008/01/22	2008/01/25	21757.63	25122.37	15.46%	3
2008/01/25	2008/03/17	25122.37	21084.61	-16.07%	52
2008/03/17	2008/05/06	21084.61	26262.13	24.56%	50
2008/05/06	2008/10/27	26262.13	11015.84	-58.05%	174
2008/10/27	2008/11/05	11015.84	14840.16	34.72%	9
2008/11/05	2008/11/20	14840.16	12298.56	-17.13%	15
2008/11/20	2008/12/11	12298.56	15613.9	26.96%	21
2008/12/11	2009/03/09	15613.9	11344.58	-27.34%	88
2009/03/09	2009/11/16	11344.58	22943.98	102.25%	252
2009/11/16	2010/05/25	22943.98	18985.5	-17.25%	190
2010/05/25	2010/11/08	18985.5	24964.37	31.49%	167
2010/11/08	2011/10/04	24964.37	16250.27	-34.91%	330
2011/10/04	2012/02/29	16250.27	21680.08	33.41%	148
2012/02/29	2012/06/04	21680.08	18185.59	-16.12%	96
2012/06/04	2013/01/30	18185.59	23822.06	30.99%	240
2013/01/30	2013/06/24	23822.06	19813.98	-16.83%	145
2013/06/24	2015/04/28	19813.98	28442.75	43.55%	673
2015/04/28	2016/02/12	28442.75	18319.58	-35.59%	290
2016/02/12	2018/01/26	18319.58	33154.12	80.98%	714
2018/01/26	2018/10/30	33154.12	24585.53	-25.84%	277
2018/10/30	2019/04/09	24585.53	30157.49	22.66%	161
2019/04/09	2019/10/11	30157.49	26308.44	-12.76%	185
