开始日期	结束日期	开始	结束	幅度	持有期
1986/03/17	1987/08/25	234.67	336.77	43.51%	526
1987/08/25	1987/12/04	336.77	223.92	-33.51%	101
1987/12/04	1990/07/16	223.92	368.95	64.77%	955
1990/07/16	1990/10/11	368.95	295.46	-19.92%	87
1990/10/11	1998/07/17	295.46	1186.69	301.64%	2836
1998/07/17	1998/08/31	1186.69	957.28	-19.33%	45
1998/08/31	2000/03/24	957.28	1527.46	59.56%	571
2000/03/24	2001/04/04	1527.46	1103.25	-27.77%	376
2001/04/04	2001/05/21	1103.25	1312.83	19.0%	47
2001/05/21	2001/09/21	1312.83	965.8	-26.43%	123
2001/09/21	2002/01/04	965.8	1172.51	21.4%	105
2002/01/04	2002/07/23	1172.51	797.7	-31.97%	200
2002/07/23	2002/08/22	797.7	962.7	20.68%	30
2002/08/22	2002/10/09	962.7	776.76	-19.31%	48
2002/10/09	2007/10/09	776.76	1565.15	101.5%	1826
2007/10/09	2008/10/27	1565.15	848.92	-45.76%	384
2008/10/27	2008/11/04	848.92	1005.75	18.47%	8
2008/11/04	2008/11/20	1005.75	752.44	-25.19%	16
2008/11/20	2009/01/06	752.44	934.7	24.22%	47
2009/01/06	2009/03/09	934.7	676.53	-27.62%	62
2009/03/09	2010/04/23	676.53	1217.28	79.93%	410
2010/04/23	2010/07/02	1217.28	1022.58	-15.99%	70
2010/07/02	2011/04/29	1022.58	1363.61	33.35%	301
2011/04/29	2011/10/03	1363.61	1099.23	-19.39%	157
2011/10/03	2018/09/20	1099.23	2930.75	166.62%	2544
2018/09/20	2018/12/24	2930.75	2351.1	-19.78%	95
2018/12/24	2019/10/10	2351.1	2938.13	24.97%	290
