开始日期	结束日期	开始	结束	幅度	持有期
2005/01/04	2005/06/03	982.79	818.03	-16.76%	150
2005/06/03	2007/05/29	818.03	4168.29	409.55%	725
2007/05/29	2007/06/04	4168.29	3511.43	-15.76%	6
2007/06/04	2007/06/19	3511.43	4253.0	21.12%	15
2007/06/19	2007/07/05	4253.0	3537.44	-16.82%	16
2007/07/05	2007/10/16	3537.44	5877.2	66.14%	103
2007/10/16	2007/11/28	5877.2	4648.75	-20.9%	43
2007/11/28	2008/01/14	4648.75	5731.76	23.3%	47
2008/01/14	2008/04/21	5731.76	3267.55	-42.99%	98
2008/04/21	2008/05/05	3267.55	4055.78	24.12%	14
2008/05/05	2008/09/18	4055.78	1895.99	-53.25%	136
2008/09/18	2008/09/26	1895.99	2243.66	18.34%	8
2008/09/26	2008/11/04	2243.66	1627.76	-27.45%	39
2008/11/04	2009/08/03	1627.76	3787.03	132.65%	272
2009/08/03	2009/08/31	3787.03	2830.27	-25.26%	28
2009/08/31	2009/12/07	2830.27	3668.83	29.63%	98
2009/12/07	2010/07/05	3668.83	2512.65	-31.51%	210
2010/07/05	2010/11/08	2512.65	3548.57	41.23%	126
2010/11/08	2012/01/05	3548.57	2276.39	-35.85%	423
2012/01/05	2012/05/07	2276.39	2717.78	19.39%	123
2012/05/07	2012/12/03	2717.78	2108.85	-22.41%	210
2012/12/03	2013/02/06	2108.85	2775.84	31.63%	65
2013/02/06	2013/06/27	2775.84	2160.74	-22.16%	141
2013/06/27	2013/09/12	2160.74	2507.46	16.05%	77
2013/09/12	2014/03/20	2507.46	2086.97	-16.77%	189
2014/03/20	2015/06/08	2086.97	5353.75	156.53%	445
2015/06/08	2015/07/08	5353.75	3663.04	-31.58%	30
2015/07/08	2015/07/23	3663.04	4250.81	16.05%	15
2015/07/23	2015/08/26	4250.81	3025.69	-28.82%	34
2015/08/26	2015/12/22	3025.69	3876.73	28.13%	118
2015/12/22	2016/01/28	3876.73	2853.76	-26.39%	37
2016/01/28	2018/01/24	2853.76	4389.89	53.83%	727
2018/01/24	2019/01/03	4389.89	2964.84	-32.46%	344
2019/01/03	2019/10/11	2964.84	3911.73	31.94%	281
