开始日期	结束日期	开始	结束	幅度	持有期
1990/09/11	1992/05/11	1653.94	2077.49	25.61%	608
1992/05/11	1992/10/05	2077.49	1611.04	-22.45%	147
1992/10/05	1994/02/02	1611.04	2355.93	46.24%	485
1994/02/02	1995/03/13	2355.93	1721.8	-26.92%	404
1995/03/13	1998/07/17	1721.8	4388.48	154.88%	1222
1998/07/17	1998/10/08	4388.48	2959.97	-32.55%	83
1998/10/08	2000/09/04	2959.97	6922.33	133.86%	697
2000/09/04	2001/03/22	6922.33	4824.82	-30.3%	199
2001/03/22	2001/05/22	4824.82	5693.47	18.0%	61
2001/05/22	2001/09/21	5693.47	3652.87	-35.84%	122
2001/09/21	2002/03/28	3652.87	4688.02	28.34%	188
2002/03/28	2002/07/24	4688.02	3023.69	-35.5%	118
2002/07/24	2002/08/22	3023.69	3592.6	18.82%	29
2002/08/22	2002/10/09	3592.6	2656.45	-26.06%	48
2002/10/09	2002/11/28	2656.45	3329.99	25.35%	50
2002/11/28	2003/03/12	3329.99	2403.04	-27.84%	104
2003/03/12	2007/06/01	2403.04	6168.15	156.68%	1542
2007/06/01	2008/03/17	6168.15	4431.04	-28.16%	290
2008/03/17	2008/05/19	4431.04	5142.1	16.05%	63
2008/05/19	2008/10/27	5142.1	3067.35	-40.35%	161
2008/10/27	2008/11/04	3067.35	3691.09	20.33%	8
2008/11/04	2008/11/21	3691.09	2881.26	-21.94%	17
2008/11/21	2009/01/06	2881.26	3396.22	17.87%	46
2009/01/06	2009/03/09	3396.22	2519.29	-25.82%	62
2009/03/09	2010/04/15	2519.29	4065.65	61.38%	402
2010/04/15	2010/05/25	4065.65	3331.29	-18.06%	40
2010/05/25	2011/02/18	3331.29	4157.14	24.79%	269
2011/02/18	2011/09/22	4157.14	2781.68	-33.09%	216
2011/09/22	2011/10/27	2781.68	3368.62	21.1%	35
2011/10/27	2011/11/24	3368.62	2822.25	-16.22%	28
2011/11/24	2012/03/16	2822.25	3594.83	27.37%	113
2012/03/16	2012/06/01	3594.83	2950.47	-17.92%	77
2012/06/01	2015/04/27	2950.47	5268.91	78.58%	1060
2015/04/27	2016/02/11	5268.91	3896.71	-26.04%	290
2016/02/11	2018/05/22	3896.71	5640.1	44.74%	831
2018/05/22	2018/12/27	5640.1	4598.61	-18.47%	219
2018/12/27	2019/04/16	4598.61	5528.67	20.22%	110
