开始日期	结束日期	开始	结束	幅度	持有期
1996/05/10	1996/12/11	152.5	473.02	210.18%	215
1996/12/11	1996/12/24	473.02	285.76	-39.59%	13
1996/12/24	1997/05/12	285.76	517.9	81.24%	139
1997/05/12	1997/09/23	517.9	312.72	-39.62%	134
1997/09/23	1998/06/03	312.72	441.04	41.03%	253
1998/06/03	1998/08/18	441.04	317.09	-28.1%	76
1998/08/18	1998/11/16	317.09	395.32	24.67%	90
1998/11/16	1999/05/18	395.32	310.65	-21.42%	183
1999/05/18	1999/06/29	310.65	525.14	69.05%	42
1999/06/29	1999/12/27	525.14	395.69	-24.65%	181
1999/12/27	2001/06/13	395.69	664.85	68.02%	534
2001/06/13	2001/10/22	664.85	439.36	-33.92%	131
2001/10/22	2001/12/04	439.36	515.27	17.28%	43
2001/12/04	2002/01/22	515.27	371.79	-27.85%	49
2002/01/22	2002/06/24	371.79	512.37	37.81%	153
2002/06/24	2003/01/02	512.37	380.43	-25.75%	192
2003/01/02	2003/04/15	380.43	449.42	18.13%	103
2003/04/15	2003/11/18	449.42	350.73	-21.96%	217
2003/11/18	2004/04/07	350.73	470.54	34.16%	141
2004/04/07	2004/09/13	470.54	315.16	-33.02%	159
2004/09/13	2004/09/23	315.16	372.44	18.17%	10
2004/09/23	2005/07/18	372.44	237.18	-36.32%	298
2005/07/18	2007/05/29	237.18	1292.44	444.92%	680
2007/05/29	2007/06/04	1292.44	1039.9	-19.54%	6
2007/06/04	2007/06/19	1039.9	1275.26	22.63%	15
2007/06/19	2007/07/05	1275.26	1015.85	-20.34%	16
2007/07/05	2007/10/09	1015.85	1551.19	52.7%	96
2007/10/09	2007/11/28	1551.19	1219.98	-21.35%	50
2007/11/28	2008/01/15	1219.98	1576.5	29.22%	48
2008/01/15	2008/04/22	1576.5	915.74	-41.91%	98
2008/04/22	2008/05/14	915.74	1139.09	24.39%	22
2008/05/14	2008/11/04	1139.09	456.97	-59.88%	174
2008/11/04	2009/08/04	456.97	1149.27	151.5%	273
2009/08/04	2009/09/01	1149.27	900.53	-21.64%	28
2009/09/01	2010/04/12	900.53	1252.66	39.1%	223
2010/04/12	2010/07/05	1252.66	921.34	-26.45%	84
2010/07/05	2010/11/10	921.34	1389.54	50.82%	128
2010/11/10	2011/01/25	1389.54	1136.58	-18.2%	76
2011/01/25	2011/03/09	1136.58	1311.34	15.38%	43
2011/03/09	2012/01/05	1311.34	813.99	-37.93%	302
2012/01/05	2012/03/13	813.99	1010.46	24.14%	68
2012/03/13	2012/12/03	1010.46	734.28	-27.33%	265
2012/12/03	2013/05/30	734.28	1043.47	42.11%	178
2013/05/30	2013/06/25	1043.47	879.93	-15.67%	26
2013/06/25	2015/06/12	879.93	3140.66	256.92%	717
2015/06/12	2015/07/08	3140.66	1884.45	-40.0%	26
2015/07/08	2015/07/23	1884.45	2352.65	24.85%	15
2015/07/23	2015/09/15	2352.65	1580.26	-32.83%	54
2015/09/15	2015/12/22	1580.26	2379.63	50.58%	98
2015/12/22	2016/01/28	2379.63	1629.07	-31.54%	37
2016/01/28	2016/11/22	1629.07	2137.88	31.23%	299
2016/11/22	2017/06/01	2137.88	1773.61	-17.04%	191
2017/06/01	2017/11/13	1773.61	2045.18	15.31%	165
2017/11/13	2018/10/18	2045.18	1232.01	-39.76%	339
2018/10/18	2019/04/09	1232.01	1783.01	44.72%	173
2019/04/09	2019/06/06	1783.01	1463.7	-17.91%	58
2019/06/06	2019/10/14	1463.7	1660.33	13.43%	130
