开始日期	结束日期	开始	结束	幅度	持有期
2015/04/24	2015/08/25	9244.72	5692.27	-38.43%	123
2015/08/25	2015/08/31	5692.27	6642.02	16.68%	6
2015/08/31	2015/09/28	6642.02	5536.52	-16.64%	28
2015/09/28	2015/10/08	5536.52	7083.75	27.95%	10
2015/10/08	2016/01/20	7083.75	4162.43	-41.24%	104
2016/01/20	2016/01/29	4162.43	4993.64	19.97%	9
2016/01/29	2016/02/23	4993.64	4130.71	-17.28%	25
2016/02/23	2016/12/13	4130.71	7683.38	86.01%	294
2016/12/13	2017/08/21	7683.38	5187.13	-32.49%	251
2017/08/21	2018/01/23	5187.13	7148.03	37.8%	155
2018/01/23	2018/02/08	7148.03	5793.78	-18.95%	16
2018/02/08	2018/10/03	5793.78	8057.34	39.07%	237
2018/10/03	2018/12/24	8057.34	4369.9	-45.76%	82
2018/12/24	2019/04/16	4369.9	5862.51	34.16%	113
