开始日期	结束日期	开始	结束	幅度	持有期
1992/05/20	1992/08/25	2711.9	2281.0	-15.89%	97
1992/08/25	1994/02/02	2281.0	3520.3	54.33%	526
1994/02/02	1994/06/24	3520.3	2876.6	-18.29%	142
1994/06/24	1998/07/20	2876.6	6179.0	114.8%	1487
1998/07/20	1998/10/05	6179.0	4648.7	-24.77%	77
1998/10/05	1999/12/30	4648.7	6930.2	49.08%	451
1999/12/30	2001/09/21	6930.2	4433.7	-36.02%	631
2001/09/21	2001/12/06	4433.7	5369.8	21.11%	76
2001/12/06	2002/07/24	5369.8	3777.13	-29.66%	230
2002/07/24	2002/08/27	3777.13	4449.7	17.81%	34
2002/08/27	2003/03/12	4449.7	3287.0	-26.13%	197
2003/03/12	2007/06/15	3287.0	6732.4	104.82%	1556
2007/06/15	2008/03/17	6732.4	5414.4	-19.58%	276
2008/03/17	2008/05/19	5414.4	6376.5	17.77%	63
2008/05/19	2008/10/27	6376.5	3852.59	-39.58%	161
2008/10/27	2008/11/04	3852.59	4639.5	20.43%	8
2008/11/04	2008/11/21	4639.5	3780.96	-18.51%	17
2008/11/21	2009/01/06	3780.96	4638.92	22.69%	46
2009/01/06	2009/03/03	4638.92	3512.09	-24.29%	56
2009/03/03	2010/04/15	3512.09	5825.01	65.86%	408
2010/04/15	2010/07/01	5825.01	4805.75	-17.5%	77
2010/07/01	2011/02/08	4805.75	6091.33	26.75%	222
2011/02/08	2011/10/04	6091.33	4944.44	-18.83%	238
2011/10/04	2015/04/27	4944.44	7103.98	43.68%	1301
2015/04/27	2016/02/11	7103.98	5536.97	-22.06%	290
2016/02/11	2018/05/22	5536.97	7877.45	42.27%	831
2018/05/22	2018/12/27	7877.45	6585.91	-16.4%	219
2018/12/27	2019/10/14	6585.91	7199.7	9.32%	291
