开始日期	结束日期	开始	结束	幅度	持有期
1990/12/19	1992/05/25	99.98	1421.57	1321.85%	523
1992/05/25	1992/11/17	1421.57	393.52	-72.32%	176
1992/11/17	1993/02/15	393.52	1536.82	290.53%	90
1993/02/15	1993/03/31	1536.82	925.91	-39.75%	44
1993/03/31	1993/04/28	925.91	1372.5	48.23%	28
1993/04/28	1993/10/27	1372.5	778.38	-43.29%	182
1993/10/27	1993/12/07	778.38	1022.34	31.34%	41
1993/12/07	1994/07/29	1022.34	333.92	-67.34%	234
1994/07/29	1994/09/13	333.92	1033.47	209.5%	46
1994/09/13	1995/02/07	1033.47	532.49	-48.48%	147
1995/02/07	1995/05/22	532.49	897.42	68.53%	104
1995/05/22	1996/01/22	897.42	516.46	-42.45%	245
1996/01/22	1996/12/09	516.46	1247.65	141.58%	322
1996/12/09	1996/12/24	1247.65	865.57	-30.62%	15
1996/12/24	1997/05/12	865.57	1500.39	73.34%	139
1997/05/12	1997/09/23	1500.39	1041.96	-30.55%	134
1997/09/23	2001/06/13	1041.96	2242.42	115.21%	1359
2001/06/13	2003/11/18	2242.42	1316.56	-41.29%	888
2003/11/18	2004/04/06	1316.56	1777.52	35.01%	140
2004/04/06	2005/07/11	1777.52	1011.5	-43.09%	461
2005/07/11	2007/10/16	1011.5	6092.06	502.28%	827
2007/10/16	2008/11/04	6092.06	1706.7	-71.98%	385
2008/11/04	2009/08/04	1706.7	3471.44	103.4%	273
2009/08/04	2010/07/05	3471.44	2363.95	-31.9%	335
2010/07/05	2010/11/08	2363.95	3159.51	33.65%	126
2010/11/08	2013/06/27	3159.51	1950.01	-38.28%	962
2013/06/27	2015/06/12	1950.01	5166.35	164.94%	715
2015/06/12	2016/01/28	5166.35	2655.66	-48.6%	230
2016/01/28	2018/01/24	2655.66	3559.47	34.03%	727
2018/01/24	2019/01/03	3559.47	2464.36	-30.77%	344
2019/01/03	2019/04/16	2464.36	3253.6	32.03%	103
