开始日期	结束日期	开始	结束	幅度	持有期
2005/01/04	2005/07/18	989.98	669.03	-32.42%	195
2005/07/18	2007/05/29	669.03	4484.44	570.29%	680
2007/05/29	2007/07/05	4484.44	2962.84	-33.93%	37
2007/07/05	2008/01/15	2962.84	4999.92	68.75%	194
2008/01/15	2008/11/04	4999.92	1374.35	-72.51%	294
2008/11/04	2010/11/10	1374.35	5651.39	311.2%	736
2010/11/10	2012/12/03	5651.39	2850.82	-49.56%	754
2012/12/03	2015/06/12	2850.82	15006.34	426.39%	921
2015/06/12	2015/07/08	15006.34	8114.6	-45.93%	26
2015/07/08	2015/08/17	8114.6	10563.13	30.17%	40
2015/08/17	2015/09/15	10563.13	7034.9	-33.4%	29
2015/09/15	2015/12/22	7034.9	10809.24	53.65%	98
2015/12/22	2016/01/28	10809.24	7100.9	-34.31%	37
2016/01/28	2016/11/22	7100.9	9244.21	30.18%	299
2016/11/22	2018/10/18	9244.21	4149.44	-55.11%	695
2018/10/18	2019/10/11	4149.44	5370.65	29.43%	358
