开始日期	结束日期	开始	结束	幅度	持有期
1991/07/03	1998/07/20	1606.51	6186.09	285.06%	2574
1998/07/20	1998/10/08	6186.09	3861.89	-37.57%	80
1998/10/08	2000/03/07	3861.89	8064.97	108.83%	516
2000/03/07	2001/09/21	8064.97	3787.23	-53.04%	563
2001/09/21	2002/03/19	3787.23	5462.55	44.24%	179
2002/03/19	2002/10/09	5462.55	2597.88	-52.44%	204
2002/10/09	2002/12/02	2597.88	3380.2	30.11%	54
2002/12/02	2003/03/12	3380.2	2202.96	-34.83%	100
2003/03/12	2007/07/16	2202.96	8105.69	267.95%	1587
2007/07/16	2009/03/06	8105.69	3666.41	-54.77%	599
2009/03/06	2011/05/02	3666.41	7527.64	105.31%	787
2011/05/02	2011/09/12	7527.64	5072.33	-32.62%	133
2011/09/12	2019/10/11	5072.33	12401.96	144.5%	2951
