开始日期	结束日期	开始	结束	幅度	持有期
1990/05/14	1994/01/04	2976.44	12201.09	309.92%	1331
1994/01/04	1995/01/23	12201.09	6967.93	-42.89%	384
1995/01/23	1997/08/07	6967.93	16673.27	139.29%	927
1997/08/07	1998/01/12	16673.27	8121.06	-51.29%	158
1998/01/12	1998/03/25	8121.06	11810.62	45.43%	72
1998/03/25	1998/08/13	11810.62	6660.41	-43.61%	141
1998/08/13	2000/03/28	6660.41	18301.68	174.78%	593
2000/03/28	2001/09/21	18301.68	8934.2	-51.18%	542
2001/09/21	2007/10/30	8934.2	31638.22	254.12%	2230
2007/10/30	2008/10/27	31638.22	11015.84	-65.18%	363
2008/10/27	2010/11/08	11015.84	24964.37	126.62%	742
2010/11/08	2011/10/04	24964.37	16250.27	-34.91%	330
2011/10/04	2015/04/28	16250.27	28442.75	75.03%	1302
2015/04/28	2016/02/12	28442.75	18319.58	-35.59%	290
2016/02/12	2019/10/11	18319.58	26308.44	43.61%	1337
