开始日期	结束日期	开始	结束	幅度	持有期
1991/08/12	2000/03/10	510.0	5048.62	889.93%	3133
2000/03/10	2000/05/23	5048.62	3164.55	-37.32%	74
2000/05/23	2000/07/17	3164.55	4274.67	35.08%	55
2000/07/17	2001/04/04	4274.67	1638.8	-61.66%	261
2001/04/04	2001/05/22	1638.8	2313.85	41.19%	48
2001/05/22	2001/09/21	2313.85	1423.19	-38.49%	122
2001/09/21	2002/01/04	1423.19	2059.38	44.7%	105
2002/01/04	2002/10/09	2059.38	1114.11	-45.9%	278
2002/10/09	2007/10/31	1114.11	2859.12	156.63%	1848
2007/10/31	2009/03/09	2859.12	1268.64	-55.63%	495
2009/03/09	2019/04/16	1268.64	8000.23	530.61%	3690
