开始日期	结束日期	开始	结束	幅度	持有期
2001/01/03	2001/03/22	6434.96	5388.02	-16.27%	78
2001/03/22	2001/05/24	5388.02	6278.9	16.53%	63
2001/05/24	2001/09/21	6278.9	3787.23	-39.68%	120
2001/09/21	2002/03/19	3787.23	5462.55	44.24%	179
2002/03/19	2002/08/05	5462.55	3332.65	-38.99%	139
2002/08/05	2002/08/22	3332.65	3906.55	17.22%	17
2002/08/22	2002/10/09	3906.55	2597.88	-33.5%	48
2002/10/09	2002/12/02	2597.88	3380.2	30.11%	54
2002/12/02	2003/03/12	3380.2	2202.96	-34.83%	100
2003/03/12	2007/07/16	2202.96	8105.69	267.95%	1587
2007/07/16	2008/03/17	8105.69	6182.3	-23.73%	245
2008/03/17	2008/05/19	6182.3	7225.94	16.88%	63
2008/05/19	2008/10/24	7225.94	4295.67	-40.55%	158
2008/10/24	2008/11/04	4295.67	5278.04	22.87%	11
2008/11/04	2008/11/21	5278.04	4127.41	-21.8%	17
2008/11/21	2009/01/06	4127.41	5026.31	21.78%	46
2009/01/06	2009/03/06	5026.31	3666.41	-27.06%	59
2009/03/06	2011/05/02	3666.41	7527.64	105.31%	787
2011/05/02	2011/09/12	7527.64	5072.33	-32.62%	133
2011/09/12	2012/03/16	5072.33	7157.82	41.12%	186
2012/03/16	2012/06/05	7157.82	5969.4	-16.6%	81
2012/06/05	2015/04/10	5969.4	12374.73	107.3%	1039
2015/04/10	2015/09/24	12374.73	9427.64	-23.82%	167
2015/09/24	2015/11/30	9427.64	11382.23	20.73%	67
2015/11/30	2016/02/11	11382.23	8752.87	-23.1%	73
2016/02/11	2018/01/23	8752.87	13559.6	54.92%	712
2018/01/23	2018/12/27	13559.6	10381.51	-23.44%	338
2018/12/27	2019/04/12	10381.51	11999.93	15.59%	106
