开始日期	结束日期	开始	结束	幅度	持有期
1986/01/09	1987/12/31	123.21	85.42	-30.67%	721
1987/12/31	1989/06/14	85.42	105.61	23.64%	531
1989/06/14	1991/02/11	105.61	80.48	-23.8%	607
1991/02/11	1991/07/11	80.48	97.18	20.75%	150
1991/07/11	1992/09/01	97.18	78.35	-19.38%	418
1992/09/01	1994/01/03	78.35	96.99	23.79%	489
1994/01/03	1995/04/18	96.99	80.36	-17.15%	470
1995/04/18	2001/07/05	80.36	120.79	50.31%	2270
2001/07/05	2008/04/18	120.79	71.01	-41.21%	2479
2008/04/18	2009/03/09	71.01	89.16	25.56%	325
2009/03/09	2009/11/25	89.16	74.32	-16.64%	261
2009/11/25	2010/06/07	74.32	88.45	19.01%	194
2010/06/07	2011/04/29	88.45	73.03	-17.43%	326
2011/04/29	2019/04/17	73.03	97.09	32.95%	2910
