开始日期	结束日期	开始	结束	幅度	持有期
2002/01/04	2005/06/03	1316.46	818.03	-37.86%	1246
2005/06/03	2007/10/16	818.03	5877.2	618.46%	865
2007/10/16	2008/11/04	5877.2	1627.76	-72.3%	385
2008/11/04	2009/08/03	1627.76	3787.03	132.65%	272
2009/08/03	2010/07/05	3787.03	2512.65	-33.65%	336
2010/07/05	2010/11/08	2512.65	3548.57	41.23%	126
2010/11/08	2012/12/03	3548.57	2108.85	-40.57%	756
2012/12/03	2015/06/08	2108.85	5353.75	153.87%	917
2015/06/08	2016/01/28	5353.75	2853.76	-46.7%	234
2016/01/28	2018/01/24	2853.76	4389.89	53.83%	727
2018/01/24	2019/01/03	4389.89	2964.84	-32.46%	344
2019/01/03	2019/04/08	2964.84	4057.23	36.84%	95
