	名称	代码	市值（亿元）	涨跌幅	pe	pb	一级行业代码	一级行业名称	二级行业代码	二级行业名称	持有市值（元）	日盈亏	相关指数
0	中国平安	601318.XSHG	15404.76	0.0%	9.78	2.4	801790	非银金融I	801194	保险II	9574.36	0.0	上证50,沪深300,300价值,养老产业,金融地产
1	恒瑞医药	600276.XSHG	3739.49	0.0%	76.49	16.15	801150	医药生物I	801151	化学制药II	9440.19	0.0	上证50,沪深300,养老产业,全指医药
2	中信证券	600030.XSHG	2647.54	0.0%	21.02	1.65	801790	非银金融I	801193	证券II	6616.5	0.0	上证50,沪深300,证券公司,金融地产
3	东方财富	300059.XSHE	941.53	0.0%	60.65	4.53	801760	传媒I	801752	互联网传媒II	5982.7	0.0	沪深300,创业板,养老产业,中证传媒
4	招商银行	600036.XSHG	9195.16	0.0%	10.17	1.64	801780	银行I	801192	银行II	5120.1	0.0	上证50,沪深300,300价值,中证红利,金融地产
5	海通证券	600837.XSHG	1595.29	0.0%	17.71	1.29	801790	非银金融I	801193	证券II	4509.78	0.0	上证50,沪深300,证券公司,金融地产
6	兴业银行	601166.XSHG	3959.56	0.0%	6.1	0.83	801780	银行I	801192	银行II	4214.33	0.0	上证50,沪深300,300价值,中证红利,金融地产
7	分众传媒	002027.XSHE	848.38	0.0%	35.74	6.3	801760	传媒I	801751	营销传播II	3955.61	0.0	沪深300,基本面60,基本面120,中证传媒
8	贵州茅台	600519.XSHG	14044.29	0.0%	34.32	11.21	801120	食品饮料I	801123	饮料制造II	3599.38	0.0	上证50,沪深300
9	启明星辰	002439.XSHE	277.97	0.0%	50.75	7.82	801750	计算机I	801222	计算机应用II	3520.65	0.0	中证500,养老产业,中证传媒
10	光环新网	300383.XSHE	294.28	0.0%	36.62	3.62	801770	通信I	801102	通信设备II	3506.17	0.0	中证500,创业板,养老产业,中证传媒
11	爱尔眼科	300015.XSHE	1249.66	0.0%	92.91	19.39	801150	医药生物I	801156	医疗服务II	3279.36	0.0	沪深300,创业板,养老产业,全指医药
12	中国神华	601088.XSHG	3456.82	0.0%	7.57	1.0	801020	采掘I	801021	煤炭开采II	3130.49	0.0	上证50,沪深300,300价值,中证红利
13	国泰君安	601211.XSHG	1511.68	0.0%	19.53	1.27	801790	非银金融I	801193	证券II	3108.84	0.0	上证50,沪深300,300价值,证券公司,金融地产
14	长春高新	000661.XSHE	716.0	0.0%	50.84	11.16	801150	医药生物I	801152	生物制品II	3105.98	0.0	沪深300,养老产业,全指医药
15	生益科技	600183.XSHG	532.17	0.0%	43.17	6.4	801080	电子I	801083	元件II	3046.66	0.0	中证500,中证红利
16	三七互娱	002555.XSHE	464.7	0.0%	34.52	7.12	801760	传媒I	801752	互联网传媒II	2979.69	0.0	沪深300,养老产业,中证传媒
17	乐普医疗	300003.XSHE	560.33	0.0%	33.21	7.51	801150	医药生物I	801153	医疗器械II	2749.88	0.0	沪深300,创业板,养老产业,全指医药
18	沃森生物	300142.XSHE	463.23	0.0%	43.07	9.6	801150	医药生物I	801152	生物制品II	2668.06	0.0	沪深300,创业板,养老产业,全指医药
19	闻泰科技	600745.XSHG	1082.61	0.0%	142.28	7.7	801080	电子I	801085	电子制造II	2666.44	0.0	中证500
20	新和成	002001.XSHE	470.77	0.0%	20.95	2.87	801150	医药生物I	801151	化学制药II	2665.6	0.0	沪深300,基本面120,中证红利,养老产业,全指医药
21	交通银行	601328.XSHG	4077.02	0.0%	5.33	0.6	801780	银行I	801192	银行II	2569.39	0.0	上证50,沪深300,300价值,中证红利,金融地产
22	农业银行	601288.XSHG	12704.38	0.0%	6.0	0.74	801780	银行I	801192	银行II	2508.07	0.0	上证50,沪深300,300价值,中证红利,金融地产
23	华泰证券	601688.XSHG	1584.78	0.0%	22.66	1.32	801790	非银金融I	801193	证券II	2506.13	0.0	上证50,沪深300,证券公司,金融地产
24	中国太保	601601.XSHG	3121.86	0.0%	11.06	1.83	801790	非银金融I	801194	保险II	2477.12	0.0	上证50,沪深300,300价值,中证红利,养老产业,金融地产
25	伊利股份	600887.XSHG	1852.31	0.0%	26.38	7.61	801120	食品饮料I	801124	食品加工II	2463.29	0.0	上证50,沪深300,中证红利,养老产业
26	二三四五	002195.XSHE	175.42	0.0%	17.23	1.76	801750	计算机I	801222	计算机应用II	2453.77	0.0	中证500,养老产业,中证传媒
27	温氏股份	300498.XSHE	1907.05	0.0%	26.7	5.13	801010	农林牧渔I	801017	畜禽养殖II	2419.11	0.0	沪深300,基本面60,基本面120,创业板
28	云南白药	000538.XSHE	1108.15	0.0%	31.2	2.96	801150	医药生物I	801155	中药II	2388.24	0.0	沪深300,基本面60,基本面120,养老产业,全指医药
29	新希望	000876.XSHE	889.58	0.0%	26.75	3.7	801010	农林牧渔I	801014	饲料II	2387.15	0.0	沪深300,基本面60,基本面120,中证红利
30	完美世界	002624.XSHE	463.69	0.0%	24.87	4.86	801760	传媒I	801752	互联网传媒II	2384.41	0.0	沪深300,养老产业,中证传媒
31	万科A	000002.XSHE	3164.6	0.0%	8.32	1.89	801180	房地产I	801181	房地产开发II	2348.55	0.0	沪深300,300价值,基本面60,基本面120,中证红利,金融地产
32	工商银行	601398.XSHG	20635.92	0.0%	6.66	0.85	801780	银行I	801192	银行II	2321.03	0.0	上证50,沪深300,300价值,中证红利,金融地产
33	江铃汽车	000550.XSHE	124.22	0.0%	404.36	1.18	801880	汽车I	801094	汽车整车II	2308.28	0.0	基本面120,中证1000,中证红利
34	美的集团	000333.XSHE	3783.78	0.0%	16.0	3.85	801110	家用电器I	801111	白色家电II	2292.21	0.0	沪深300,基本面60,基本面120,中证红利
35	哈药股份	600664.XSHG	91.76	0.0%	85.37	1.76	801150	医药生物I	801151	化学制药II	2230.41	0.0	中证500,中证红利,全指医药
36	民生银行	600016.XSHG	2705.75	0.0%	5.09	0.61	801780	银行I	801192	银行II	2222.72	0.0	上证50,沪深300,300价值,中证红利,金融地产
37	长江电力	600900.XSHG	3949.0	0.0%	17.53	2.72	801160	公用事业I	801161	电力II	2166.29	0.0	沪深300,300价值,中证红利,中证环保
38	掌趣科技	300315.XSHE	153.04	0.0%	-4.61	2.72	801760	传媒I	801752	互联网传媒II	2158.01	0.0	中证500,创业板,中证传媒
39	先导智能	300450.XSHE	327.99	0.0%	39.48	8.52	801890	机械设备I	801074	专用设备II	2145.62	0.0	中证500,创业板,中证环保
40	美年健康	002044.XSHE	567.21	0.0%	71.07	6.68	801150	医药生物I	801156	医疗服务II	2137.26	0.0	沪深300,养老产业,全指医药
41	卫宁健康	300253.XSHE	248.95	0.0%	64.89	6.84	801750	计算机I	801222	计算机应用II	2083.89	0.0	中证500,创业板,全指医药
42	广发证券	000776.XSHE	1029.61	0.0%	17.75	1.13	801790	非银金融I	801193	证券II	2078.32	0.0	沪深300,300价值,基本面60,基本面120,中证红利,证券公司,金融地产
43	生物股份	600201.XSHG	212.3	0.0%	65.96	4.43	801010	农林牧渔I	801018	动物保健II	2058.39	0.0	中证500,全指医药
44	网宿科技	300017.XSHE	220.13	0.0%	22.82	2.33	801770	通信I	801102	通信设备II	2043.42	0.0	沪深300,创业板,养老产业,中证传媒
45	东方明珠	600637.XSHG	303.3	0.0%	16.71	1.06	801760	传媒I	801761	文化传媒II	1966.35	0.0	沪深300,养老产业,中证传媒
46	江苏有线	600959.XSHG	191.03	0.0%	38.63	0.88	801760	传媒I	801761	文化传媒II	1959.68	0.0	中证500,养老产业,中证传媒
47	芒果超媒	300413.XSHE	555.83	0.0%	54.1	6.46	801760	传媒I	801752	互联网传媒II	1943.33	0.0	沪深300,创业板,养老产业,中证传媒
48	中公教育	002607.XSHE	1118.77	0.0%	71.24	44.13	801760	传媒I	801761	文化传媒II	1934.9	0.0	中证500,养老产业
49	华兰生物	002007.XSHE	463.43	0.0%	34.49	7.45	801150	医药生物I	801152	生物制品II	1894.31	0.0	沪深300,养老产业,全指医药
50	通策医疗	600763.XSHG	330.26	0.0%	72.37	19.08	801150	医药生物I	801156	医疗服务II	1880.57	0.0	中证500,全指医药
51	光线传媒	300251.XSHE	292.77	0.0%	148.41	3.13	801760	传媒I	801761	文化传媒II	1873.49	0.0	沪深300,创业板,养老产业,中证传媒
52	保利地产	600048.XSHG	1784.89	0.0%	8.05	1.46	801180	房地产I	801181	房地产开发II	1869.27	0.0	上证50,沪深300,300价值,中证红利,金融地产
53	招商证券	600999.XSHG	1123.49	0.0%	18.19	1.64	801790	非银金融I	801193	证券II	1869.26	0.0	沪深300,300价值,证券公司,金融地产
54	智飞生物	300122.XSHE	698.72	0.0%	32.84	13.58	801150	医药生物I	801152	生物制品II	1868.17	0.0	沪深300,创业板,养老产业,全指医药
55	迈瑞医疗	300760.XSHE	2188.61	0.0%	48.7	12.43	801150	医药生物I	801153	医疗器械II	1861.46	0.0	创业板,养老产业,全指医药
56	东山精密	002384.XSHE	304.45	0.0%	29.79	3.34	801080	电子I	801083	元件II	1846.78	0.0	中证500,中证环保
57	潍柴动力	000338.XSHE	1076.63	0.0%	11.08	2.51	801880	汽车I	801093	汽车零部件II	1844.31	0.0	沪深300,300价值,基本面60,基本面120,中证红利
58	华发股份	600325.XSHG	150.99	0.0%	6.31	1.2	801180	房地产I	801181	房地产开发II	1840.63	0.0	中证500,中证红利,金融地产
59	中南传媒	601098.XSHG	202.77	0.0%	15.76	1.52	801760	传媒I	801761	文化传媒II	1824.03	0.0	中证500,养老产业,中证传媒
60	欣旺达	300207.XSHE	278.75	0.0%	36.0	5.05	801080	电子I	801085	电子制造II	1821.36	0.0	中证500,创业板,中证环保
61	沪电股份	002463.XSHE	399.1	0.0%	38.43	8.36	801080	电子I	801083	元件II	1795.15	0.0	中证500
62	平安银行	000001.XSHE	2998.21	0.0%	10.71	1.12	801780	银行I	801192	银行II	1779.99	0.0	沪深300,300价值,基本面60,基本面120,金融地产
63	格力电器	000651.XSHE	3657.56	0.0%	13.45	3.63	801110	家用电器I	801111	白色家电II	1759.66	0.0	沪深300,基本面60,基本面120
64	中国长城	000066.XSHE	444.21	0.0%	46.48	7.1	801750	计算机I	801101	计算机设备II	1748.39	0.0	基本面120,中证500
65	首开股份	600376.XSHG	196.82	0.0%	5.33	0.82	801180	房地产I	801181	房地产开发II	1740.26	0.0	中证500,中证红利,金融地产
66	中国银行	601988.XSHG	10627.4	0.0%	5.7	0.65	801780	银行I	801192	银行II	1731.36	0.0	上证50,沪深300,300价值,中证红利,金融地产
67	申万宏源	000166.XSHE	1201.92	0.0%	21.44	1.47	801790	非银金融I	801193	证券II	1725.38	0.0	沪深300,基本面60,基本面120,证券公司,金融地产
68	片仔癀	600436.XSHG	599.58	0.0%	45.01	9.55	801150	医药生物I	801155	中药II	1719.1	0.0	沪深300,养老产业,全指医药
