螺丝钉	总市值	24298.86	累计收益	1463.39
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
大成中证红利指数A	090010	1.6512	2559.09	4436.23	101.85
银河沪深300价值指数	519671	1.4296	2845.5	4368.69	197.53
景顺长城中证500低波动	003318	0.9342	3835.61	3797.69	118.6
华宝香港中小	501021	1.3481	2260.14	3453.72	406.78
嘉实深证基本面120联接	070023	1.7987	1363.37	2719.11	266.83
建信深证基本面60ETF联接A	530015	2.136	1134.65	2640.78	217.2
广发中证养老	000968	0.9589	1067.42	1070.94	47.43
华宝红利基金	501029	0.9827	550.4	551.56	10.67
天弘中证医药100A	001550	0.6708	531.87	420.55	63.77
天弘中证银行指数A	001594	1.2422	244.71	405.66	3.86
华夏上证50AH优选指数	501050	1.2636	247.91	342.61	29.35
申万菱信沪深300价值指数	310398	1.4374	64.5	91.32	-1.39
大成景安短融债券E	002086	1.2256	0	0	0.91
