螺丝钉	总市值	25448	累计收益	1835.88
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
大成中证红利指数A	090010	1.6554	2743.28	4696.5	155.14
银河沪深300价值指数	519671	1.435	3046.82	4536.71	164.53
景顺长城中证500低波动	003318	0.9376	4114.92	4084.06	225.77
华宝香港中小	501021	1.3481	2260.14	3530.11	483.17
嘉实深证基本面120联接	070023	1.7987	1363.37	2778.96	326.68
建信深证基本面60ETF联接A	530015	2.136	1134.65	2685.04	261.46
广发中证养老	000968	0.9589	1067.42	1115.13	91.62
天弘中证银行指数A	001594	1.2542	471.41	585.54	-5.7
华宝红利基金	501029	0.9827	550.4	565.65	24.76
天弘中证医药100A	001550	0.6708	531.87	438.53	81.75
华夏上证50AH优选指数	501050	1.2636	247.91	341.12	27.86
申万菱信沪深300价值指数	310398	1.4374	64.5	90.65	-2.06
大成景安短融债券E	002086	1.2256	0	0	0.91
