螺丝钉	总市值	24483.43	累计收益	354.53
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
大成中证红利指数A	090010	1.6533	2879.87	4541.55	-219.63
银河沪深300价值指数	519671	1.434	3201.92	4434.66	-156.99
景顺长城中证500低波动	003318	0.9381	4314.38	4117.21	69.93
华宝香港中小	501021	1.3481	2260.14	3393.37	346.43
建信深证基本面60ETF联接A	530015	2.1359	1178.34	2588.46	71.6
嘉实深证基本面120联接	070023	1.7987	1363.37	2570.23	117.95
广发中证养老	000968	0.9589	1067.42	1099.87	76.36
天弘中证银行指数A	001594	1.237	645.5	749.23	-49.27
天弘中证医药100A	001550	0.6708	531.87	486.61	129.83
华夏上证50AH优选指数	501050	1.2636	247.91	326.5	13.24
易方达中概互联50ETF联接人民币A	006327	1.1846	77.73	91.39	-0.69
申万菱信沪深300价值指数	310398	1.4374	64.5	84.35	-8.36
大成景安短融债券E	002086	1.2256	0	0	0.91
华宝红利基金	501029	0.9827	0	0	-36.77
