我的S定投计划	总市值	16091.38	累计收益	1091.38
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9107	1046.73	2185.47	185.47
富国中证红利指数增强	100032	1.0954	1825.9	2065.09	65.09
华夏中证500ETF联接A	001052	0.5517	1812.7	1080.37	80.37
广发中证传媒ETF联接A	004752	0.815	1227.03	1070.95	70.95
华夏上证50ETF联接A	001051	0.9441	1059.17	1061.29	61.29
交银中证海外中国互联网指数	164906	1.1113	899.82	1279.54	279.54
华夏恒生ETF联接A	000071	1.4513	689.02	1059.85	59.85
华安黄金易ETF联接A	000216	1.0902	1834.47	2333.45	333.45
华宝标普石油指数A	162411	0.4204	4757.9	1746.63	-253.37
华安德国30(DAX)联接	000614	1.0483	953.96	1152.38	152.38
易方达安心债券A	110027	1.6793	595.47	1056.36	56.36
