母螺丝钉	总市值	10363.88	累计收益	312.66
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
大成中证红利指数A	090010	1.6567	1184.17	1962.17	-39.96
银河沪深300价值指数	519671	1.432	1289.9	1859.53	-29.7
景顺长城中证500低波动	003318	0.939	1728.59	1700.63	43.18
华宝香港中小	501021	1.3514	915.97	1399.42	161.58
建信深证基本面60ETF联接A	530015	2.1418	469.05	1057.33	52.73
嘉实深证基本面120联接	070023	1.7992	528.99	1027.25	75.51
广发中证养老	000968	0.9588	426.97	438.97	29.58
天弘中证银行指数A	001594	1.2283	294.4	383.92	-18.25
易方达中概互联50ETF联接人民币A	006327	1.1823	234.21	311.34	3.88
华夏上证50AH优选指数	501050	1.284	142.1	188.99	6.54
申万菱信沪深300价值指数	310398	1.4372	25.8	34.33	-2.75
天弘中证医药100A	001550	0.6708	0	0	45
大成景安短融债券E	002086	1.2257	0	0	0.44
华宝红利基金	501029	0.9824	0	0	-15.12
