父螺丝钉	总市值	9643.42	累计收益	315.43
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
银河沪深300价值指数	519671	1.432	1247.32	1799.53	-28.73
大成中证红利指数A	090010	1.6532	1069.2	1775.57	-32.28
景顺长城中证500低波动	003318	0.9383	1628.91	1604.54	41.83
华宝香港中小	501021	1.3485	898.04	1372.03	161.06
建信深证基本面60ETF联接A	530015	2.128	439.46	990.63	55.46
嘉实深证基本面120联接	070023	1.7966	492.58	956.54	71.56
广发中证养老	000968	0.9599	390.82	401.8	26.65
天弘中证银行指数A	001594	1.2255	244.97	326.27	-14.49
易方达中概互联50ETF联接人民币A	006327	1.1824	224.41	299.6	3.71
华夏上证50AH优选指数	501050	1.2891	62.09	82.58	2.54
申万菱信沪深300价值指数	310398	1.4372	25.8	34.33	-2.75
天弘中证医药100A	001550	0.6708	0	0	45
大成景安短融债券E	002086	1.2258	0	0	0.27
华宝红利基金	501029	0.9829	0	0	-14.4
