10万补充ETF计划	总市值	40514.8	累计收益	4029.9
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9252	4157.52	8944.49	940.49
广发中证环保ETF联接A	001064	0.5489	9722	6206.52	870.52
广发养老指数A	000968	0.9444	4943.96	5165.94	496.94
华夏中证500ETF联接A	001052	0.5423	7379.54	4604.83	602.83
富国中证红利指数增强	100032	0.9822	4074.72	4160.29	158.29
广发中证传媒ETF联接A	004752	0.7329	4550.55	4111.42	776.42
易方达创业板ETF联接A	110026	1.6649	400.63	868.73	201.73
广发创业板ETF联接A	003765	0.9059	736.3	862.35	195.35
广发医药卫生联接A	001180	0.8242	809.28	759.51	92.51
广发中证全指金融地产联接A	001469	1.0907	611.53	664.55	-2.45
易方达证券公司分级	502010	0.9853	473.85	529.95	63.05
华宝标普石油指数A	162411	0.3775	5299.96	1511.55	-489.45
交银中证海外中国互联网指数	164906	1.1564	576.8	787.33	120.33
华夏恒生ETF联接A	000071	1.451	459.67	676.63	9.63
华安德国30(DAX)联接	000614	1.0903	611.75	660.69	-6.31
