螺丝钉	总市值	29405.53	累计收益	-624.6
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
银河沪深300价值指数	519671	1.4209	3980.9	5234.88	-421.59
大成中证红利指数A	090010	1.6502	3303.75	5087.78	-364.11
景顺长城中证500低波动	003318	0.9403	4586.65	4381.63	68.94
华宝香港中小	501021	1.3402	2551.86	3490.43	79.93
建信深证基本面60ETF联接A	530015	2.1325	1220.14	2537.65	-64.34
嘉实深证基本面120联接	070023	1.7987	1363.37	2457.2	4.92
天弘中证银行指数A	001594	1.1759	1535.38	1671.88	-133.62
广发中证养老	000968	0.9589	1067.42	1078.52	55.01
易方达中概互联50ETF联接人民币A	006327	1.1619	952.18	1045.68	-69.81
交银中证海外中国互联网指数	164906	1.1985	549.2	717.26	45.75
华安纳斯达克100指数	040046	2.294	253.87	664.89	81.49
华夏上证50AH优选指数	501050	1.2636	247.91	311.13	-2.13
招商中证白酒指数	161725	0.8312	300.61	279.12	29.25
易方达标普信息科技	161128	1.6977	150.78	257.64	1.27
易方达上证50指数A	110003	1.7006	64.27	109.66	0.36
申万菱信沪深300价值指数	310398	1.4374	64.5	80.2	-12.51
天弘中证医药100A	001550	0.6708	0	0	112.47
大成景安短融债券E	002086	1.2256	0	0	0.91
华宝红利基金	501029	0.9827	0	0	-36.77
