我的S定投计划	总市值	21528.13	累计收益	-395.59
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9178	1564.33	3183.88	183.88
富国中证红利指数增强A	100032	0.973	3083.26	2966.1	-33.9
华夏中证500ETF联接A	001052	0.5517	1812.7	1049.01	49.01
华夏上证50ETF联接A	001051	0.9441	1059.17	1032.06	32.06
广发中证全指金融地产联接A	001469	1.0907	916.83	935.62	-64.37
广发中证传媒ETF联接A	004752	0.815	822.11	667.22	15.56
华夏恒生ETF联接A	000071	1.4046	1423.86	2002.94	2.94
交银中证海外中国互联网指数	164906	1.1113	899.82	1221.06	221.06
华安德国30(DAX)联接	000614	0.9766	2047.94	2156.48	156.48
博时标普500ETF联接A	050025	2.2822	438.17	1010.29	10.29
华宝标普石油指数A	162411	0.3879	7734.05	1967.54	-1032.46
南方原油A	501018	0	0	0	-463.92
华安黄金易ETF联接A	000216	1.0902	917.23	1268.25	460.11
易方达安心债券A	110027	1.6793	595.47	1067.68	67.68
