母螺丝钉	总市值	11388.65	累计收益	-532.43
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
银河沪深300价值指数	519671	1.4199	1553.77	2023.01	-183.22
大成中证红利指数A	090010	1.6542	1325.41	2005.35	-187.18
景顺长城中证500低波动	003318	0.9407	1797.43	1658.67	-32.14
华宝香港中小	501021	1.3403	1026.71	1325.89	-50.23
建信深证基本面60ETF联接A	530015	2.1382	485.77	992.91	-45.74
嘉实深证基本面120联接	070023	1.7992	528.99	935.25	-16.49
天弘中证银行指数A	001594	1.177	594.27	644.07	-55.36
广发中证养老	000968	0.9588	426.97	416.12	6.73
易方达中概互联50ETF联接人民币A	006327	1.1598	378.03	409.22	-29.22
华安纳斯达克100指数	040046	2.2919	111.78	279.45	23.26
交银中证海外中国互联网指数	164906	1.1987	215.44	275.98	17.73
华夏上证50AH优选指数	501050	1.284	142.1	173.08	-9.37
招商中证白酒指数	161725	0.8286	140.72	123.92	7.32
易方达标普信息科技	161128	1.6817	57.97	93.98	-3.51
申万菱信沪深300价值指数	310398	1.4372	25.8	31.75	-5.33
天弘中证医药100A	001550	0.6708	0	0	45
大成景安短融债券E	002086	1.2257	0	0	0.44
华宝红利基金	501029	0.9824	0	0	-15.12
