父螺丝钉	总市值	10040.28	累计收益	-522.91
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
银河沪深300价值指数	519671	1.4259	1454.39	1893.62	-180.15
大成中证红利指数A	090010	1.6508	1210.44	1831.4	-166.85
景顺长城中证500低波动	003318	0.9401	1697.75	1566.68	-29.39
华宝香港中小	501021	1.3463	952.26	1229.75	-52.3
建信深证基本面60ETF联接A	530015	2.1246	456.18	932.43	-36.79
嘉实深证基本面120联接	070023	1.7966	492.58	870.88	-14.1
天弘中证银行指数A	001594	1.1867	482.97	523.44	-49.7
易方达中概互联50ETF联接人民币A	006327	1.1657	353.32	382.47	-29.41
广发中证养老	000968	0.9599	390.82	380.89	5.74
交银中证海外中国互联网指数	164906	1.2201	90.23	115.58	5.49
华安纳斯达克100指数	040046	2.2753	38.03	95.08	8.55
易方达标普信息科技	161128	1.7366	47.5	77.0	-5.49
华夏上证50AH优选指数	501050	1.2891	62.09	75.63	-4.41
招商中证白酒指数	161725	0.8711	38.25	33.68	0.36
申万菱信沪深300价值指数	310398	1.4372	25.8	31.75	-5.33
天弘中证医药100A	001550	0.6708	0	0	45
大成景安短融债券E	002086	1.2258	0	0	0.27
华宝红利基金	501029	0.9829	0	0	-14.4
