1992-12-31	2700.60	2846.50	5.4%
1993-12-31	2846.50	3418.40	20.09%
1994-12-30	3418.40	3065.50	-10.32%
1995-12-29	3065.50	3689.30	20.35%
1996-12-31	3689.30	4118.50	11.63%
1997-12-31	4118.50	5135.50	24.69%
1998-12-30	5135.50	5882.60	14.55%
1999-12-30	5882.60	6930.20	17.81%
2000-12-29	6930.20	6222.50	-10.21%
2001-12-31	6222.50	5217.40	-16.15%
2002-12-31	5217.40	3940.40	-24.48%
2003-12-31	3940.40	4476.90	13.62%
2004-12-31	4476.90	4814.30	7.54%
2005-12-30	4814.30	5618.80	16.71%
2006-12-29	5618.80	6220.80	10.71%
2007-12-31	6220.80	6456.90	3.8%
2008-12-31	6456.90	4434.17	-31.33%
2009-12-31	4434.17	5412.88	22.07%
2010-12-31	5412.88	5899.94	9.0%
2011-12-30	5899.94	5572.28	-5.55%
2012-12-31	5572.82	5897.81	5.83%
2013-12-31	5897.81	6749.09	14.43%
2014-12-31	6749.09	6566.09	-2.71%
2015-12-31	6566.09	6242.32	-4.93%
2016-12-30	6242.32	7142.83	14.43%
2017-12-29	7142.83	7687.77	7.63%
2018-12-31	7687.77	6728.13	-12.48%
2019-11-07	6655.42	7411.47	11.36%
